"command","value_before","value_after","source_section_before","destination_section_after","renderer_settings_supported","cvar_like","action","reason"
"r.AllowOcclusionQueries","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.PrecomputedVisibilityWarning","False","False","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.TextureStreaming","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.NormalMapsForStaticLighting","False","False","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.GenerateMeshDistanceFields","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.GenerateLandscapeGIData","False","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.SupportLowQualityLightmaps","False","False","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.SupportStationarySkylight","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.SupportPointLightWholeSceneShadows","True","True","[/Script/Engine.RendererSettings]","[/Script/Engine.RendererSettings]","True","True","keep_renderer_settings","Exact match in UE 5.8 URendererSettings ConsoleVariable metadata or property names."
"r.SupportMaterialLayers","True","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.EnableOverrideMaterialQualityLevel","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.EnableOverrideMaterialQualityLevel.Enemy","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.Material.ReEvaluateUniformExpressions","0","0","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
"r.MaterialEnableNewHLSLGenerator","1","1","[/Script/Engine.RendererSettings]","[ConsoleVariables]","False","True","move_to_console_variables","Not supported by URendererSettings; render/graphics CVar moved to startup ConsoleVariables."
