command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
Android.NewKeyboard,CVar,string,,Android,通用,Android,true,false,false,false,false,,`Android.NewKeyboard=<值>` / `Android.NewKeyboard <值>` 或 INI 中配置,"Controls usage of experimental new keyboard input. 0 uses the checkbox setting, 1 forces new keyboard, 2 forces dialog. (Default: 0)",ECVF_Default
android.OpenGL.InjectFragmentControlFlowHint,CVar,string,,android,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,`android.OpenGL.InjectFragmentControlFlowHint=<值>` / `android.OpenGL.InjectFragmentControlFlowHint <值>` 或 INI 中配置,true - Injects a benign control flow branch into the fragment shader to trigger alternative code generation with some compilers.\n,ECVF_ReadOnly
Android.OpenGL.NumRemoteProgramCompileServices,CVar,string,,Android,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,`Android.OpenGL.NumRemoteProgramCompileServices=<值>` / `Android.OpenGL.NumRemoteProgramCompileServices <值>` 或 INI 中配置,The number of separate processes to make available to compile opengl programs.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
android.PSOService.EnableSchedulingParams,CVar,string,,android,通用,Android,true,false,false,false,false,,`android.PSOService.EnableSchedulingParams=<值>` / `android.PSOService.EnableSchedulingParams <值>` 或 INI 中配置,Whether to set scheduler values (such as nice and scheduler policy) for each precache process job\n,ECVF_RenderThreadSafe
android.PSOService.ExternalCompilerFailureThreshold,CVar,string,,android,通用,Android,true,false,false,false,false,,`android.PSOService.ExternalCompilerFailureThreshold=<值>` / `android.PSOService.ExternalCompilerFailureThreshold <值>` 或 INI 中配置,Number of external PSO compiler failures to ignore before disabling external PSO compiling altogether.\n,ECVF_Default | ECVF_RenderThreadSafe
android.PSOService.MaxPriPSOPrecacheAffinity,CVar,string,,android,通用,Android,true,false,false,false,false,,`android.PSOService.MaxPriPSOPrecacheAffinity=<值>` / `android.PSOService.MaxPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling high priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
android.PSOService.MinPriPSOPrecacheAffinity,CVar,string,,android,通用,Android,true,false,false,false,false,,`android.PSOService.MinPriPSOPrecacheAffinity=<值>` / `android.PSOService.MinPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling low priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
android.PSOService.NormalPriPSOPrecacheAffinity,CVar,string,,android,材质,Android,true,false,false,false,false,,`android.PSOService.NormalPriPSOPrecacheAffinity=<值>` / `android.PSOService.NormalPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling normal priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
android.Vulkan.HasUnifiedMemory,CVar,int32,1,android,RHI/底层渲染接口,Android、Vulkan,true,false,false,false,false,,`android.Vulkan.HasUnifiedMemory=<值>` / `android.Vulkan.HasUnifiedMemory <值>` 或 INI 中配置,Whether or not device has unified memory\n,ECVF_SetByDeviceProfile
Android.Vulkan.NumRemoteProgramCompileServices,CVar,string,,Android,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`Android.Vulkan.NumRemoteProgramCompileServices=<值>` / `Android.Vulkan.NumRemoteProgramCompileServices <值>` 或 INI 中配置,The number of separate processes to make available to compile Vulkan PSOs.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
