command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
d3d12.AllowPoolAllocateIndirectArgBuffers,CVar,string,,d3d12,GI,DirectX,false,true,false,false,false,,`d3d12.AllowPoolAllocateIndirectArgBuffers=<值>` / `d3d12.AllowPoolAllocateIndirectArgBuffers <值>` 或 INI 中配置,Allow indirect args to be pool allocated (otherwise they will be committed resources) (default: 0),ECVF_ReadOnly
foliage.DiscardDataOnLoad,CVar,int32,0,foliage,GI,All,true,false,false,false,true,,`foliage.DiscardDataOnLoad=<值>` / `foliage.DiscardDataOnLoad <值>` 或 INI 中配置,1: Discard foliage data on load if the foliage type has it enabled; 0: Keep foliage data regardless of whether the foliage type has it enabled or not (requires reloading level),ECVF_Scalability
fx.EnableEmitterMergeChangeIdLogging,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.EnableEmitterMergeChangeIdLogging=<值>` / `fx.EnableEmitterMergeChangeIdLogging <值>` 或 INI 中配置,If > 0 verbose change id information will be logged to help with debuggin merge issues. \n,ECVF_Default
fx.EnableVerboseNiagaraChangeIdLogging,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.EnableVerboseNiagaraChangeIdLogging=<值>` / `fx.EnableVerboseNiagaraChangeIdLogging <值>` 或 INI 中配置,If > 0 Verbose change id logging info will be printed. \n,ECVF_Default
fx.Niagara.Batcher.DebugLogging,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.Batcher.DebugLogging=<值>` / `fx.Niagara.Batcher.DebugLogging <值>` 或 INI 中配置,Enables a lot of spew to the log to debug the batcher.,ECVF_Default
fx.Niagara.CompileWaitLoggingCap,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.CompileWaitLoggingCap=<值>` / `fx.Niagara.CompileWaitLoggingCap <值>` 或 INI 中配置,"During automation, how many times do we log before failing compilation?",ECVF_Default
fx.Niagara.CompileWaitLoggingThreshold,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.CompileWaitLoggingThreshold=<值>` / `fx.Niagara.CompileWaitLoggingThreshold <值>` 或 INI 中配置,"During automation, how long do we wait for a compile result before logging.",ECVF_Default
fx.Niagara.IndirectArgsPool.AllowShrinking,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.IndirectArgsPool.AllowShrinking=<值>` / `fx.Niagara.IndirectArgsPool.AllowShrinking <值>` 或 INI 中配置,Allow the indirect args pool to shrink after a number of frames below a low water mark.,ECVF_Default
fx.Niagara.IndirectArgsPool.BlockSizeFactor,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.IndirectArgsPool.BlockSizeFactor=<值>` / `fx.Niagara.IndirectArgsPool.BlockSizeFactor <值>` 或 INI 中配置,Multiplier on the indirect args pool size when needing to increase it from running out of space. (default=2.0),ECVF_Default
fx.Niagara.IndirectArgsPool.LowWaterAmount,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.IndirectArgsPool.LowWaterAmount=<值>` / `fx.Niagara.IndirectArgsPool.LowWaterAmount <值>` 或 INI 中配置,Percentage (0-1) of the indirect args pool that is considered low and worthy of shrinking,ECVF_Default
fx.Niagara.IndirectArgsPool.LowWaterFrames,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.IndirectArgsPool.LowWaterFrames=<值>` / `fx.Niagara.IndirectArgsPool.LowWaterFrames <值>` 或 INI 中配置,The number of frames to wait to shrink the indirect args pool for being below the low water mark. (default=150),ECVF_Default
fx.Niagara.IndirectArgsPool.MinSize,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.IndirectArgsPool.MinSize=<值>` / `fx.Niagara.IndirectArgsPool.MinSize <值>` 或 INI 中配置,Minimum number of draw indirect args allocated into the pool. (default=256),ECVF_Default
fx.Niagara.Landscape.MaxRegionCaptureCount,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.Landscape.MaxRegionCaptureCount=<值>` / `fx.Niagara.Landscape.MaxRegionCaptureCount <值>` 或 INI 中配置,The maximum number of collision components that will be captured by the Landscape DI.,ECVF_Default
fx.Niagara.Landscape.MaxRegionSearchCount,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.Landscape.MaxRegionSearchCount=<值>` / `fx.Niagara.Landscape.MaxRegionSearchCount <值>` 或 INI 中配置,The maximum number of collision components that will be evaluated for capture by the Landscape DI.,ECVF_Default
fx.Niagara.Logging.EmitGPUGenTickErrors,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.Logging.EmitGPUGenTickErrors=<值>` / `fx.Niagara.Logging.EmitGPUGenTickErrors <值>` 或 INI 中配置,"If true, we will emit errors to the log when Niagara GPU Ticks have critical errors.",ECVF_Default
fx.Niagara.ParseCompileMetaDataOnGet,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.ParseCompileMetaDataOnGet=<值>` / `fx.Niagara.ParseCompileMetaDataOnGet <值>` 或 INI 中配置,When true the compilation metadata from DDC will be parsed on get.,ECVF_Default
fx.Niagara.PreloadSelectablePluginAssetsOnDemand,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.PreloadSelectablePluginAssetsOnDemand=<值>` / `fx.Niagara.PreloadSelectablePluginAssetsOnDemand <值>` 或 INI 中配置,"If > 0 then niagara system, emitter, and script assets provided by the niagara plugin will be preloaded when a dialog is opened to select them. This is a temoporary workaround for asset registry issues in cooked editor builds.\n",ECVF_Default
fx.Niagara.Scalability.ApplyInstanceCountsRigidly,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.Niagara.Scalability.ApplyInstanceCountsRigidly=<值>` / `fx.Niagara.Scalability.ApplyInstanceCountsRigidly <值>` 或 INI 中配置,If true we'll apply instance counts more rigidly. Un-culled Systems wil not be able to activate until overall systems fall below the instance count. \n,ECVF_Default
fx.NiagaraOptimizeCrossGPUTransfer,CVar,string,,fx,GI,All,true,false,false,false,false,,`fx.NiagaraOptimizeCrossGPUTransfer=<值>` / `fx.NiagaraOptimizeCrossGPUTransfer <值>` 或 INI 中配置,Optimizes fence waits for cross GPU transfers when rendering views on multiple GPUs via nDisplay.  (Default = 1),ECVF_Default
OpenGL.UsePersistentMappingStagingBuffer,CVar,string,,OpenGL,GI,OpenGL,false,true,false,false,false,,`OpenGL.UsePersistentMappingStagingBuffer=<值>` / `OpenGL.UsePersistentMappingStagingBuffer <值>` 或 INI 中配置,"If true, it will use persistent mapping for the Staging Buffer.",ECVF_ReadOnly
OpenGL.UseStagingBuffer,CVar,string,,OpenGL,GI,OpenGL,false,true,false,false,false,,`OpenGL.UseStagingBuffer=<值>` / `OpenGL.UseStagingBuffer <值>` 或 INI 中配置,Enables maps of dynamic vertex buffers to go to a staging buffer,ECVF_ReadOnly
p.ChaosClothAsset.Thumbnail.Enable,CVar,bool,true,p,GI,All,true,false,false,false,false,,`p.ChaosClothAsset.Thumbnail.Enable=<值>` / `p.ChaosClothAsset.Thumbnail.Enable <值>` 或 INI 中配置,Enable Cloth Asset and Outfit Asset thumbnail generation.\n Default: True.,
r.AmbientOcclusion.AsyncComputeBudget,CVar,int32,1,r,GI,All,true,false,false,false,false,,`r.AmbientOcclusion.AsyncComputeBudget=<值>` / `r.AmbientOcclusion.AsyncComputeBudget <值>` 或 INI 中配置,Defines which level of EAsyncComputeBudget to use for balancing AsyncCompute work against Gfx work.\n,ECVF_RenderThreadSafe
r.AmbientOcclusion.Compute,CVar,int32,0,r,GI,All,true,false,false,false,true,,`r.AmbientOcclusion.Compute=<值>` / `r.AmbientOcclusion.Compute <值>` 或 INI 中配置,If SSAO should use ComputeShader (not available on all platforms) or PixelShader.\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.AmbientOcclusion.Compute.Smooth,CVar,int32,1,r,GI,All,true,false,false,false,true,,`r.AmbientOcclusion.Compute.Smooth=<值>` / `r.AmbientOcclusion.Compute.Smooth <值>` 或 INI 中配置,Whether to smooth SSAO output when TAA is disabled,ECVF_RenderThreadSafe | ECVF_Scalability
r.AmbientOcclusion.Denoiser,CVar,int32,2,r,GI,All,true,false,false,false,false,,`r.AmbientOcclusion.Denoiser=<值>` / `r.AmbientOcclusion.Denoiser <值>` 或 INI 中配置,Choose the denoising algorithm.\n,ECVF_RenderThreadSafe
r.AmbientOcclusion.Denoiser.HistoryConvolution.KernelSpreadFactor,CVar,float,7,r,GI,All,true,false,false,false,false,,`r.AmbientOcclusion.Denoiser.HistoryConvolution.KernelSpreadFactor=<值>` / `r.AmbientOcclusion.Denoiser.HistoryConvolution.KernelSpreadFactor <值>` 或 INI 中配置,Multiplication factor applied on the kernel sample offset (default = 7).,ECVF_RenderThreadSafe
r.AmbientOcclusion.Denoiser.HistoryConvolution.SampleCount,CVar,int32,1,r,GI,All,true,false,false,false,false,,`r.AmbientOcclusion.Denoiser.HistoryConvolution.SampleCount=<值>` / `r.AmbientOcclusion.Denoiser.HistoryConvolution.SampleCount <值>` 或 INI 中配置,Number of samples to use for history post filter (default = 16).,ECVF_RenderThreadSafe
r.AmbientOcclusion.Denoiser.KernelSpreadFactor,CVar,float,4,r,GI,All,true,false,false,false,false,,`r.AmbientOcclusion.Denoiser.KernelSpreadFactor=<值>` / `r.AmbientOcclusion.Denoiser.KernelSpreadFactor <值>` 或 INI 中配置,Spread factor of the preconvolution passes.,ECVF_RenderThreadSafe
r.AmbientOcclusion.Denoiser.PreConvolution,CVar,int32,2,r,GI,All,true,false,false,false,false,,`r.AmbientOcclusion.Denoiser.PreConvolution=<值>` / `r.AmbientOcclusion.Denoiser.PreConvolution <值>` 或 INI 中配置,Number of pre-convolution passes (default = 1).,ECVF_RenderThreadSafe
r.AmbientOcclusion.Denoiser.ReconstructionSamples,CVar,int32,16,r,GI,All,true,false,false,false,false,,`r.AmbientOcclusion.Denoiser.ReconstructionSamples=<值>` / `r.AmbientOcclusion.Denoiser.ReconstructionSamples <值>` 或 INI 中配置,Maximum number of samples for the reconstruction pass (default = 16).,ECVF_RenderThreadSafe
r.AmbientOcclusion.Denoiser.TemporalAccumulation,CVar,int32,1,r,GI,All,true,false,false,false,false,,`r.AmbientOcclusion.Denoiser.TemporalAccumulation=<值>` / `r.AmbientOcclusion.Denoiser.TemporalAccumulation <值>` 或 INI 中配置,Accumulates the samples over multiple frames.,ECVF_RenderThreadSafe
