command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
foliage.CullAll,CVar,int32,0,foliage,景观/植被,All,true,false,false,false,true,,`foliage.CullAll=<值>` / `foliage.CullAll <值>` 或 INI 中配置,"If greater than zero, everything is considered culled.",ECVF_Scalability
foliage.CullDistanceScale,CVar,float,1.0,foliage,景观/植被,All,true,false,false,false,true,,`foliage.CullDistanceScale=<值>` / `foliage.CullDistanceScale <值>` 或 INI 中配置,Controls the cull distance scale. Foliage must opt-in to cull distance scaling through the foliage type.,ECVF_Scalability
foliage.DebugBuildTreeAsyncDelayInSeconds,CVar,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.DebugBuildTreeAsyncDelayInSeconds=<值>` / `foliage.DebugBuildTreeAsyncDelayInSeconds <值>` 或 INI 中配置,Adds a delay (in seconds) to BuildTreeAsync tasks for debugging,
foliage.DensityScale,CVar,float,1.0,foliage,景观/植被,All,true,false,false,true,true,FoliageQuality@0;FoliageQuality@1;FoliageQuality@2;FoliageQuality@3;FoliageQuality@Cine,`foliage.DensityScale=<值>` / `foliage.DensityScale <值>` 或 INI 中配置,Controls the amount of foliage to render. Foliage must opt-in to density scaling through the foliage type.,ECVF_Scalability
foliage.DisableCull,CVar,int32,0,foliage,景观/植被,All,true,false,false,false,false,,`foliage.DisableCull=<值>` / `foliage.DisableCull <值>` 或 INI 中配置,"If greater than zero, no culling occurs based on frustum.",
foliage.DitheredLOD,CVar,int32,1,foliage,景观/植被,All,true,false,false,false,false,,`foliage.DitheredLOD=<值>` / `foliage.DitheredLOD <值>` 或 INI 中配置,"If greater than zero, dithered LOD is used, otherwise popping LOD is used.",
foliage.ForceLOD,CVar,int32,-1,foliage,景观/植被,All,true,false,false,false,false,,`foliage.ForceLOD=<值>` / `foliage.ForceLOD <值>` 或 INI 中配置,"If greater than or equal to zero, forces the foliage LOD to that level.",
foliage.Freeze,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.Freeze`（可带参数，具体见帮助说明）,Useful for debugging. Freezes the foliage culling and LOD.,
foliage.InstanceRuns,CVar,int32,0,foliage,景观/植被,All,true,false,false,false,false,,`foliage.InstanceRuns=<值>` / `foliage.InstanceRuns <值>` 或 INI 中配置,Whether to use the InstanceRuns feature of FMeshBatch to compress foliage draw call data sent to the renderer.  Not supported by the Mesh Draw Command pipeline.,
foliage.LODDistanceScale,CVar,float,1.0f,foliage,景观/植被,All,true,false,false,false,true,,`foliage.LODDistanceScale=<值>` / `foliage.LODDistanceScale <值>` 或 INI 中配置,Scale factor for the distance used in computing LOD for foliage.,ECVF_Scalability
foliage.LogFoliageFrame,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.LogFoliageFrame`（可带参数，具体见帮助说明）,Useful for debugging. Logs all foliage rendered in a frame.,
foliage.MaxEndCullDistance,CVar,int32,0,foliage,景观/植被,All,true,false,false,false,false,,`foliage.MaxEndCullDistance=<值>` / `foliage.MaxEndCullDistance <值>` 或 INI 中配置,Max distance for end culling (0 disabled).,
foliage.MaxOcclusionQueriesPerComponent,CVar,int32,16,foliage,景观/植被,All,true,false,false,false,false,,`foliage.MaxOcclusionQueriesPerComponent=<值>` / `foliage.MaxOcclusionQueriesPerComponent <值>` 或 INI 中配置,Controls the granularity of occlusion culling. 16-128 is a reasonable range.,
foliage.MaxTrianglesToRender,CVar,int32,100000000,foliage,景观/植被,All,true,false,false,false,false,,`foliage.MaxTrianglesToRender=<值>` / `foliage.MaxTrianglesToRender <值>` 或 INI 中配置,This is an absolute limit on the number of foliage triangles to render in one traversal. This is used to prevent a silly LOD parameter mistake from causing the OS to kill the GPU.,
foliage.MinimumScreenSize,CVar,float,0.000005f,foliage,景观/植被,All,true,false,false,false,true,,`foliage.MinimumScreenSize=<值>` / `foliage.MinimumScreenSize <值>` 或 INI 中配置,This controls the screen size at which we cull foliage instances entirely.,ECVF_Scalability
foliage.MinInstancesPerOcclusionQuery,CVar,int32,256,foliage,景观/植被,All,true,false,false,false,false,,`foliage.MinInstancesPerOcclusionQuery=<值>` / `foliage.MinInstancesPerOcclusionQuery <值>` 或 INI 中配置,"Controls the granualrity of occlusion culling. 1024 to 65536 is a reasonable range. This is not exact, actual minimum might be off by a factor of two.",
foliage.MinLOD,CVar,int32,-1,foliage,景观/植被,All,true,false,false,false,true,,`foliage.MinLOD=<值>` / `foliage.MinLOD <值>` 或 INI 中配置,Used to discard the top LODs for performance evaluation. -1: Disable all effects of this cvar.,ECVF_Scalability | ECVF_Default
