command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
android.PSOService.NormalPriPSOPrecacheAffinity,CVar,string,,android,材质,Android,true,false,false,false,false,,`android.PSOService.NormalPriPSOPrecacheAffinity=<值>` / `android.PSOService.NormalPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling normal priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
ComputeKernel.ShowShaderCompilerWarnings,CVar,string,,ComputeKernel,材质,All,true,false,false,false,false,,`ComputeKernel.ShowShaderCompilerWarnings=<值>` / `ComputeKernel.ShowShaderCompilerWarnings <值>` 或 INI 中配置,"When set to 1, will display all warnings from ComputeKernel shader compiles.",
Cook.OnTheFly.AllowIncompleteShadermaps,CVar,string,,Cook,材质,All,true,false,false,false,false,,`Cook.OnTheFly.AllowIncompleteShadermaps=<值>` / `Cook.OnTheFly.AllowIncompleteShadermaps <值>` 或 INI 中配置,Controls whether incomplete shader maps are processed during cook on the fly\n,ECVF_Default
Cook.OnTheFly.ShaderCompilationDisabled,CVar,string,,Cook,材质,All,true,false,false,false,false,,`Cook.OnTheFly.ShaderCompilationDisabled=<值>` / `Cook.OnTheFly.ShaderCompilationDisabled <值>` 或 INI 中配置,Controls whether shader compilation is disabled during cook on the fly\n,ECVF_Default
D3D12.AdjustTexturePoolSizeBasedOnBudget,CVar,string,,D3D12,材质,DirectX,true,false,false,false,false,,`D3D12.AdjustTexturePoolSizeBasedOnBudget=<值>` / `D3D12.AdjustTexturePoolSizeBasedOnBudget <值>` 或 INI 中配置,Indicates if the RHI should lower the texture pool size when the application is over the memory budget provided by the OS. This can result in lower quality textures (but hopefully improve performance).,
D3D12.GlobalSamplerDescriptorHeapSize,CVar,string,,D3D12,材质,DirectX,false,true,false,false,false,,`D3D12.GlobalSamplerDescriptorHeapSize=<值>` / `D3D12.GlobalSamplerDescriptorHeapSize <值>` 或 INI 中配置,Global sampler descriptor heap size,ECVF_ReadOnly
D3D12.GlobalSamplerHeapSize,CVar,string,,D3D12,材质,DirectX,false,true,false,false,false,,`D3D12.GlobalSamplerHeapSize=<值>` / `D3D12.GlobalSamplerHeapSize <值>` 或 INI 中配置,Global sampler descriptor heap size,ECVF_ReadOnly
d3d12.PoolAllocator.ReadOnlyTextureMaxAllocationSize,CVar,string,,d3d12,材质,DirectX,false,true,false,false,false,,`d3d12.PoolAllocator.ReadOnlyTextureMaxAllocationSize=<值>` / `d3d12.PoolAllocator.ReadOnlyTextureMaxAllocationSize <值>` 或 INI 中配置,Maximum size of a single allocation in the VRAM ReadOnly Texture pool allocator (default 64MB),ECVF_ReadOnly
d3d12.PoolAllocator.ReadOnlyTextureVRAMPoolSize,CVar,string,,d3d12,材质,DirectX,false,true,false,false,false,,`d3d12.PoolAllocator.ReadOnlyTextureVRAMPoolSize=<值>` / `d3d12.PoolAllocator.ReadOnlyTextureVRAMPoolSize <值>` 或 INI 中配置,Pool size of a single VRAM ReadOnly Texture memory pool (default 64MB),ECVF_ReadOnly
D3D12.TexturePoolOnlyAccountStreamableTexture,CVar,string,,D3D12,材质,DirectX,false,true,false,false,false,,`D3D12.TexturePoolOnlyAccountStreamableTexture=<值>` / `D3D12.TexturePoolOnlyAccountStreamableTexture <值>` 或 INI 中配置,Texture streaming pool size only account streamable texture .\n,ECVF_ReadOnly
D3D12.UseUpdateTexture3DComputeShader,CVar,int32,0,D3D12,材质,DirectX,true,false,false,false,false,,`D3D12.UseUpdateTexture3DComputeShader=<值>` / `D3D12.UseUpdateTexture3DComputeShader <值>` 或 INI 中配置,"If enabled, use a compute shader for UpdateTexture3D. Avoids alignment restrictions",ECVF_RenderThreadSafe
d3d12.VRAMTexturePoolDefrag,CVar,string,,d3d12,材质,DirectX,false,true,false,false,false,,`d3d12.VRAMTexturePoolDefrag=<值>` / `d3d12.VRAMTexturePoolDefrag <值>` 或 INI 中配置,Defrag the VRAM Texture pool (enabled by default),ECVF_ReadOnly
d3d12.VRAMTexturePoolDefrag.MaxCopySizePerFrame,CVar,string,,d3d12,材质,DirectX,false,true,false,false,false,,`d3d12.VRAMTexturePoolDefrag.MaxCopySizePerFrame=<值>` / `d3d12.VRAMTexturePoolDefrag.MaxCopySizePerFrame <值>` 或 INI 中配置,Max amount of data to copy during defragmentation in a single frame (default 32MB),ECVF_ReadOnly
DumpDetailedPrimitives,Command,string,,DumpDetailedPrimitives,材质,All,true,false,false,false,false,,`DumpDetailedPrimitives`（可带参数，具体见帮助说明）,Writes the detailed information of all primitives tracked by the PrimitiveDebugger to a CSV file,ECVF_Default
Editor.AsyncTextureCompilationCancelable,CVar,string,,Editor,材质,All,true,false,false,false,false,,`Editor.AsyncTextureCompilationCancelable=<值>` / `Editor.AsyncTextureCompilationCancelable <值>` 或 INI 中配置,Whether or not to allow early cancelation of textures during async compilation.,ECVF_Default
fx.DetailedCSVStats,CVar,bool,false,fx,材质,All,true,false,false,false,false,,`fx.DetailedCSVStats=<值>` / `fx.DetailedCSVStats <值>` 或 INI 中配置,"If true, we write detailed partilce stats to the CSV profiler.",ECVF_Default | ECVF_RenderThreadSafe
fx.GPUSimulationDynTextureSizeXY,CVar,string,,fx,材质,All,false,true,false,false,false,,`fx.GPUSimulationDynTextureSizeXY=<值>` / `fx.GPUSimulationDynTextureSizeXY <值>` 或 INI 中配置,GPU Particle simulation texture XY dimension when dynamic resizing is enabled (default=16),ECVF_ReadOnly
