command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
Composite.Pool.FramesUntilFlush,CVar,int32,1,Composite,渲染管线,All,true,false,false,false,false,,`Composite.Pool.FramesUntilFlush=<值>` / `Composite.Pool.FramesUntilFlush <值>` 或 INI 中配置,"In editor, you can alter the target size and render format.",
fx.Budget.HistoryFrames,CVar,string,,fx,渲染管线,All,false,true,false,false,false,,`fx.Budget.HistoryFrames=<值>` / `fx.Budget.HistoryFrames <值>` 或 INI 中配置,Number of frames the global FX budget tracking will hold to work out it's average frame time.,ECVF_Default | ECVF_ReadOnly
fx.Cascade.MeshRenderingEnabled,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Cascade.MeshRenderingEnabled=<值>` / `fx.Cascade.MeshRenderingEnabled <值>` 或 INI 中配置,Controls if mesh rendering is enabled for Cascade,ECVF_Default
fx.EnableNiagaraMeshRendering,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.EnableNiagaraMeshRendering=<值>` / `fx.EnableNiagaraMeshRendering <值>` 或 INI 中配置,If false Niagara Mesh Renderers are disabled.,ECVF_Default
fx.MaxNiagaraRasterizationGridCells,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.MaxNiagaraRasterizationGridCells=<值>` / `fx.MaxNiagaraRasterizationGridCells <值>` 或 INI 中配置,The max number of supported grid cells in Niagara. Overflowing this threshold will cause the sim to warn and fail. \n,ECVF_Default
fx.Niagara.AsyncTrace.ScratchPadBucketSize,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.AsyncTrace.ScratchPadBucketSize=<值>` / `fx.Niagara.AsyncTrace.ScratchPadBucketSize <值>` 或 INI 中配置,Size (in elements) for async gpu traces scratch buffer buckets. \n,ECVF_Default
fx.Niagara.Batcher.TickFlush.MaxQueuedFrames,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.Batcher.TickFlush.MaxQueuedFrames=<值>` / `fx.Niagara.Batcher.TickFlush.MaxQueuedFrames <值>` 或 INI 中配置,The number of unprocessed frames with queued ticks before we process them.\n,ECVF_Default
fx.Niagara.DataChannels.AllowAsyncLoad,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.DataChannels.AllowAsyncLoad=<值>` / `fx.Niagara.DataChannels.AllowAsyncLoad <值>` 或 INI 中配置,True if we should attempt to load systems etc asynchronously.,ECVF_Default
fx.Niagara.DataChannels.BlockAsyncLoadOnUse,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.DataChannels.BlockAsyncLoadOnUse=<值>` / `fx.Niagara.DataChannels.BlockAsyncLoadOnUse <值>` 或 INI 中配置,True if we should block on any pending async loads when those assets are used.,ECVF_Default
fx.Niagara.DataChannels.ForceReadPrevFrame,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.DataChannels.ForceReadPrevFrame=<值>` / `fx.Niagara.DataChannels.ForceReadPrevFrame <值>` 或 INI 中配置,When true this will force Niagara systems with NDC read DIs to read from the previous frame.,ECVF_Default
fx.Niagara.DataChannels.FrameDataToCapture,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.DataChannels.FrameDataToCapture=<值>` / `fx.Niagara.DataChannels.FrameDataToCapture <值>` 或 INI 中配置,The number of frames the debugger will capture for write requests.,ECVF_Default
fx.Niagara.Emitter.ComputePSOPrecacheMode,CVar,string,,fx,渲染管线,All,true,false,false,false,true,,`fx.Niagara.Emitter.ComputePSOPrecacheMode=<值>` / `fx.Niagara.Emitter.ComputePSOPrecacheMode <值>` 或 INI 中配置,Controlls how PSO precaching should be done for Niagara compute shaders\n,ECVF_Scalability
fx.Niagara.MaxCompilePollTimePerFrame,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.MaxCompilePollTimePerFrame=<值>` / `fx.Niagara.MaxCompilePollTimePerFrame <值>` 或 INI 中配置,"When a lot of system compile tasks queue up, this is the max time per frame that is used to advance them.",ECVF_Default
fx.Niagara.NDISpline.GDisableLUTs,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.NDISpline.GDisableLUTs=<值>` / `fx.Niagara.NDISpline.GDisableLUTs <值>` 或 INI 中配置,Should we turn off all LUTs on CPU?,ECVF_Default
fx.Niagara.ParallelGDME,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.ParallelGDME=<值>` / `fx.Niagara.ParallelGDME <值>` 或 INI 中配置,Allow Niagara to run parallel in GDME.,ECVF_Default
fx.Niagara.PerfTestFrames,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.PerfTestFrames=<值>` / `fx.Niagara.PerfTestFrames <值>` 或 INI 中配置,How many frames to gather in each performance test. \n,ECVF_Default
fx.Niagara.Rollback.SkeletalMeshDI.UseNewResetRequired,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.Rollback.SkeletalMeshDI.UseNewResetRequired=<值>` / `fx.Niagara.Rollback.SkeletalMeshDI.UseNewResetRequired <值>` 或 INI 中配置,Rollback console variable to use the old reset required detection vs the new one which is more concise.,ECVF_Default
fx.Niagara.SystemSimulation.AllowASync,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.SystemSimulation.AllowASync=<值>` / `fx.Niagara.SystemSimulation.AllowASync <值>` 或 INI 中配置,"If > 0, system simulation tick is parallelized. \n",ECVF_Default
fx.Niagara.SystemSimulation.AllowASyncSimCache,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.SystemSimulation.AllowASyncSimCache=<值>` / `fx.Niagara.SystemSimulation.AllowASyncSimCache <值>` 或 INI 中配置,"If > 0, sim cache tick is parallelized. \n",ECVF_Default
fx.Niagara.SystemSimulation.TickTaskAllowFrameOverlap,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.Niagara.SystemSimulation.TickTaskAllowFrameOverlap=<值>` / `fx.Niagara.SystemSimulation.TickTaskAllowFrameOverlap <值>` 或 INI 中配置,When enabled we allow ticks to overlap beyond PostActorTick until either EOF updates or the next tick.,ECVF_Default
fx.Niagara.WorldManager.TickParameterCollectionsOncePerFrame,CVar,string,,fx,渲染管线,All,true,false,false,false,true,,`fx.Niagara.WorldManager.TickParameterCollectionsOncePerFrame=<值>` / `fx.Niagara.WorldManager.TickParameterCollectionsOncePerFrame <值>` 或 INI 中配置,When true parameter collection updates will occur once per frame in the first tick group.\n,ECVF_Default | ECVF_Scalability
fx.NumFramesBetweenRuntimePerfSamples,CVar,string,,fx,渲染管线,All,false,true,false,false,false,,`fx.NumFramesBetweenRuntimePerfSamples=<值>` / `fx.NumFramesBetweenRuntimePerfSamples <值>` 或 INI 中配置,How many frames between each sample of Niagara runtime perf. \n,ECVF_ReadOnly
fx.ScalabilityMaxUpdatesPerFrame,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.ScalabilityMaxUpdatesPerFrame=<值>` / `fx.ScalabilityMaxUpdatesPerFrame <值>` 或 INI 中配置,Number of instances that can be processed per frame when updating scalability state. -1 for all of them. \n,ECVF_Default
fx.WaitForAsyncStallWarnThresholdMS,CVar,string,,fx,渲染管线,All,true,false,false,false,false,,`fx.WaitForAsyncStallWarnThresholdMS=<值>` / `fx.WaitForAsyncStallWarnThresholdMS <值>` 或 INI 中配置,If we stall in WaitForAsync for longer than this threshold then we emit a stall warning message.,ECVF_Default
MovieRenderPipeline.NumWarmUpFramesWithSpatialSampling,CVar,int32,5,MovieRenderPipeline,渲染管线,All,true,false,false,false,false,,`MovieRenderPipeline.NumWarmUpFramesWithSpatialSampling=<值>` / `MovieRenderPipeline.NumWarmUpFramesWithSpatialSampling <值>` 或 INI 中配置,The number of warm-up frames that should have spatial sampling applied to them.\n,ECVF_Default
MovieRenderPipeline.WaveOutput.WriteDelay,CVar,float,0.5f,MovieRenderPipeline,渲染管线,All,true,false,false,false,false,,`MovieRenderPipeline.WaveOutput.WriteDelay=<值>` / `MovieRenderPipeline.WaveOutput.WriteDelay <值>` 或 INI 中配置,How long (in seconds) should the .wav writer stall the main thread to wait for the async write to finish\n,ECVF_Default
