command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
android.OpenGL.InjectFragmentControlFlowHint,CVar,string,,android,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,`android.OpenGL.InjectFragmentControlFlowHint=<值>` / `android.OpenGL.InjectFragmentControlFlowHint <值>` 或 INI 中配置,true - Injects a benign control flow branch into the fragment shader to trigger alternative code generation with some compilers.\n,ECVF_ReadOnly
Android.OpenGL.NumRemoteProgramCompileServices,CVar,string,,Android,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,`Android.OpenGL.NumRemoteProgramCompileServices=<值>` / `Android.OpenGL.NumRemoteProgramCompileServices <值>` 或 INI 中配置,The number of separate processes to make available to compile opengl programs.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
android.Vulkan.HasUnifiedMemory,CVar,int32,1,android,RHI/底层渲染接口,Android、Vulkan,true,false,false,false,false,,`android.Vulkan.HasUnifiedMemory=<值>` / `android.Vulkan.HasUnifiedMemory <值>` 或 INI 中配置,Whether or not device has unified memory\n,ECVF_SetByDeviceProfile
Android.Vulkan.NumRemoteProgramCompileServices,CVar,string,,Android,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`Android.Vulkan.NumRemoteProgramCompileServices=<值>` / `Android.Vulkan.NumRemoteProgramCompileServices <值>` 或 INI 中配置,The number of separate processes to make available to compile Vulkan PSOs.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
d3d11.ZeroBufferSizeInMB,CVar,int32,4,d3d11,RHI/底层渲染接口,DirectX、Windows,false,true,false,false,false,,`d3d11.ZeroBufferSizeInMB=<值>` / `d3d11.ZeroBufferSizeInMB <值>` 或 INI 中配置,The D3D11 RHI needs a static allocation of zeroes to use when streaming textures asynchronously. It should be large enough to support the largest mipmap you need to stream. The default is 4MB.,ECVF_ReadOnly
d3d12.AllowDiscardResources,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,`d3d12.AllowDiscardResources=<值>` / `d3d12.AllowDiscardResources <值>` 或 INI 中配置,Whether to call DiscardResources after transient aliasing acquire. This is not needed on some platforms if newly acquired resources are cleared before use.,ECVF_RenderThreadSafe
d3d12.BatchResourceBarriers,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,`d3d12.BatchResourceBarriers=<值>` / `d3d12.BatchResourceBarriers <值>` 或 INI 中配置,Whether to allow batching resource barriers,
d3d12.BindResourceLabels,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,`d3d12.BindResourceLabels=<值>` / `d3d12.BindResourceLabels <值>` 或 INI 中配置,Whether to enable binding of debug names to D3D12 resources.,
d3d12.DefaultBuffer.OverFlowPoolsCount,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,`d3d12.DefaultBuffer.OverFlowPoolsCount=<值>` / `d3d12.DefaultBuffer.OverFlowPoolsCount <值>` 或 INI 中配置,Max OverFlow Pools count to pre-allocate,ECVF_ReadOnly
d3d12.DefaultBuffer.PoolAllocationStrategy,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,`d3d12.DefaultBuffer.PoolAllocationStrategy=<值>` / `d3d12.DefaultBuffer.PoolAllocationStrategy <值>` 或 INI 中配置,Pool allocation strategy,ECVF_ReadOnly
