command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
foliage.ApplyViewOcclusionCullToShadow,CVar,bool,true,foliage,阴影,All,true,false,false,false,false,,`foliage.ApplyViewOcclusionCullToShadow=<值>` / `foliage.ApplyViewOcclusionCullToShadow <值>` 或 INI 中配置,Re-use main view occlusion culling results to speed up the shadow view. Shadows for fully occluded objects may be missing.,
r.AllowLandscapeShadows,CVar,string,,r,阴影,All,true,false,false,false,true,,`r.AllowLandscapeShadows=<值>` / `r.AllowLandscapeShadows <值>` 或 INI 中配置,Allow Landscape Shadows,ECVF_RenderThreadSafe | ECVF_Scalability
r.AllowPointLightCubemapShadows,CVar,string,,r,阴影,All,true,false,false,false,false,,`r.AllowPointLightCubemapShadows=<值>` / `r.AllowPointLightCubemapShadows <值>` 或 INI 中配置,"When 0, will prevent point light cube map shadows from being used and the light will be unshadowed.",
r.Cache.DrawDirectionalShadowing,CVar,string,,r,阴影,All,true,false,false,false,false,,`r.Cache.DrawDirectionalShadowing=<值>` / `r.Cache.DrawDirectionalShadowing <值>` 或 INI 中配置,Whether to draw direct shadowing sample points as generated by Lightmass.\n,ECVF_RenderThreadSafe
r.CapsuleDirectShadows,CVar,string,,r,阴影,All,true,false,false,false,true,,`r.CapsuleDirectShadows=<值>` / `r.CapsuleDirectShadows <值>` 或 INI 中配置,Whether to allow capsule direct shadowing on skinned components with bCastCapsuleDirectShadow enabled.,ECVF_Scalability | ECVF_RenderThreadSafe
r.CapsuleIndirectShadows,CVar,string,,r,阴影,All,true,false,false,false,true,,`r.CapsuleIndirectShadows=<值>` / `r.CapsuleIndirectShadows <值>` 或 INI 中配置,Whether to allow capsule indirect shadowing on skinned components with bCastCapsuleIndirectShadow enabled.,ECVF_Scalability | ECVF_RenderThreadSafe
r.CapsuleShadows,CVar,string,,r,阴影,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.CapsuleShadows=<值>` / `r.CapsuleShadows <值>` 或 INI 中配置,Whether to allow capsule shadowing on skinned components with bCastCapsuleDirectShadow or bCastCapsuleIndirectShadow enabled.,ECVF_Scalability | ECVF_RenderThreadSafe
r.CapsuleShadowsFullResolution,CVar,string,,r,阴影,All,true,false,false,false,true,,`r.CapsuleShadowsFullResolution=<值>` / `r.CapsuleShadowsFullResolution <值>` 或 INI 中配置,Whether to compute capsule shadows at full resolution.,ECVF_Scalability | ECVF_RenderThreadSafe
r.ContactShadows,CVar,int32,1,r,阴影,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3,`r.ContactShadows=<值>` / `r.ContactShadows <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.ContactShadows.Bend.OverrideSurfaceThickness,CVar,string,,r,阴影,All,true,false,false,false,false,,`r.ContactShadows.Bend.OverrideSurfaceThickness=<值>` / `r.ContactShadows.Bend.OverrideSurfaceThickness <值>` 或 INI 中配置,How thick the surface represented by a pixel is assumed to be when determining whether a ray intersects it.,ECVF_RenderThreadSafe
r.ContactShadows.Intensity.FadeLength,CVar,string,,r,阴影,All,true,false,false,false,false,,`r.ContactShadows.Intensity.FadeLength=<值>` / `r.ContactShadows.Intensity.FadeLength <值>` 或 INI 中配置,Length of the fading interval from NonCastingIntensity to CastingIntensity.\n,ECVF_RenderThreadSafe
r.ContactShadows.Intensity.Mode,CVar,string,,r,阴影,All,true,false,false,false,true,,`r.ContactShadows.Intensity.Mode=<值>` / `r.ContactShadows.Intensity.Mode <值>` 或 INI 中配置,Control how contact shadow intensity is calculated:\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.ContactShadows.NonShadowCastingIntensity,CVar,float,0.0f,r,阴影,All,true,false,false,false,true,,`r.ContactShadows.NonShadowCastingIntensity=<值>` / `r.ContactShadows.NonShadowCastingIntensity <值>` 或 INI 中配置,DEPRECATED. Please use the parameters on the Light Component directly instead.\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.ContactShadows.OverrideLength,CVar,float,-1.0f,r,阴影,All,true,false,false,false,false,,`r.ContactShadows.OverrideLength=<值>` / `r.ContactShadows.OverrideLength <值>` 或 INI 中配置,Allows overriding the contact shadow length for all directional lights.\n,ECVF_RenderThreadSafe
