command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
r.PSOPrecache.PrecacheTranslucencyUnderWater,CVar,string,,r,水体,All,false,true,false,false,false,,`r.PSOPrecache.PrecacheTranslucencyUnderWater=<值>` / `r.PSOPrecache.PrecacheTranslucencyUnderWater <值>` 或 INI 中配置,Precache translucency under water pass permutations with different render target formats (-1 use engine default),ECVF_ReadOnly
r.ShallowWater.CollisionTracker.ImpactTrackerActiveForSeconds,CVar,string,,r,水体,All,true,false,false,false,false,,`r.ShallowWater.CollisionTracker.ImpactTrackerActiveForSeconds=<值>` / `r.ShallowWater.CollisionTracker.ImpactTrackerActiveForSeconds <值>` 或 INI 中配置,"How long impacts (e.g. bullets hit water) are tracked, keeping the sim active",
r.ShallowWater.DebugRender,CVar,string,,r,水体,All,true,false,false,false,false,,`r.ShallowWater.DebugRender=<值>` / `r.ShallowWater.DebugRender <值>` 或 INI 中配置,,
r.ShallowWater.DrawSurfaceProjection,CVar,string,,r,水体,All,true,false,false,false,false,,`r.ShallowWater.DrawSurfaceProjection=<值>` / `r.ShallowWater.DrawSurfaceProjection <值>` 或 INI 中配置,,
r.ShallowWater.Enabled,CVar,string,,r,水体,All,true,false,false,false,true,,`r.ShallowWater.Enabled=<值>` / `r.ShallowWater.Enabled <值>` 或 INI 中配置,Should create ShallowWaterSubsystem at all,ECVF_Scalability
r.ShallowWater.FadeOutWait,CVar,string,,r,水体,All,true,false,false,false,false,,`r.ShallowWater.FadeOutWait=<值>` / `r.ShallowWater.FadeOutWait <值>` 或 INI 中配置,"If not any kind of collision or collision tracker is active, how long the simulation continues to be active to wait out the ripples",
r.ShallowWater.RiverDebugVisualize,CVar,string,,r,水体,All,true,false,false,false,false,,`r.ShallowWater.RiverDebugVisualize=<值>` / `r.ShallowWater.RiverDebugVisualize <值>` 或 INI 中配置,,
r.SingleLayerWater.UsesLightFunctionAtlas,CVar,int32,0,r,水体,All,false,true,false,false,false,,`r.SingleLayerWater.UsesLightFunctionAtlas=<值>` / `r.SingleLayerWater.UsesLightFunctionAtlas <值>` 或 INI 中配置,Enable sampling of the light function atlas on SingleLAyer Water mateirals.,ECVF_ReadOnly | ECVF_RenderThreadSafe
r.Skinning.Buffers.Defrag.LowWatermark,CVar,string,,r,水体,All,true,false,false,false,false,,`r.Skinning.Buffers.Defrag.LowWatermark=<值>` / `r.Skinning.Buffers.Defrag.LowWatermark <值>` 或 INI 中配置,Ratio of used to allocated memory at which to decide to defrag the skinning buffers.,ECVF_RenderThreadSafe
r.Water.BuildConservativeRasterizationMesh,CVar,int32,1,r,水体,All,false,true,false,false,false,,`r.Water.BuildConservativeRasterizationMesh=<值>` / `r.Water.BuildConservativeRasterizationMesh <值>` 或 INI 中配置,"Enables additional data in the UV channels of the water mesh, which is used for software conservative rasterization when creating the GPU water quadtree.",ECVF_ReadOnly
r.Water.BuoyancyDebugPoints,CVar,int32,10,r,水体,All,true,false,false,false,false,,`r.Water.BuoyancyDebugPoints=<值>` / `r.Water.BuoyancyDebugPoints <值>` 或 INI 中配置,Number of points in one dimension for buoyancy debug.,ECVF_Default
r.Water.BuoyancyDebugSize,CVar,int32,1000,r,水体,All,true,false,false,false,false,,`r.Water.BuoyancyDebugSize=<值>` / `r.Water.BuoyancyDebugSize <值>` 或 INI 中配置,Side length of square for buoyancy debug.,ECVF_Default
r.Water.DebugBuoyancy,CVar,int32,0,r,水体,All,true,false,false,false,false,,`r.Water.DebugBuoyancy=<值>` / `r.Water.DebugBuoyancy <值>` 或 INI 中配置,Enable debug drawing for water interactions.,ECVF_Default
r.Water.Enabled,CVar,int32,1,r,水体,All,true,false,false,false,false,,`r.Water.Enabled=<值>` / `r.Water.Enabled <值>` 或 INI 中配置,If all water rendering is enabled or disabled,ECVF_RenderThreadSafe
r.Water.EnableShallowWaterSimulation,CVar,string,,r,水体,All,true,false,false,false,true,,`r.Water.EnableShallowWaterSimulation=<值>` / `r.Water.EnableShallowWaterSimulation <值>` 或 INI 中配置,Controls whether the shallow water fluid sim is enabled,ECVF_Scalability
r.Water.FallbackDepth,CVar,float,3000.0f,r,水体,All,true,false,false,false,false,,`r.Water.FallbackDepth=<值>` / `r.Water.FallbackDepth <值>` 或 INI 中配置,Depth to use for all water when there are no ground actors defined.,ECVF_Default
r.Water.FreezeWaves,CVar,string,,r,水体,All,true,false,false,false,false,,`r.Water.FreezeWaves=<值>` / `r.Water.FreezeWaves <值>` 或 INI 中配置,Freeze time for waves if non-zero,ECVF_Cheat
r.Water.MaxFlowVelocity,CVar,float,1024.0f,r,水体,All,true,false,false,false,false,,`r.Water.MaxFlowVelocity=<值>` / `r.Water.MaxFlowVelocity <值>` 或 INI 中配置,The maximum magnitude for the velocity of a river to encode in the WaterInfo texture,ECVF_Default;ECVF_Default;ECVF_Default;ECVF_Default
r.Water.OceanFallbackDepth,CVar,float,3000.0f,r,水体,All,true,false,false,false,false,,`r.Water.OceanFallbackDepth=<值>` / `r.Water.OceanFallbackDepth <值>` 或 INI 中配置,Depth to report for the ocean when no terrain is found under the query location. Not used when <= 0.,ECVF_Default
r.Water.OverrideWavesTime,CVar,string,,r,水体,All,true,false,false,false,false,,`r.Water.OverrideWavesTime=<值>` / `r.Water.OverrideWavesTime <值>` 或 INI 中配置,Forces the time used for waves if >= 0.0,ECVF_Cheat
r.Water.ShallowWaterMaxDynamicForces,CVar,string,,r,水体,All,true,false,false,false,true,,`r.Water.ShallowWaterMaxDynamicForces=<值>` / `r.Water.ShallowWaterMaxDynamicForces <值>` 或 INI 中配置,Max number of dynamic forces that will be registered with sim at a time.,ECVF_Scalability
r.Water.ShallowWaterMaxImpulseForces,CVar,string,,r,水体,All,true,false,false,false,true,,`r.Water.ShallowWaterMaxImpulseForces=<值>` / `r.Water.ShallowWaterMaxImpulseForces <值>` 或 INI 中配置,Max number of impulse forces that will be registered with sim at a time.,ECVF_Scalability
r.Water.SingleLayer,CVar,int32,1,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer=<值>` / `r.Water.SingleLayer <值>` 或 INI 中配置,Enable the single water rendering system.,ECVF_RenderThreadSafe | ECVF_Scalability
r.Water.SingleLayer.ForceVelocity,CVar,int32,1,r,水体,All,false,true,false,false,false,,`r.Water.SingleLayer.ForceVelocity=<值>` / `r.Water.SingleLayer.ForceVelocity <值>` 或 INI 中配置,,ECVF_ReadOnly | ECVF_RenderThreadSafe
r.Water.SingleLayer.MobileFallback,CVar,int32,1,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer.MobileFallback=<值>` / `r.Water.SingleLayer.MobileFallback <值>` 或 INI 中配置,Whether to use a translucent rendering fallback for a single layer water on mobile platforms,ECVF_Scalability | ECVF_RenderThreadSafe
r.Water.SingleLayer.OptimizedClear,CVar,int32,1,r,水体,All,true,false,false,false,false,,`r.Water.SingleLayer.OptimizedClear=<值>` / `r.Water.SingleLayer.OptimizedClear <值>` 或 INI 中配置,Toggles optimized depth clear,ECVF_RenderThreadSafe
r.Water.SingleLayer.Reflection,CVar,int32,1,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer.Reflection=<值>` / `r.Water.SingleLayer.Reflection <值>` 或 INI 中配置,"Reflection technique to use on single layer water. 0: Disabled, 1: Enabled (same as rest of scene), 2: Force Reflection Captures and Sky, 3: Force SSR",ECVF_RenderThreadSafe | ECVF_Scalability
r.Water.SingleLayer.Reflection.Denoising,CVar,int32,0,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer.Reflection.Denoising=<值>` / `r.Water.SingleLayer.Reflection.Denoising <值>` 或 INI 中配置,"Whether to use denoising for Single Layer Water reflection traces. Adds some cost and makes reflections softer, but removes noise and flickering.",ECVF_RenderThreadSafe | ECVF_Scalability
r.Water.SingleLayer.Reflection.DownsampleCheckerboard,CVar,int32,0,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer.Reflection.DownsampleCheckerboard=<值>` / `r.Water.SingleLayer.Reflection.DownsampleCheckerboard <值>` 或 INI 中配置,Whether to use checkerboard downsampling when DownsampleFactor is greater than one.,ECVF_RenderThreadSafe | ECVF_Scalability
r.Water.SingleLayer.Reflection.DownsampleFactor,CVar,int32,1,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer.Reflection.DownsampleFactor=<值>` / `r.Water.SingleLayer.Reflection.DownsampleFactor <值>` 或 INI 中配置,"Downsample factor for Single Layer Water Reflection. Downsampling will introduce extra noise, so it's recommend to be used together with denoising (r.Water.SingleLayer.Reflection.Denoiser 1).",ECVF_RenderThreadSafe | ECVF_Scalability
r.Water.SingleLayer.Reflection.ScreenSpaceReconstruction,CVar,int32,0,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer.Reflection.ScreenSpaceReconstruction=<值>` / `r.Water.SingleLayer.Reflection.ScreenSpaceReconstruction <值>` 或 INI 中配置,"Whether to use screen space reconstruction for Single Layer Water reflection traces. Usually not needed, as water has mostly mirror reflections.",ECVF_RenderThreadSafe | ECVF_Scalability
r.Water.SingleLayer.Refraction.Culling,CVar,int32,0,r,水体,All,true,false,false,false,false,,`r.Water.SingleLayer.Refraction.Culling=<值>` / `r.Water.SingleLayer.Refraction.Culling <值>` 或 INI 中配置,Enables refraction culling on water. This allows the renderer to skip rendering portions of the scene behind water which are unlikely to be visible through water.,ECVF_RenderThreadSafe
r.Water.SingleLayer.Refraction.DepthCulling,CVar,float,-1.0f,r,水体,All,true,false,false,false,false,,`r.Water.SingleLayer.Refraction.DepthCulling=<值>` / `r.Water.SingleLayer.Refraction.DepthCulling <值>` 或 INI 中配置,Depth below which to cull refractions.,ECVF_RenderThreadSafe
r.Water.SingleLayer.Refraction.DepthCullingFadeRange,CVar,float,100.0f,r,水体,All,true,false,false,false,false,,`r.Water.SingleLayer.Refraction.DepthCullingFadeRange=<值>` / `r.Water.SingleLayer.Refraction.DepthCullingFadeRange <值>` 或 INI 中配置,Depth range over which to fade out refractions.,ECVF_RenderThreadSafe
r.Water.SingleLayer.Refraction.DistanceCulling,CVar,float,-1.0f,r,水体,All,true,false,false,false,false,,`r.Water.SingleLayer.Refraction.DistanceCulling=<值>` / `r.Water.SingleLayer.Refraction.DistanceCulling <值>` 或 INI 中配置,Distance at which to cull refractions.,ECVF_RenderThreadSafe
r.Water.SingleLayer.Refraction.DistanceCullingFadeRange,CVar,float,400.0f,r,水体,All,true,false,false,false,false,,`r.Water.SingleLayer.Refraction.DistanceCullingFadeRange=<值>` / `r.Water.SingleLayer.Refraction.DistanceCullingFadeRange <值>` 或 INI 中配置,Range over which to fade out refractions.,ECVF_RenderThreadSafe
r.Water.SingleLayer.Refraction.FresnelCulling,CVar,float,-1.0f,r,水体,All,true,false,false,false,false,,`r.Water.SingleLayer.Refraction.FresnelCulling=<值>` / `r.Water.SingleLayer.Refraction.FresnelCulling <值>` 或 INI 中配置,Fresnel value below which to cull refractions.,ECVF_RenderThreadSafe
r.Water.SingleLayer.Refraction.FresnelCullingFadeRange,CVar,float,0.2f,r,水体,All,true,false,false,false,false,,`r.Water.SingleLayer.Refraction.FresnelCullingFadeRange=<值>` / `r.Water.SingleLayer.Refraction.FresnelCullingFadeRange <值>` 或 INI 中配置,Fresnel range over which to fade out refractions.,ECVF_RenderThreadSafe
r.Water.SingleLayer.RefractionDownsampleFactor,CVar,int32,1,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer.RefractionDownsampleFactor=<值>` / `r.Water.SingleLayer.RefractionDownsampleFactor <值>` 或 INI 中配置,Resolution divider for the water refraction buffer.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Water.SingleLayer.TiledComposite,CVar,int32,1,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer.TiledComposite=<值>` / `r.Water.SingleLayer.TiledComposite <值>` 或 INI 中配置,Enable tiled optimization of the single layer water reflection rendering system.,ECVF_RenderThreadSafe | ECVF_Scalability
r.Water.SingleLayer.VSMFiltering,CVar,int32,0,r,水体,All,true,false,false,false,true,,`r.Water.SingleLayer.VSMFiltering=<值>` / `r.Water.SingleLayer.VSMFiltering <值>` 或 INI 中配置,"When using deferred, virtual shadow map filtering is supported on single layer water. This cvar can be used to toggle it on/off at runtime.",ECVF_RenderThreadSafe | ECVF_Scalability
