command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
au.Wasapi.UseDefaultQualitySRC,CVar,string,,au,通用,Windows,true,false,false,false,false,,`au.Wasapi.UseDefaultQualitySRC=<值>` / `au.Wasapi.UseDefaultQualitySRC <值>` 或 INI 中配置,Enable Wasapi default SRC quality.\n,ECVF_Default
d3d11.ZeroBufferSizeInMB,CVar,int32,4,d3d11,RHI/底层渲染接口,DirectX、Windows,false,true,false,false,false,,`d3d11.ZeroBufferSizeInMB=<值>` / `d3d11.ZeroBufferSizeInMB <值>` 或 INI 中配置,The D3D11 RHI needs a static allocation of zeroes to use when streaming textures asynchronously. It should be large enough to support the largest mipmap you need to stream. The default is 4MB.,ECVF_ReadOnly
D3D12.PSO.DiskCache,CVar,int32,0,D3D12,RHI/底层渲染接口,DirectX、Windows,false,true,false,false,false,,`D3D12.PSO.DiskCache=<值>` / `D3D12.PSO.DiskCache <值>` 或 INI 中配置,Enables a disk cache for Pipeline State Objects (PSOs).\n,ECVF_ReadOnly
D3D12.PSO.DriverOptimizedDiskCache,CVar,int32,0,D3D12,RHI/底层渲染接口,DirectX、Windows,false,true,false,false,false,,`D3D12.PSO.DriverOptimizedDiskCache=<值>` / `D3D12.PSO.DriverOptimizedDiskCache <值>` 或 INI 中配置,Enables a disk cache for driver-optimized Pipeline State Objects (PSOs).\n,ECVF_ReadOnly
nDisplay.render.softsync.LogDwmStats,CVar,int32,0,nDisplay,渲染调试/可视化,Windows,false,true,false,false,false,,`nDisplay.render.softsync.LogDwmStats=<值>` / `nDisplay.render.softsync.LogDwmStats <值>` 或 INI 中配置,Print DWM stats to log (0 = disabled),ECVF_RenderThreadSafe | ECVF_ReadOnly
r.AMDD3D11MultiThreadedDevice,CVar,int32,0,r,RHI/底层渲染接口,DirectX、Windows,true,false,false,false,false,,`r.AMDD3D11MultiThreadedDevice=<值>` / `r.AMDD3D11MultiThreadedDevice <值>` 或 INI 中配置,"If true, creates a multithreaded D3D11 device on AMD hardware (workaround for driver bug)\n",ECVF_Default
r.AMDDisableAsyncTextureCreation,CVar,int32,0,r,材质,DirectX、Windows,true,false,false,false,false,,`r.AMDDisableAsyncTextureCreation=<值>` / `r.AMDDisableAsyncTextureCreation <值>` 或 INI 中配置,"If true, uses synchronous texture creation on AMD hardware (workaround for driver bug)\n",ECVF_Default
r.d3d.uniformbufferrecycledepth,CVar,string,,r,RHI/底层渲染接口,DirectX、Windows,true,false,false,false,false,,`r.d3d.uniformbufferrecycledepth=<值>` / `r.d3d.uniformbufferrecycledepth <值>` 或 INI 中配置,Number of frames before recycling freed uniform buffers .\n,ECVF_Default
r.D3D11.AbsoluteTimeQueryTimeoutValue,CVar,string,,r,RHI/底层渲染接口,DirectX、Windows,true,false,false,false,false,,`r.D3D11.AbsoluteTimeQueryTimeoutValue=<值>` / `r.D3D11.AbsoluteTimeQueryTimeoutValue <值>` 或 INI 中配置,"Set the timeout value, in seconds, to wait for a D3D11 absolute time query.",ECVF_Default
r.D3D11.AutoFlushUAV,CVar,int32,1,r,RHI/底层渲染接口,DirectX、Windows,true,false,false,false,false,,`r.D3D11.AutoFlushUAV=<值>` / `r.D3D11.AutoFlushUAV <值>` 或 INI 中配置,"If enabled, use NVAPI (Nvidia), AGS (AMD) or Intel Extensions (Intel) to not flush between dispatches/draw calls",ECVF_RenderThreadSafe
