command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
nDisplay.cache.Texture.enable,CVar,string,,nDisplay,材质,All,true,false,false,false,false,,`nDisplay.cache.Texture.enable=<值>` / `nDisplay.cache.Texture.enable <值>` 或 INI 中配置,Enable the use of a named texture cache.\n,ECVF_Default
nDisplay.cache.Texture.TimeOutInFrames,CVar,string,,nDisplay,材质,All,true,false,false,false,false,,`nDisplay.cache.Texture.TimeOutInFrames=<值>` / `nDisplay.cache.Texture.TimeOutInFrames <值>` 或 INI 中配置,The timeout value in frames for the named texture cache.\n,ECVF_Default
nDisplay.GUI.Propagate,CVar,int32,1,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.GUI.Propagate=<值>` / `nDisplay.GUI.Propagate <值>` 或 INI 中配置,Show GUI on viewports\n,ECVF_RenderThreadSafe
nDisplay.OffscreenNodes.OptimizeResources,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.OffscreenNodes.OptimizeResources=<值>` / `nDisplay.OffscreenNodes.OptimizeResources <值>` 或 INI 中配置,"If true, optimizes resources for offscreen nDisplay nodes.\n",ECVF_RenderThreadSafe
nDisplay.preview.DefaultPixelFormat,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.preview.DefaultPixelFormat=<值>` / `nDisplay.preview.DefaultPixelFormat <值>` 或 INI 中配置,Defines the default preview RTT pixel format.\n,ECVF_RenderThreadSafe
nDisplay.preview.EnableConfiguratorViewState,CVar,string,,nDisplay,渲染调试/可视化,All,true,false,false,false,false,,`nDisplay.preview.EnableConfiguratorViewState=<值>` / `nDisplay.preview.EnableConfiguratorViewState <值>` 或 INI 中配置,Enable view state for preview in Configurator window (0 - disable).\n,ECVF_RenderThreadSafe
nDisplay.preview.EnableViewState,CVar,string,,nDisplay,渲染调试/可视化,All,true,false,false,false,false,,`nDisplay.preview.EnableViewState=<值>` / `nDisplay.preview.EnableViewState <值>` 或 INI 中配置,Enable view state for preview (0 - disable).\n,ECVF_RenderThreadSafe
nDisplay.preview.render.enable,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.preview.render.enable=<值>` / `nDisplay.preview.render.enable <值>` 或 INI 中配置,Globally enable DCRA preview rendering\n,ECVF_Default
nDisplay.preview.render.optimize,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.preview.render.optimize=<值>` / `nDisplay.preview.render.optimize <值>` 或 INI 中配置,Optimize DCRA preview rendering only 1 DCRA per frame\n,ECVF_Default
nDisplay.render.AlphaChannelCaptureMode,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.AlphaChannelCaptureMode=<值>` / `nDisplay.render.AlphaChannelCaptureMode <值>` 或 INI 中配置,Alpha channel capture mode (FXAA - default)\n,ECVF_RenderThreadSafe
nDisplay.render.ClearFrameRTTEnabled,CVar,int32,1,nDisplay,光线追踪,All,true,false,false,false,false,,`nDisplay.render.ClearFrameRTTEnabled=<值>` / `nDisplay.render.ClearFrameRTTEnabled <值>` 或 INI 中配置,Enables FrameRTT clearing before viewport resolving.\n,ECVF_RenderThreadSafe
nDisplay.render.ClearTextureEnabled,CVar,int32,1,nDisplay,光线追踪,All,true,false,false,false,false,,`nDisplay.render.ClearTextureEnabled=<值>` / `nDisplay.render.ClearTextureEnabled <值>` 或 INI 中配置,Enables RTT cleaning for left / mono eye at end of frame.\n,ECVF_RenderThreadSafe
nDisplay.render.CrossGPUTransfer.Enable,CVar,string,,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.CrossGPUTransfer.Enable=<值>` / `nDisplay.render.CrossGPUTransfer.Enable <值>` 或 INI 中配置,"Enable cross-GPU transfers using nDisplay implementation (0 - disable, default) \n",ECVF_RenderThreadSafe
nDisplay.render.CrossGPUTransfer.LockSteps,CVar,string,,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.CrossGPUTransfer.LockSteps=<值>` / `nDisplay.render.CrossGPUTransfer.LockSteps <值>` 或 INI 中配置,The bLockSteps parameter is simply passed to the FTransferResourceParams structure. (0 - disable)\n,ECVF_RenderThreadSafe
nDisplay.render.CrossGPUTransfer.PullData,CVar,string,,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.CrossGPUTransfer.PullData=<值>` / `nDisplay.render.CrossGPUTransfer.PullData <值>` 或 INI 中配置,The bPullData parameter is simply passed to the FTransferResourceParams structure. (0 - disable)\n,ECVF_RenderThreadSafe
nDisplay.render.custom_frustum.enable,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.custom_frustum.enable=<值>` / `nDisplay.render.custom_frustum.enable <值>` 或 INI 中配置,Enable custom frustum feature.\n,ECVF_Default
nDisplay.render.custom_frustum.max_percent,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.custom_frustum.max_percent=<值>` / `nDisplay.render.custom_frustum.max_percent <值>` 或 INI 中配置,Max percent for custom frustum (default 50).\n,ECVF_Default
nDisplay.render.custom_frustum.min_percent_size,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.custom_frustum.min_percent_size=<值>` / `nDisplay.render.custom_frustum.min_percent_size <值>` 或 INI 中配置,Min size in percent for custom frustum (default 1).\n,ECVF_Default
nDisplay.render.icvfx.EnableInnerFrustumUnderOverlap,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.icvfx.EnableInnerFrustumUnderOverlap=<值>` / `nDisplay.render.icvfx.EnableInnerFrustumUnderOverlap <值>` 或 INI 中配置,Enable Inner Frustum render under overlap area (0 - disable).\n,ECVF_RenderThreadSafe
nDisplay.render.icvfx.fxaa.chromakey,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.icvfx.fxaa.chromakey=<值>` / `nDisplay.render.icvfx.fxaa.chromakey <值>` 或 INI 中配置,FXAA quality for chromakey (0 - disable).\n,ECVF_RenderThreadSafe
nDisplay.render.icvfx.fxaa.lightcard,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.icvfx.fxaa.lightcard=<值>` / `nDisplay.render.icvfx.fxaa.lightcard <值>` 或 INI 中配置,FXAA quality for lightcard (0 - disable).\n,ECVF_RenderThreadSafe
nDisplay.render.icvfx.LightCard,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.icvfx.LightCard=<值>` / `nDisplay.render.icvfx.LightCard <值>` 或 INI 中配置,Enable ICVFX LightCards render (0 - disable).\n,ECVF_RenderThreadSafe
nDisplay.render.icvfx.OverlapInnerFrustumSoftEdges,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.icvfx.OverlapInnerFrustumSoftEdges=<值>` / `nDisplay.render.icvfx.OverlapInnerFrustumSoftEdges <值>` 或 INI 中配置,Enable SoftEdges for Inner Frustum overlap (0 - disable).\n,ECVF_RenderThreadSafe
nDisplay.render.icvfx.shader,CVar,int32,(int32)EVarIcvfxMPCDIShaderType::Default,nDisplay,材质,All,true,false,false,false,false,,`nDisplay.render.icvfx.shader=<值>` / `nDisplay.render.icvfx.shader <值>` 或 INI 中配置,Select shader for icvfx:\n,ECVF_RenderThreadSafe
nDisplay.render.icvfx.UVLightCard,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.icvfx.UVLightCard=<值>` / `nDisplay.render.icvfx.UVLightCard <值>` 或 INI 中配置,Enable ICVFX UVLightCards render (0 - disable).\n,ECVF_RenderThreadSafe
nDisplay.render.MaxTextureAreaRoot,CVar,string,,nDisplay,材质,All,true,false,false,false,false,,`nDisplay.render.MaxTextureAreaRoot=<值>` / `nDisplay.render.MaxTextureAreaRoot <值>` 或 INI 中配置,"The root value of the maximum texture area. (The default value is 8192, which means Area=8192*8192.\n",ECVF_RenderThreadSafe
nDisplay.render.mpcdi.shader,CVar,int32,(int32)EVarMPCDIShaderType::Default,nDisplay,材质,All,true,false,false,false,false,,`nDisplay.render.mpcdi.shader=<值>` / `nDisplay.render.mpcdi.shader <值>` 或 INI 中配置,Select shader for mpcdi:\n,ECVF_RenderThreadSafe
nDisplay.render.output_remap.shader,CVar,int32,(int32)EVarOutputRemapShaderType::Default,nDisplay,材质,All,true,false,false,false,false,,`nDisplay.render.output_remap.shader=<值>` / `nDisplay.render.output_remap.shader <值>` 或 INI 中配置,Select shader for output remap:\n,ECVF_RenderThreadSafe
nDisplay.render.overscan.enable,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.overscan.enable=<值>` / `nDisplay.render.overscan.enable <值>` 或 INI 中配置,Enable overscan feature.\n,ECVF_Default
nDisplay.render.overscan.max_percent,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.overscan.max_percent=<值>` / `nDisplay.render.overscan.max_percent <值>` 或 INI 中配置,Max percent for overscan (default 50).\n,ECVF_Default
nDisplay.render.overscan.resolve,CVar,int32,1,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.overscan.resolve=<值>` / `nDisplay.render.overscan.resolve <值>` 或 INI 中配置,Allow resolve overscan internal rect to output backbuffer.\n,ECVF_RenderThreadSafe
nDisplay.render.postprocess,CVar,int32,1,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.postprocess=<值>` / `nDisplay.render.postprocess <值>` 或 INI 中配置,Custom post-process (0 = disabled)\n,ECVF_RenderThreadSafe
nDisplay.render.postprocess.enable_blur,CVar,int32,1,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.postprocess.enable_blur=<值>` / `nDisplay.render.postprocess.enable_blur <值>` 或 INI 中配置,Enable postprocess blur shaders\n,ECVF_RenderThreadSafe
nDisplay.render.postprocess.FrameAfterWarpBlend,CVar,string,,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.postprocess.FrameAfterWarpBlend=<值>` / `nDisplay.render.postprocess.FrameAfterWarpBlend <值>` 或 INI 中配置,Enable PP per eye frame after warp&blend (0 = disabled)\n,ECVF_RenderThreadSafe
nDisplay.render.postprocess.FrameAfterWarpBlend.AlwaysClearRTT,CVar,string,,nDisplay,光线追踪,All,true,false,false,false,false,,`nDisplay.render.postprocess.FrameAfterWarpBlend.AlwaysClearRTT=<值>` / `nDisplay.render.postprocess.FrameAfterWarpBlend.AlwaysClearRTT <值>` 或 INI 中配置,Enables RTT cleanup before each full-frame post processing. (0 to disable).\n,ECVF_RenderThreadSafe
nDisplay.render.postprocess.override.enable,CVar,string,,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.postprocess.override.enable=<值>` / `nDisplay.render.postprocess.override.enable <值>` 或 INI 中配置,Enable postprocess overrides for nDisplay (0 to disable).\n,ECVF_RenderThreadSafe
nDisplay.render.postprocess.override.InCameraVFX,CVar,string,,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.postprocess.override.InCameraVFX=<值>` / `nDisplay.render.postprocess.override.InCameraVFX <值>` 或 INI 中配置,Enable post-processing override for ICVFX Camera viewport (0 to disable).\n,ECVF_RenderThreadSafe
nDisplay.render.postprocess.override.OutersVFX,CVar,string,,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.postprocess.override.OutersVFX=<值>` / `nDisplay.render.postprocess.override.OutersVFX <值>` 或 INI 中配置,Enable postprocess override for ICVFX Outer viewports (0 to disable).\n,ECVF_RenderThreadSafe
nDisplay.render.postprocess.ViewAfterWarpBlend,CVar,int32,1,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.postprocess.ViewAfterWarpBlend=<值>` / `nDisplay.render.postprocess.ViewAfterWarpBlend <值>` 或 INI 中配置,Enable PP per view after warp&blend (0 = disabled)\n,ECVF_RenderThreadSafe
nDisplay.render.postprocess.ViewBeforeWarpBlend,CVar,int32,1,nDisplay,后处理,All,true,false,false,false,false,,`nDisplay.render.postprocess.ViewBeforeWarpBlend=<值>` / `nDisplay.render.postprocess.ViewBeforeWarpBlend <值>` 或 INI 中配置,Enable PP per view before warp&blend (0 = disabled)\n,ECVF_RenderThreadSafe
nDisplay.render.preview.AllowMultiGPURendering,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.preview.AllowMultiGPURendering=<值>` / `nDisplay.render.preview.AllowMultiGPURendering <值>` 或 INI 中配置,Allow mGPU for preview rendering (0 == disabled),ECVF_RenderThreadSafe
nDisplay.render.preview.MultiGPURenderingMaxIndex,CVar,string,,nDisplay,通用,All,true,false,false,false,false,,`nDisplay.render.preview.MultiGPURenderingMaxIndex=<值>` / `nDisplay.render.preview.MultiGPURenderingMaxIndex <值>` 或 INI 中配置,Distribute mGPU render on GPU from #min to #max indices,ECVF_RenderThreadSafe
