command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
renderdoc.AutoAttach,CVar,int32,0,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.AutoAttach=<值>` / `renderdoc.AutoAttach <值>` 或 INI 中配置,RenderDoc will attach on startup.,
renderdoc.BinaryPath,CVar,FString,,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.BinaryPath=<值>` / `renderdoc.BinaryPath <值>` 或 INI 中配置,Path to the main RenderDoc executable to use.,
renderdoc.CaptureAllActivity,CVar,int32,0,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.CaptureAllActivity=<值>` / `renderdoc.CaptureAllActivity <值>` 或 INI 中配置,0 - RenderDoc will only capture data from the current viewport.,
renderdoc.CaptureCallstacks,CVar,int32,1,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.CaptureCallstacks=<值>` / `renderdoc.CaptureCallstacks <值>` 或 INI 中配置,0 - Callstacks will not be captured by RenderDoc.,
renderdoc.CaptureDelay,CVar,int32,0,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.CaptureDelay=<值>` / `renderdoc.CaptureDelay <值>` 或 INI 中配置,"If > 0, RenderDoc will trigger the capture only after this amount of time (or frames, if CaptureDelayInSeconds is false) has passed.",
renderdoc.CaptureDelayInSeconds,CVar,int32,1,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.CaptureDelayInSeconds=<值>` / `renderdoc.CaptureDelayInSeconds <值>` 或 INI 中配置,0 - Capture delay's unit is in frames.,
renderdoc.CaptureFrame,Command,string,,renderdoc,渲染管线,All,true,false,false,false,false,,`renderdoc.CaptureFrame`（可带参数，具体见帮助说明）,Captures the rendering commands of the next frame and launches RenderDoc,
renderdoc.CaptureFrameCount,CVar,int32,0,renderdoc,渲染管线,All,true,false,false,false,false,,`renderdoc.CaptureFrameCount=<值>` / `renderdoc.CaptureFrameCount <值>` 或 INI 中配置,"If > 0, the RenderDoc capture will encompass more than a single frame. Note: this implies that all activity in all viewports and editor windows will be captured (i.e. same as CaptureAllActivity)",
renderdoc.CapturePIE,Command,string,,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.CapturePIE`（可带参数，具体见帮助说明）,Starts a PIE session and captures the specified number of frames from the start.,
renderdoc.EnableCrashHandler,CVar,int32,0,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.EnableCrashHandler=<值>` / `renderdoc.EnableCrashHandler <值>` 或 INI 中配置,0 - Crash handling is completely delegated to the engine.,
renderdoc.ReferenceAllResources,CVar,int32,0,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.ReferenceAllResources=<值>` / `renderdoc.ReferenceAllResources <值>` 或 INI 中配置,0 - Only include resources that are actually used.,
renderdoc.SaveAllInitials,CVar,int32,0,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.SaveAllInitials=<值>` / `renderdoc.SaveAllInitials <值>` 或 INI 中配置,0 - Disregard initial states of resources.,
renderdoc.ShowHelpOnStartup,CVar,int32,0,renderdoc,光线追踪,All,true,false,false,false,false,,`renderdoc.ShowHelpOnStartup=<值>` / `renderdoc.ShowHelpOnStartup <值>` 或 INI 中配置,0 - Greeting has been shown and will not appear on startup.,
renderdoc.TextureGraph_CaptureNextBatch,Command,string,,renderdoc,材质,All,true,false,false,false,false,,`renderdoc.TextureGraph_CaptureNextBatch`（可带参数，具体见帮助说明）,Captures the next Job Batch and launches RenderDoc,
renderdoc.TextureGraph_CaptureNextBatchHistogram,Command,string,,renderdoc,材质,All,true,false,false,false,false,,`renderdoc.TextureGraph_CaptureNextBatchHistogram`（可带参数，具体见帮助说明）,Captures the next Job Batch producing histogram and launches RenderDoc,
renderdoc.TextureGraph_CapturePrevBatch,Command,string,,renderdoc,材质,All,true,false,false,false,false,,`renderdoc.TextureGraph_CapturePrevBatch`（可带参数，具体见帮助说明）,Captures the previous Job Batch and launches RenderDoc,
