command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
sg.AntiAliasingQuality,CVar,int32,Scalability::DefaultQualityLevel,sg,通用,All,true,false,false,false,true,,`sg.AntiAliasingQuality=<值>` / `sg.AntiAliasingQuality <值>` 或 INI 中配置,"Scalability quality state (internally used by scalability system, ini load/save or using SCALABILITY console command)\n",ECVF_ScalabilityGroup | ECVF_Preview
sg.AntiAliasingQuality.NumLevels,CVar,int32,5,sg,通用,All,false,true,false,false,false,,`sg.AntiAliasingQuality.NumLevels=<值>` / `sg.AntiAliasingQuality.NumLevels <值>` 或 INI 中配置,Number of settings quality levels in sg.AntiAliasingQuality\n,ECVF_ReadOnly
sg.EffectsQuality,CVar,int32,Scalability::DefaultQualityLevel,sg,通用,All,true,false,false,false,true,,`sg.EffectsQuality=<值>` / `sg.EffectsQuality <值>` 或 INI 中配置,"Scalability quality state (internally used by scalability system, ini load/save or using SCALABILITY console command)\n",ECVF_ScalabilityGroup | ECVF_Preview
sg.EffectsQuality.NumLevels,CVar,int32,5,sg,通用,All,false,true,false,false,false,,`sg.EffectsQuality.NumLevels=<值>` / `sg.EffectsQuality.NumLevels <值>` 或 INI 中配置,Number of settings quality levels in sg.EffectsQuality\n,ECVF_ReadOnly
sg.FoliageQuality,CVar,int32,3,sg,景观/植被,All,true,false,false,false,true,,`sg.FoliageQuality=<值>` / `sg.FoliageQuality <值>` 或 INI 中配置,"Scalability quality state (internally used by scalability system, ini load/save or using SCALABILITY console command)\n",ECVF_ScalabilityGroup | ECVF_Preview
sg.FoliageQuality.NumLevels,CVar,int32,5,sg,景观/植被,All,false,true,false,false,false,,`sg.FoliageQuality.NumLevels=<值>` / `sg.FoliageQuality.NumLevels <值>` 或 INI 中配置,Number of settings quality levels in sg.FoliageQuality\n,ECVF_ReadOnly
sg.GlobalIlluminationQuality,CVar,int32,Scalability::DefaultQualityLevel,sg,GI,All,true,false,false,false,true,,`sg.GlobalIlluminationQuality=<值>` / `sg.GlobalIlluminationQuality <值>` 或 INI 中配置,"Scalability quality state (internally used by scalability system, ini load/save or using SCALABILITY console command)\n",ECVF_ScalabilityGroup | ECVF_Preview
sg.GlobalIlluminationQuality.NumLevels,CVar,int32,5,sg,GI,All,false,true,false,false,false,,`sg.GlobalIlluminationQuality.NumLevels=<值>` / `sg.GlobalIlluminationQuality.NumLevels <值>` 或 INI 中配置,Number of settings quality levels in sg.GlobalIlluminationQuality\n,ECVF_ReadOnly
sg.LandscapeQuality,CVar,int32,Scalability::DefaultQualityLevel,sg,景观/植被,All,true,false,false,false,true,,`sg.LandscapeQuality=<值>` / `sg.LandscapeQuality <值>` 或 INI 中配置,"Scalability quality state (internally used by scalability system, ini load/save or using SCALABILITY console command)\n",ECVF_ScalabilityGroup | ECVF_Preview
sg.LandscapeQuality.NumLevels,CVar,int32,5,sg,景观/植被,All,false,true,false,false,false,,`sg.LandscapeQuality.NumLevels=<值>` / `sg.LandscapeQuality.NumLevels <值>` 或 INI 中配置,Number of settings quality levels in sg.LandscapeQuality\n,ECVF_ReadOnly
sg.MLDeformerMaxLODLevelsOnCook,CVar,int,8,sg,通用,All,true,false,false,false,true,,`sg.MLDeformerMaxLODLevelsOnCook=<值>` / `sg.MLDeformerMaxLODLevelsOnCook <值>` 或 INI 中配置,Limit the number of ML Deformer LOD levels that can be generated. Can be used to setup per device or platform limits. Minimum value is 1.,ECVF_Scalability
sg.PostProcessQuality,CVar,int32,Scalability::DefaultQualityLevel,sg,后处理,All,true,false,false,false,true,,`sg.PostProcessQuality=<值>` / `sg.PostProcessQuality <值>` 或 INI 中配置,"Scalability quality state (internally used by scalability system, ini load/save or using SCALABILITY console command)\n",ECVF_ScalabilityGroup | ECVF_Preview
sg.PostProcessQuality.NumLevels,CVar,int32,5,sg,后处理,All,false,true,false,false,false,,`sg.PostProcessQuality.NumLevels=<值>` / `sg.PostProcessQuality.NumLevels <值>` 或 INI 中配置,Number of settings quality levels in sg.PostProcessQuality\n,ECVF_ReadOnly
sg.ReflectionQuality,CVar,int32,Scalability::DefaultQualityLevel,sg,通用,All,true,false,false,false,true,,`sg.ReflectionQuality=<值>` / `sg.ReflectionQuality <值>` 或 INI 中配置,"Scalability quality state (internally used by scalability system, ini load/save or using SCALABILITY console command)\n",ECVF_ScalabilityGroup | ECVF_Preview
sg.ReflectionQuality.NumLevels,CVar,int32,5,sg,通用,All,false,true,false,false,false,,`sg.ReflectionQuality.NumLevels=<值>` / `sg.ReflectionQuality.NumLevels <值>` 或 INI 中配置,Number of settings quality levels in sg.ReflectionQuality\n,ECVF_ReadOnly
sg.ResolutionQuality,CVar,float,0.0f,sg,通用,All,true,false,false,false,true,,`sg.ResolutionQuality=<值>` / `sg.ResolutionQuality <值>` 或 INI 中配置,"Scalability quality state (internally used by scalability system, ini load/save or using SCALABILITY console command)\n",ECVF_Scalability
sg.ShadingQuality,CVar,int32,Scalability::DefaultQualityLevel,sg,通用,All,true,false,false,false,true,,`sg.ShadingQuality=<值>` / `sg.ShadingQuality <值>` 或 INI 中配置,"Scalability quality state (internally used by scalability system, ini load/save or using SCALABILITY console command)\n",ECVF_ScalabilityGroup | ECVF_Preview
sg.ShadingQuality.NumLevels,CVar,int32,5,sg,通用,All,false,true,false,false,false,,`sg.ShadingQuality.NumLevels=<值>` / `sg.ShadingQuality.NumLevels <值>` 或 INI 中配置,Number of settings quality levels in sg.ShadingQuality\n,ECVF_ReadOnly
