command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
foliage.CullAll,CVar,int32,0,foliage,景观/植被,All,true,false,false,false,true,,`foliage.CullAll=<值>` / `foliage.CullAll <值>` 或 INI 中配置,"If greater than zero, everything is considered culled.",ECVF_Scalability
foliage.CullDistanceScale,CVar,float,1.0,foliage,景观/植被,All,true,false,false,false,true,,`foliage.CullDistanceScale=<值>` / `foliage.CullDistanceScale <值>` 或 INI 中配置,Controls the cull distance scale. Foliage must opt-in to cull distance scaling through the foliage type.,ECVF_Scalability
foliage.DensityScale,CVar,float,1.0,foliage,景观/植被,All,true,false,false,true,true,FoliageQuality@0;FoliageQuality@1;FoliageQuality@2;FoliageQuality@3;FoliageQuality@Cine,`foliage.DensityScale=<值>` / `foliage.DensityScale <值>` 或 INI 中配置,Controls the amount of foliage to render. Foliage must opt-in to density scaling through the foliage type.,ECVF_Scalability
foliage.DiscardDataOnLoad,CVar,int32,0,foliage,GI,All,true,false,false,false,true,,`foliage.DiscardDataOnLoad=<值>` / `foliage.DiscardDataOnLoad <值>` 或 INI 中配置,1: Discard foliage data on load if the foliage type has it enabled; 0: Keep foliage data regardless of whether the foliage type has it enabled or not (requires reloading level),ECVF_Scalability
foliage.LODDistanceScale,CVar,float,1.0f,foliage,景观/植被,All,true,false,false,false,true,,`foliage.LODDistanceScale=<值>` / `foliage.LODDistanceScale <值>` 或 INI 中配置,Scale factor for the distance used in computing LOD for foliage.,ECVF_Scalability
foliage.MinimumScreenSize,CVar,float,0.000005f,foliage,景观/植被,All,true,false,false,false,true,,`foliage.MinimumScreenSize=<值>` / `foliage.MinimumScreenSize <值>` 或 INI 中配置,This controls the screen size at which we cull foliage instances entirely.,ECVF_Scalability
foliage.MinLOD,CVar,int32,-1,foliage,景观/植被,All,true,false,false,false,true,,`foliage.MinLOD=<值>` / `foliage.MinLOD <值>` 或 INI 中配置,Used to discard the top LODs for performance evaluation. -1: Disable all effects of this cvar.,ECVF_Scalability | ECVF_Default
fx.Cascade.SetTemplateDenyList,CVar,string,,fx,通用,All,true,false,false,false,true,,`fx.Cascade.SetTemplateDenyList=<值>` / `fx.Cascade.SetTemplateDenyList <值>` 或 INI 中配置,"Set the template deny List to use. (i.e. P_SystemA,P_SystemB)",ECVF_Scalability | ECVF_Default
fx.DeferrPSCDeactivation,CVar,string,,fx,通用,All,true,false,false,false,true,,`fx.DeferrPSCDeactivation=<值>` / `fx.DeferrPSCDeactivation <值>` 或 INI 中配置,"If > 0, all deactivations on Particle System Components is deferred until next tick.",ECVF_Scalability
fx.Niagara.Emitter.ComputePSOPrecacheMode,CVar,string,,fx,渲染管线,All,true,false,false,false,true,,`fx.Niagara.Emitter.ComputePSOPrecacheMode=<值>` / `fx.Niagara.Emitter.ComputePSOPrecacheMode <值>` 或 INI 中配置,Controlls how PSO precaching should be done for Niagara compute shaders\n,ECVF_Scalability
fx.Niagara.Emitter.MaxGPUBufferElements,CVar,string,,fx,通用,All,true,false,false,false,true,,`fx.Niagara.Emitter.MaxGPUBufferElements=<值>` / `fx.Niagara.Emitter.MaxGPUBufferElements <值>` 或 INI 中配置,"Maximum elements per GPU buffer, for example 4k elements would restrict a float buffer to be 16k maximum per buffer.\n",ECVF_Scalability
fx.Niagara.GpuEmitterCheckFloat16Support,CVar,string,,fx,光线追踪,All,true,false,false,false,true,,`fx.Niagara.GpuEmitterCheckFloat16Support=<值>` / `fx.Niagara.GpuEmitterCheckFloat16Support <值>` 或 INI 中配置,"When enabled we check to see if the RHI has support for Float16 UAV read / write, if it doesn't GPU emitters that use Float16 are banned from running.",ECVF_Scalability | ECVF_Default
fx.Niagara.LegacyDeviceProfile,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,true,,`fx.Niagara.LegacyDeviceProfile=<值>` / `fx.Niagara.LegacyDeviceProfile <值>` 或 INI 中配置,This is a special case CVar that allows us to use CVar conditions to maintain behavior with legacy device profiles.\nDo not use directly for new content.\nLegacy device profiles can be given a specific value for this CVarand then CVar conditions used to enable / disable as appropriate to match with legacy assets with enabled / disabled content based on them. \n,ECVF_Scalability
fx.Niagara.Renderer.CookOutStaticEnabledBinding,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,true,,`fx.Niagara.Renderer.CookOutStaticEnabledBinding=<值>` / `fx.Niagara.Renderer.CookOutStaticEnabledBinding <值>` 或 INI 中配置,If none zero renderers with static variables used for enabled binding will cook out if they are not enabled.,ECVF_Scalability
