table_id,path,category,row_count,use_when
all,references/render-command-tables/all_render_commands.csv,all,5347,需要全量检索或不知道命令属于哪个分类时使用。
config_renderer_settings,references/render-command-tables/config/renderer_settings.csv,config,114,查找可放入 DefaultEngine.ini [/Script/Engine.RendererSettings] 的命令。
config_scalability,references/render-command-tables/config/scalability.csv,config,182,查找可放入 DefaultScalability.ini 的命令。
config_scalability_group_flag,references/render-command-tables/config/scalability_group_flag.csv,config,1199,查找源码标记 ECVF_Scalability 或 ECVF_ScalabilityGroup 的命令。
feature_GI,references/render-command-tables/by_feature/GI.csv,feature,227,查找GI相关渲染命令。
feature_Lumen,references/render-command-tables/by_feature/Lumen.csv,feature,536,查找Lumen相关渲染命令。
feature_Nanite,references/render-command-tables/by_feature/Nanite.csv,feature,133,查找Nanite相关渲染命令。
feature_rhi_low_level_interface,references/render-command-tables/by_feature/rhi_low_level_interface.csv,feature,360,查找RHI/底层渲染接口相关渲染命令。
feature_VR_XR,references/render-command-tables/by_feature/VR_XR.csv,feature,52,查找VR/XR相关渲染命令。
feature_ray_tracing,references/render-command-tables/by_feature/ray_tracing.csv,feature,923,查找光线追踪相关渲染命令。
feature_post_processing,references/render-command-tables/by_feature/post_processing.csv,feature,598,查找后处理相关渲染命令。
feature_landscape_foliage,references/render-command-tables/by_feature/landscape_foliage.csv,feature,47,查找景观/植被相关渲染命令。
feature_materials,references/render-command-tables/by_feature/materials.csv,feature,444,查找材质相关渲染命令。
feature_water,references/render-command-tables/by_feature/water.csv,feature,81,查找水体相关渲染命令。
feature_render_pipeline,references/render-command-tables/by_feature/render_pipeline.csv,feature,207,查找渲染管线相关渲染命令。
feature_render_debug_visualization,references/render-command-tables/by_feature/render_debug_visualization.csv,feature,311,查找渲染调试/可视化相关渲染命令。
feature_general,references/render-command-tables/by_feature/general.csv,feature,1184,查找通用相关渲染命令。
feature_shadows,references/render-command-tables/by_feature/shadows.csv,feature,244,查找阴影相关渲染命令。
