"command","value","kind","type","default","prefix","module","platform_text","runtime_editable","startup_only","in_default_engine","in_scalability","scalability_group","scalability_sections","current_project_values","test_method","safe_test_values","config_target","test_priority","skip_or_review_reason","baseline_fps","test_fps","fps_delta_percent","quality_impact","recommendation","project_setting_value","notes","usage","help","flags","run_id","map","resolution","avg_gpu_ms","avg_renderthread_ms","avg_gamethread_ms","frames","duration_seconds","hitch_count","profile_csv","fpschart_log","fpschart_html","launch_notes","comparison_method","paired_baseline_fpschart_log","paired_test_fpschart_log","paired_baseline_avg_gpu_ms","paired_test_avg_gpu_ms"
"__baseline_initial_warmup__","","Baseline","Run","","","baseline","Windows D3D12 SM6 <GPU>","","","","","","","Project render overrides reset through baseline config except ray tracing and SkinCache dependencies.","baseline_csv_capture","","temporary RenderBaseline config","P0","","157.81","157.81","0.00","baseline","warmup_outlier_do_not_use_for_delta","","CSV profiler capture succeeded with -csvCaptureFrames=390 and -csvExecCmds=80:StartFPSChart,360:StopFPSChart,390:Quit. Preserve ray tracing and SkinCache; disable Streamline with -slno and add Steamworks DLL path to PATH for automation. Later control baseline measured 136.12 FPS; use control baseline for deltas.","Launch UnrealEditor.exe with -game, -CustomConfig=RenderBaseline, -DEFEngineIni, -DEFScalabilityIni, -csvCaptureFrames=390, -csvExecCmds=80:StartFPSChart,360:StopFPSChart,390:Quit.","Baseline collected before applying individual render commands.","","baseline_20260616_141706","<BenchmarkMap>","1280x720","3.29","5.83","6.07","280","1.77","1","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_141620).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.17.06\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.17.06\<BenchmarkMap>-2026.06.16-14.17.06-FPS-WindowsEditor.html","Use -csvCaptureFrames because -csvExecCmds executes only while CSV profiler is capturing. Do not use -BENCHMARK for this project baseline; it can exit before capture windows or alter frame flow.","","","","",""
"__baseline_control__","","Baseline","Run","","","baseline","Windows D3D12 SM6 <GPU>","","","","","","","Project render overrides reset through baseline config except ray tracing and SkinCache dependencies.","baseline_csv_capture_control","","temporary RenderBaseline config","P0","","136.12","136.12","0.00","baseline control","current comparison baseline","","Second baseline run using the same CSV capture protocol. Use this as current control for nearby command deltas; first baseline was a warmup/outlier.","No tested CVar beyond baseline launch controls.","","","baseline_control_20260616_142411","<BenchmarkMap>","1280x720","4.18","6.95","6.42","280","2.06","1","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_142325).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.24.11\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.24.11\<BenchmarkMap>-2026.06.16-14.24.11-FPS-WindowsEditor.html","Same protocol as command runs: -csvCaptureFrames=390, -csvExecCmds=80:StartFPSChart,360:StopFPSChart,390:Quit.","","","","",""
"r.BloomQuality","2","CVar","int32","","r","后处理","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","Config/DefaultScalability.ini uses 5 across collected quality tiers.","runtime_scalability_candidate","0;1;2;5;10","DefaultScalability.ini or runtime user setting if adopted","P0","","142.09","133.39","-6.12","Lower bloom quality can reduce bloom smoothness, glow radius, and highlight intensity; visual screenshot review is required before adoption.","do_not_adopt_for_now_paired_ab_no_gain","2","Paired A/B same-process result on <BenchmarkMap>: baseline 142.09 FPS, test 133.39 FPS, delta -6.12%. Baseline GPU 4.40 ms, test GPU 4.95 ms. Use this result over older single-process-invalidated rows; still requires visual screenshot review before permanent project config adoption.","r.BloomQuality=2","Controls bloom quality and related post-processing cost.","ECVF_Scalability","ab_r_BloomQuality_2_20260616_143850","<BenchmarkMap>","1280x720","4.95","7.49","5.79","280","2.10","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_143850).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.39.40\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.39.40\<BenchmarkMap>-2026.06.16-14.39.40-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.BloomQuality=2 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_BloomQuality_2.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.39.37\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.39.40\<BenchmarkMap>-FPS-WindowsEditor.log","4.40","4.95"
"r.MotionBlurQuality","0","CVar","int32","","r","后处理","Windows D3D12 SM6 <GPU>","true","false","","true","true","PostProcessQuality","Config/DefaultScalability.ini uses 3/4 across collected quality tiers.","runtime_scalability_candidate","0;1;2;4;8","DefaultScalability.ini or runtime user setting if adopted","P0","","103.42","108.38","4.80","Disables motion blur. Often improves image clarity during camera/object motion, but removes cinematic blur; subjective visual tradeoff.","candidate_if_clarity_preferred_paired_ab_gain","0","Supersedes earlier cross-process single-run result. Paired A/B in the same process shows +4.80% FPS and removes one hitch in the test window. Candidate for user-facing setting or lower scalability tiers, pending visual review.","r.MotionBlurQuality=0","","ECVF_Scalability","ab_r_MotionBlurQuality_0_20260616_143201","<BenchmarkMap>","1280x720","7.20","9.22","6.09","280","2.58","0","","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.32.04\<BenchmarkMap>-FPS-WindowsEditor.log","","Paired A/B same process: baseline frames 80-360, set r.MotionBlurQuality=0 at frame 420, test frames 440-720, quit frame 750.","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.32.01\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.32.04\<BenchmarkMap>-FPS-WindowsEditor.log","7.29","7.20"
"r.ScreenPercentage","90","CVar","float","","r","后处理/分辨率缩放","Windows D3D12 SM6 <GPU>","true","false","","","","","Runtime startup command sets r.ScreenPercentage 100 before test.","runtime_scalability_candidate","80;90;100","runtime user setting if adopted","P1","","102.62","110.32","7.50","Renders internally at 90 percent resolution. This usually improves GPU cost only when GPU-bound, but visibly softens the image and can interact with TSR/upscaling.","lower_resolution_scalability_only_visual_review_required","90","Paired A/B same-process result on <BenchmarkMap>: baseline 102.62 FPS, test 110.32 FPS, delta 7.50%. Baseline GPU 7.37 ms, test GPU 7.11 ms. Use this result over older single-process-invalidated rows; still requires visual screenshot review before permanent project config adoption.","r.ScreenPercentage=90","Controls primary view family screen percentage / internal rendering resolution.","","ab_r_ScreenPercentage_90_20260616_143950","<BenchmarkMap>","1280x720","7.11","9.05","6.01","280","2.54","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_143951).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.40.42\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.40.42\<BenchmarkMap>-2026.06.16-14.40.42-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.ScreenPercentage=90 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_ScreenPercentage_90.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.40.39\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.40.42\<BenchmarkMap>-FPS-WindowsEditor.log","7.37","7.11"
"foliage.DensityScale","0.8","CVar","float","","foliage","景观/植被","Windows D3D12 SM6 <GPU>","true","false","","true","true","FoliageQuality","Config/DefaultScalability.ini collected values include 0.2/0.4/0.6/0.8/1.0.","runtime_scalability_candidate","0;0.5;0.8;1;1.5","DefaultScalability.ini lower tiers or user setting if adopted","P0","","103.61","109.71","5.89","Reduces scalable foliage density to 80 percent. It can improve CPU/GPU cost in foliage-heavy scenes but causes visible vegetation density loss.","lower_foliage_scalability_tier_only_visual_review_required","0.8","Paired A/B same-process result on <BenchmarkMap>: baseline 103.61 FPS, test 109.71 FPS, delta 5.89%. Baseline GPU 7.28 ms, test GPU 7.16 ms. Use this result over older single-process-invalidated rows; still requires visual screenshot review before permanent project config adoption.","foliage.DensityScale=0.8","Scales density for foliage instances that opt into scalability.","ECVF_Scalability","ab_foliage_DensityScale_0_8_20260616_144054","<BenchmarkMap>","1280x720","7.16","9.11","6.01","280","2.55","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_144054).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.41.45\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.41.45\<BenchmarkMap>-2026.06.16-14.41.45-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set foliage.DensityScale=0.8 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_foliage_DensityScale_0_8.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.41.42\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.41.45\<BenchmarkMap>-FPS-WindowsEditor.log","7.28","7.16"
"r.DepthOfFieldQuality","1","CVar","int32","","r","后处理","Windows D3D12 SM6 <GPU>","true","false","","true","true","PostProcessQuality","","runtime_scalability_candidate","0;1;2;3;4","DefaultScalability.ini lower tiers or runtime user setting if adopted","P0","","114.56","119.49","4.30","Lowers depth of field quality. It can reduce post-process cost, but cinematic/cutscene focus blur may look simpler or less stable.","candidate_paired_ab_gain_visual_review_required","1","Paired A/B same-process result on <BenchmarkMap>: baseline 114.56 FPS, test 119.49 FPS, delta 4.30%. Baseline GPU 6.05 ms, test GPU 6.39 ms. Use this result over older single-process-invalidated rows; still requires visual screenshot review before permanent project config adoption.","r.DepthOfFieldQuality=1","Controls depth of field post-processing quality.","ECVF_Scalability","ab_r_DepthOfFieldQuality_1_20260616_144157","<BenchmarkMap>","1280x720","6.39","8.36","5.93","280","2.34","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_144157).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.42.48\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.42.48\<BenchmarkMap>-2026.06.16-14.42.48-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.DepthOfFieldQuality=1 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_DepthOfFieldQuality_1.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.42.45\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.42.48\<BenchmarkMap>-FPS-WindowsEditor.log","6.05","6.39"
"r.LensFlareQuality","0","CVar","int32","","r","后处理","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","","runtime_scalability_candidate","0;1;2;4","DefaultScalability.ini","P0","","123.12","131.87","7.11","Disables lens flare. Usually improves clarity and avoids stylized glare, but removes authored/camera lens flare effects.","candidate_paired_ab_gain_visual_review_required","0","Paired A/B same-process result on <BenchmarkMap>: baseline 123.12 FPS, test 131.87 FPS, delta 7.11%. Baseline GPU 4.61 ms, test GPU 4.86 ms. Needs visual review before permanent project config adoption.","r.LensFlareQuality=0","0: off but best for performance.","ECVF_Scalability","ab_r_LensFlareQuality_0_20260616_144526","<BenchmarkMap>","1280x720","4.86","7.57","5.91","280","2.12","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_144527).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.46.18\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.46.18\<BenchmarkMap>-2026.06.16-14.46.18-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.LensFlareQuality=0 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_LensFlareQuality_0.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.46.15\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.46.18\<BenchmarkMap>-FPS-WindowsEditor.log","4.61","4.86"
"r.SceneColorFringeQuality","0","CVar","int32","","r","后处理","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","","runtime_scalability_candidate","0;1","DefaultScalability.ini","P0","","104.63","109.66","4.81","Disables chromatic aberration / scene color fringe. Often improves edge clarity with minimal intended-quality loss unless the project relies on lens stylization.","candidate_if_clearer_image_preferred_visual_review_required","0","Paired A/B same-process result on <BenchmarkMap>: baseline 104.63 FPS, test 109.66 FPS, delta 4.81%. Baseline GPU 7.09 ms, test GPU 7.11 ms. Needs visual review before permanent project config adoption.","r.SceneColorFringeQuality=0","Controls scene color fringe / chromatic aberration quality.","ECVF_Scalability","ab_r_SceneColorFringeQuality_0_20260616_144627","<BenchmarkMap>","1280x720","7.11","9.11","6.00","280","2.55","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_144627).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.47.18\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.47.18\<BenchmarkMap>-2026.06.16-14.47.18-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.SceneColorFringeQuality=0 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_SceneColorFringeQuality_0.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.47.15\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.47.18\<BenchmarkMap>-FPS-WindowsEditor.log","7.09","7.11"
"r.Tonemapper.Quality","2","CVar","int32","","r","后处理","Windows D3D12 SM6 <GPU>","true","false","false","true","true","PostProcessQuality","","runtime_scalability_candidate","0;1;2;5;10","DefaultScalability.ini","P0","","122.47","131.37","7.27","Lowers tonemapper quality. May reduce cost from film/grain/vignette-style features, but can change final color/post-process appearance.","candidate_paired_ab_gain_visual_review_required","2","Paired A/B same-process result on <BenchmarkMap>: baseline 122.47 FPS, test 131.37 FPS, delta 7.27%. Baseline GPU 4.84 ms, test GPU 4.88 ms. Needs visual review before permanent project config adoption.","r.Tonemapper.Quality=2","Defines the Tonemapper Quality in the range 0..5.","ECVF_Scalability","ab_r_Tonemapper_Quality_2_20260616_144730","<BenchmarkMap>","1280x720","4.88","7.60","5.99","280","2.13","0","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\CSV\Profile(20260616_144730).csv","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.48.21\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.48.21\<BenchmarkMap>-2026.06.16-14.48.21-FPS-WindowsEditor.html","Paired A/B same process: baseline frames 80-360, set r.Tonemapper.Quality=2 at frame 420, test frames 440-720, quit frame 750. Launch log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Tonemapper_Quality_2.log","paired_ab_same_process","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.48.18\<BenchmarkMap>-FPS-WindowsEditor.log","<UserLocalAppData>\UnrealEngine\5.8\Saved\Profiling\FPSChartStats\2026.06.16-14.48.21\<BenchmarkMap>-FPS-WindowsEditor.log","4.84","4.88"
