command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,current_project_values,test_method,safe_test_values,config_target,test_priority,skip_or_review_reason,baseline_fps,test_fps,fps_delta_percent,quality_impact,recommendation,project_setting_value,notes,usage,help,flags
Android.NewKeyboard,CVar,string,,Android,通用,Android,true,false,false,false,false,,,platform_not_current_windows,0;1,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`Android.NewKeyboard=<值>` / `Android.NewKeyboard <值>` 或 INI 中配置,"Controls usage of experimental new keyboard input. 0 uses the checkbox setting, 1 forces new keyboard, 2 forces dialog. (Default: 0)",ECVF_Default
android.OpenGL.InjectFragmentControlFlowHint,CVar,string,,android,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,,platform_not_current_windows,,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`android.OpenGL.InjectFragmentControlFlowHint=<值>` / `android.OpenGL.InjectFragmentControlFlowHint <值>` 或 INI 中配置,true - Injects a benign control flow branch into the fragment shader to trigger alternative code generation with some compilers.\n,ECVF_ReadOnly
Android.OpenGL.NumRemoteProgramCompileServices,CVar,string,,Android,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,,platform_not_current_windows,,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`Android.OpenGL.NumRemoteProgramCompileServices=<值>` / `Android.OpenGL.NumRemoteProgramCompileServices <值>` 或 INI 中配置,The number of separate processes to make available to compile opengl programs.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
android.PSOService.EnableSchedulingParams,CVar,string,,android,通用,Android,true,false,false,false,false,,,platform_not_current_windows,,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`android.PSOService.EnableSchedulingParams=<值>` / `android.PSOService.EnableSchedulingParams <值>` 或 INI 中配置,Whether to set scheduler values (such as nice and scheduler policy) for each precache process job\n,ECVF_RenderThreadSafe
android.PSOService.ExternalCompilerFailureThreshold,CVar,string,,android,通用,Android,true,false,false,false,false,,,platform_not_current_windows,,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`android.PSOService.ExternalCompilerFailureThreshold=<值>` / `android.PSOService.ExternalCompilerFailureThreshold <值>` 或 INI 中配置,Number of external PSO compiler failures to ignore before disabling external PSO compiling altogether.\n,ECVF_Default | ECVF_RenderThreadSafe
android.PSOService.MaxPriPSOPrecacheAffinity,CVar,string,,android,通用,Android,true,false,false,false,false,,,platform_not_current_windows,,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`android.PSOService.MaxPriPSOPrecacheAffinity=<值>` / `android.PSOService.MaxPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling high priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
android.PSOService.MinPriPSOPrecacheAffinity,CVar,string,,android,通用,Android,true,false,false,false,false,,,platform_not_current_windows,,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`android.PSOService.MinPriPSOPrecacheAffinity=<值>` / `android.PSOService.MinPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling low priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
android.PSOService.NormalPriPSOPrecacheAffinity,CVar,string,,android,材质,Android,true,false,false,false,false,,,platform_not_current_windows,,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`android.PSOService.NormalPriPSOPrecacheAffinity=<值>` / `android.PSOService.NormalPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling normal priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
android.Vulkan.HasUnifiedMemory,CVar,int32,1,android,RHI/底层渲染接口,Android、Vulkan,true,false,false,false,false,,,platform_not_current_windows,0;1,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`android.Vulkan.HasUnifiedMemory=<值>` / `android.Vulkan.HasUnifiedMemory <值>` 或 INI 中配置,Whether or not device has unified memory\n,ECVF_SetByDeviceProfile
Android.Vulkan.NumRemoteProgramCompileServices,CVar,string,,Android,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,,platform_not_current_windows,,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`Android.Vulkan.NumRemoteProgramCompileServices=<值>` / `Android.Vulkan.NumRemoteProgramCompileServices <值>` 或 INI 中配置,The number of separate processes to make available to compile Vulkan PSOs.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
android.Vulkan.RetainLimitForPSOCreateCrashReport,CVar,string,,android,光线追踪,Android、Vulkan,true,false,false,false,false,,,platform_not_current_windows,,Platform Engine.ini or DeviceProfile if adopted,P3,Not applicable to current Windows/DirectX baseline.,,,,untested,untested,,,`android.Vulkan.RetainLimitForPSOCreateCrashReport=<值>` / `android.Vulkan.RetainLimitForPSOCreateCrashReport <值>` 或 INI 中配置,Retain the PSO creation source data from the external compiler services when > 0. If a crash occurs the data is added to the crash report.\n,ECVF_RenderThreadSafe
arcore.DebugOverlayMode,CVar,string,,arcore,渲染调试/可视化,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`arcore.DebugOverlayMode=<值>` / `arcore.DebugOverlayMode <值>` 或 INI 中配置,The debug overlay mode for ARCore:\n,
au.nrt.RenderEveryTick,CVar,string,,au,光线追踪,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`au.nrt.RenderEveryTick=<值>` / `au.nrt.RenderEveryTick <值>` 或 INI 中配置,"When set to 1, calls the RenderAudio call every tick.\n",ECVF_Default
au.nrt.RenderFrameSize,CVar,string,,au,光线追踪,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`au.nrt.RenderFrameSize=<值>` / `au.nrt.RenderFrameSize <值>` 或 INI 中配置,Selects the number of frames to render in a single callback .\n,ECVF_Default
au.Wasapi.UseDefaultQualitySRC,CVar,string,,au,通用,Windows,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`au.Wasapi.UseDefaultQualitySRC=<值>` / `au.Wasapi.UseDefaultQualitySRC <值>` 或 INI 中配置,Enable Wasapi default SRC quality.\n,ECVF_Default
ComputeKernel.ShowShaderCompilerWarnings,CVar,string,,ComputeKernel,材质,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`ComputeKernel.ShowShaderCompilerWarnings=<值>` / `ComputeKernel.ShowShaderCompilerWarnings <值>` 或 INI 中配置,"When set to 1, will display all warnings from ComputeKernel shader compiles.",
Cook.OnTheFly.AllowIncompleteShadermaps,CVar,string,,Cook,材质,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`Cook.OnTheFly.AllowIncompleteShadermaps=<值>` / `Cook.OnTheFly.AllowIncompleteShadermaps <值>` 或 INI 中配置,Controls whether incomplete shader maps are processed during cook on the fly\n,ECVF_Default
Cook.OnTheFly.ShaderCompilationDisabled,CVar,string,,Cook,材质,All,true,false,false,false,false,,,manual_value_review,,Runtime console or user setting if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`Cook.OnTheFly.ShaderCompilationDisabled=<值>` / `Cook.OnTheFly.ShaderCompilationDisabled <值>` 或 INI 中配置,Controls whether shader compilation is disabled during cook on the fly\n,ECVF_Default
D3D12.AdjustTexturePoolSizeBasedOnBudget,CVar,string,,D3D12,材质,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`D3D12.AdjustTexturePoolSizeBasedOnBudget=<值>` / `D3D12.AdjustTexturePoolSizeBasedOnBudget <值>` 或 INI 中配置,Indicates if the RHI should lower the texture pool size when the application is over the memory budget provided by the OS. This can result in lower quality textures (but hopefully improve performance).,
d3d12.AllowDiscardResources,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`d3d12.AllowDiscardResources=<值>` / `d3d12.AllowDiscardResources <值>` 或 INI 中配置,Whether to call DiscardResources after transient aliasing acquire. This is not needed on some platforms if newly acquired resources are cleared before use.,ECVF_RenderThreadSafe
d3d12.BatchResourceBarriers,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`d3d12.BatchResourceBarriers=<值>` / `d3d12.BatchResourceBarriers <值>` 或 INI 中配置,Whether to allow batching resource barriers,
D3D12.Bindless.HeapUpdateUniqueUploadThreshold,CVar,string,,D3D12,后处理,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`D3D12.Bindless.HeapUpdateUniqueUploadThreshold=<值>` / `D3D12.Bindless.HeapUpdateUniqueUploadThreshold <值>` 或 INI 中配置,Threshold of upload index count before we make the list of update indices unique.,ECVF_Default
d3d12.BindResourceLabels,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`d3d12.BindResourceLabels=<值>` / `d3d12.BindResourceLabels <值>` 或 INI 中配置,Whether to enable binding of debug names to D3D12 resources.,
d3d12.DisableDiscardOfDepthResources,CVar,string,,d3d12,后处理,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`d3d12.DisableDiscardOfDepthResources=<值>` / `d3d12.DisableDiscardOfDepthResources <值>` 或 INI 中配置,Whether to skip discarding depth resources after transient aliasing acquire. This is not needed on some platforms if the whole (sub)resource is written before it's read.,
D3D12.DumpRayTracingGeometries,Command,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,,manual_command_review,,Platform Engine.ini or DeviceProfile if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`D3D12.DumpRayTracingGeometries`（可带参数，具体见帮助说明）,Dump memory allocations for ray tracing resources.,
D3D12.DumpRayTracingGeometriesToCSV,Command,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,,manual_command_review,,Platform Engine.ini or DeviceProfile if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`D3D12.DumpRayTracingGeometriesToCSV`（可带参数，具体见帮助说明）,Dump all memory allocations for ray tracing resources to a CSV file on disc.,
D3D12.DumpTrackedAllocationCallstacks,Command,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_command_review,,Platform Engine.ini or DeviceProfile if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`D3D12.DumpTrackedAllocationCallstacks`（可带参数，具体见帮助说明）,Dump all tracked d3d12 resource allocation callstacks.,
D3D12.DumpTrackedAllocations,Command,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_command_review,,Platform Engine.ini or DeviceProfile if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`D3D12.DumpTrackedAllocations`（可带参数，具体见帮助说明）,Dump all tracked d3d12 resource allocations.,
D3D12.DumpTrackedResidentAllocationCallstacks,Command,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_command_review,,Platform Engine.ini or DeviceProfile if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`D3D12.DumpTrackedResidentAllocationCallstacks`（可带参数，具体见帮助说明）,Dump all tracked resident d3d12 resource allocation callstacks.,
D3D12.DumpTrackedResidentAllocations,Command,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_command_review,,Platform Engine.ini or DeviceProfile if adopted,P3,"Console command, not a settable CVar.",,,,untested,untested,,,`D3D12.DumpTrackedResidentAllocations`（可带参数，具体见帮助说明）,Dump all tracked resisdent d3d12 resource allocations.,
D3D12.EvictAllResidentResourcesInBackground,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`D3D12.EvictAllResidentResourcesInBackground=<值>` / `D3D12.EvictAllResidentResourcesInBackground <值>` 或 INI 中配置,Force D3D12 resource residency manager to evict all tracked unused resources when the application is not focused\n,ECVF_Default
d3d12.FastAllocator.MinPagesToRetain,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,,manual_value_review,,Platform Engine.ini or DeviceProfile if adopted,P3,No safe automatic test value inferred.,,,,untested,untested,,,`d3d12.FastAllocator.MinPagesToRetain=<值>` / `d3d12.FastAllocator.MinPagesToRetain <值>` 或 INI 中配置,Minimum number of pages to retain. Pages below this limit will never be released. Pages above can be released after being unused for a certain number of frames.,ECVF_Default
