command,value,config_file,line,section,baseline_action,notes
r.AllowOcclusionQueries,True,Config/DefaultEngine.ini,9,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.PrecomputedVisibilityWarning,False,Config/DefaultEngine.ini,10,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TextureStreaming,True,Config/DefaultEngine.ini,11,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.NormalMapsForStaticLighting,False,Config/DefaultEngine.ini,12,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.GenerateMeshDistanceFields,True,Config/DefaultEngine.ini,13,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.GenerateLandscapeGIData,False,Config/DefaultEngine.ini,14,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.SupportLowQualityLightmaps,False,Config/DefaultEngine.ini,15,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.SupportStationarySkylight,True,Config/DefaultEngine.ini,16,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.SupportPointLightWholeSceneShadows,True,Config/DefaultEngine.ini,17,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.SupportMaterialLayers,True,Config/DefaultEngine.ini,18,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.EnableOverrideMaterialQualityLevel,1,Config/DefaultEngine.ini,19,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.EnableOverrideMaterialQualityLevel.Enemy,0,Config/DefaultEngine.ini,20,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Material.ReEvaluateUniformExpressions,0,Config/DefaultEngine.ini,21,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.MaterialEnableNewHLSLGenerator,1,Config/DefaultEngine.ini,22,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.Bloom,True,Config/DefaultEngine.ini,23,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.AmbientOcclusion,True,Config/DefaultEngine.ini,24,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.AmbientOcclusionStaticFraction,True,Config/DefaultEngine.ini,25,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.MotionBlur,False,Config/DefaultEngine.ini,26,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.LensFlare,True,Config/DefaultEngine.ini,27,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.AutoExposure.ExtendDefaultLuminanceRange,True,Config/DefaultEngine.ini,28,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.ClearSceneMethod,1,Config/DefaultEngine.ini,29,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.WireframeCullThreshold,5.000000,Config/DefaultEngine.ini,30,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.EarlyZPass,2,Config/DefaultEngine.ini,31,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.EarlyZPassMovable,False,Config/DefaultEngine.ini,32,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.EarlyZPassOnlyMaterialMasking,False,Config/DefaultEngine.ini,33,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.TranslucentSortPolicy,0,Config/DefaultEngine.ini,34,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.SeparateTranslucency,True,Config/DefaultEngine.ini,36,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.CustomDepth,3,Config/DefaultEngine.ini,37,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.SSS.Checkerboard,1,Config/DefaultEngine.ini,38,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.ReflectionCaptureResolution,32,Config/DefaultEngine.ini,39,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.ReflectionCapture.EnableEncodedHDR,1,Config/DefaultEngine.ini,40,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.SupportAtmosphericFog,False,Config/DefaultEngine.ini,41,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.EnableQuerySkylightCubemapSH,1,Config/DefaultEngine.ini,42,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.ForceQuantizeViewRect,1,Config/DefaultEngine.ini,43,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.UnbuiltPreviewInGame,False,Config/DefaultEngine.ini,44,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.StencilForLODDither,True,Config/DefaultEngine.ini,45,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.PathTracing,False,Config/DefaultEngine.ini,46,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.AntiAliasingMethod,2,Config/DefaultEngine.ini,47,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.Reflections.BilateralFilter,0,Config/DefaultEngine.ini,50,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.TranslucencyReflections.FrontLayer.Enable,1,Config/DefaultEngine.ini,52,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.TranslucencyVolume.HardwareRayTracing,0,Config/DefaultEngine.ini,54,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.Lumen.RadianceCache.HardwareRayTracing,0,Config/DefaultEngine.ini,55,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.Lumen.ScreenProbeGather.HardwareRayTracing,1,Config/DefaultEngine.ini,58,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.LumenScene.DirectLighting.HardwareRayTracing,0,Config/DefaultEngine.ini,60,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.LumenScene.Radiosity.HardwareRayTracing,0,Config/DefaultEngine.ini,61,/Script/Engine.RendererSettings,preserve_for_ray_tracing_baseline,Ray tracing-related override stays unchanged for baseline.
r.Lumen.ScreenProbeGather.IrradianceFormat,0,Config/DefaultEngine.ini,62,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
r.LumenScene.GlobalSDF.ClipmapExtent,3000,Config/DefaultEngine.ini,63,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,Disable or omit during baseline run; restore after experiment if needed.
