command,value,config_file,line,section,baseline_action,reason,notes
r.AllowOcclusionQueries,True,Config/DefaultEngine.ini,9,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.GenerateLandscapeGIData,False,Config/DefaultEngine.ini,14,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.SupportMaterialLayers,True,Config/DefaultEngine.ini,18,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.EnableOverrideMaterialQualityLevel,1,Config/DefaultEngine.ini,19,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.EnableOverrideMaterialQualityLevel.Enemy,0,Config/DefaultEngine.ini,20,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Material.ReEvaluateUniformExpressions,0,Config/DefaultEngine.ini,21,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.MaterialEnableNewHLSLGenerator,1,Config/DefaultEngine.ini,22,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.WireframeCullThreshold,5.000000,Config/DefaultEngine.ini,30,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.EarlyZPassMovable,False,Config/DefaultEngine.ini,32,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.CustomDepth,3,Config/DefaultEngine.ini,37,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.ReflectionCapture.EnableEncodedHDR,1,Config/DefaultEngine.ini,40,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.SupportAtmosphericFog,False,Config/DefaultEngine.ini,41,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.EnableQuerySkylightCubemapSH,1,Config/DefaultEngine.ini,42,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.ForceQuantizeViewRect,1,Config/DefaultEngine.ini,43,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Shadow.UnbuiltPreviewInGame,False,Config/DefaultEngine.ini,44,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.Reflections.BilateralFilter,0,Config/DefaultEngine.ini,50,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.TranslucencyReflections.FrontLayer.Enable,1,Config/DefaultEngine.ini,52,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.ScreenProbeGather.IrradianceFormat,0,Config/DefaultEngine.ini,62,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.LumenScene.GlobalSDF.ClipmapExtent,3000,Config/DefaultEngine.ini,63,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.ScreenProbeGather.ScreenTraces.HZBTraversal.RelativeDepthThickness,0.05,Config/DefaultEngine.ini,65,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.TraceMeshSDFs,0,Config/DefaultEngine.ini,67,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.Reflections.SmoothBias,0.1,Config/DefaultEngine.ini,71,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.ScreenProbeGather.ScreenTraces,0,Config/DefaultEngine.ini,72,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.Reflections.ScreenTraces,0,Config/DefaultEngine.ini,73,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Lumen.ScreenProbeGather.Temporal.MaxFramesAccumulated,32,Config/DefaultEngine.ini,76,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.RequireDX12,0,Config/DefaultEngine.ini,114,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.Streaming.MaxPageInstallsPerFrame,32,Config/DefaultEngine.ini,115,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
r.Nanite.Streaming.Imposters,0,Config/DefaultEngine.ini,116,/Script/Engine.RendererSettings,temporarily_reset_for_baseline,unknown_default,Disable or omit during baseline run; restore after experiment if needed.
