command,value,baseline_value,default_source,config_file,line,section,target_file,notes
r.PrecomputedVisibilityWarning,False,0,source_registration_default,Config/DefaultEngine.ini,10,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.TextureStreaming,True,1,source_registration_default,Config/DefaultEngine.ini,11,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.NormalMapsForStaticLighting,False,0,source_registration_default,Config/DefaultEngine.ini,12,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.GenerateMeshDistanceFields,True,0,source_registration_default,Config/DefaultEngine.ini,13,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.SupportLowQualityLightmaps,False,1,source_registration_default,Config/DefaultEngine.ini,15,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.SupportStationarySkylight,True,1,source_registration_default,Config/DefaultEngine.ini,16,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.SupportPointLightWholeSceneShadows,True,1,source_registration_default,Config/DefaultEngine.ini,17,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.Bloom,True,1,source_registration_default,Config/DefaultEngine.ini,23,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.AmbientOcclusion,True,1,source_registration_default,Config/DefaultEngine.ini,24,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.AmbientOcclusionStaticFraction,True,1,source_registration_default,Config/DefaultEngine.ini,25,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.MotionBlur,False,1,source_registration_default,Config/DefaultEngine.ini,26,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.LensFlare,True,0,source_registration_default,Config/DefaultEngine.ini,27,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.DefaultFeature.AutoExposure.ExtendDefaultLuminanceRange,True,0,source_registration_default,Config/DefaultEngine.ini,28,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.ClearSceneMethod,1,1,source_registration_default,Config/DefaultEngine.ini,29,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.EarlyZPass,2,3,source_registration_default,Config/DefaultEngine.ini,31,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.EarlyZPassOnlyMaterialMasking,False,1,source_registration_default,Config/DefaultEngine.ini,33,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.TranslucentSortPolicy,0,0,source_registration_default,Config/DefaultEngine.ini,34,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.SeparateTranslucency,True,1,source_registration_default,Config/DefaultEngine.ini,36,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.SSS.Checkerboard,1,2,source_registration_default,Config/DefaultEngine.ini,38,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.ReflectionCaptureResolution,32,128,source_registration_default,Config/DefaultEngine.ini,39,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.StencilForLODDither,True,0,source_registration_default,Config/DefaultEngine.ini,45,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.PathTracing,False,1,source_registration_default,Config/DefaultEngine.ini,46,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
r.AntiAliasingMethod,2,4,source_registration_default,Config/DefaultEngine.ini,47,/Script/Engine.RendererSettings,Config/Custom/RenderBaseline/DefaultEngine.ini,Disable or omit during baseline run; restore after experiment if needed.
