source_file,line,preserved_line
Config/DefaultEngine.ini,54,r.Lumen.TranslucencyVolume.HardwareRayTracing=0
Config/DefaultEngine.ini,55,r.Lumen.RadianceCache.HardwareRayTracing=0
Config/DefaultEngine.ini,58,r.Lumen.ScreenProbeGather.HardwareRayTracing=1
Config/DefaultEngine.ini,60,r.LumenScene.DirectLighting.HardwareRayTracing=0
Config/DefaultEngine.ini,61,r.LumenScene.Radiosity.HardwareRayTracing=0
Config/DefaultEngine.ini,64,r.Lumen.HardwareRayTracing.LightingMode=1
Config/DefaultEngine.ini,66,r.Lumen.HardwareRayTracing.Inline=1
Config/DefaultEngine.ini,81,r.RayTracing=False
Config/DefaultEngine.ini,83,r.RayTracing.EnableInEditor=1
Config/DefaultEngine.ini,84,r.RayTracing.RequireSM6=1
Config/DefaultEngine.ini,85,r.RayTracing.SampledLighting=0
Config/DefaultEngine.ini,86,r.RayTracing.Shadows.EnableTwoSidedGeometry=0
Config/DefaultEngine.ini,87,r.RayTracing.Nanite.Mode=1
Config/DefaultEngine.ini,88,r.RayTracing.Geometry.InstancedStaticMeshes.AvoidPoping=1
Config/DefaultEngine.ini,89,r.RayTracing.DynamicGeometryLastRenderTimeUpdateDistance=3000
Config/DefaultEngine.ini,90,r.RayTracing.NaniteShadowMode.HybirdMode.DepthThreshold=10000
Config/DefaultEngine.ini,91,r.RayTracing.SkyLight=True
Config/DefaultEngine.ini,92,r.RayTracing.HybridTranslucencySupport=False
Config/DefaultEngine.ini,93,r.RayTracing.EnableRasterRTSceneDepth=0
Config/DefaultEngine.ini,94,r.RayTracing.UseTextureLod=True
Config/DefaultEngine.ini,97,r.RayTracing.ForceAllRayTracingEffects=0
Config/DefaultEngine.ini,99,r.Lumen.HardwareRayTracing=1
Config/DefaultEngine.ini,102,r.RayTracing.Shadows=True
Config/DefaultEngine.ini,106,r.RayTracing.Shadows.SamplesPerPixel=4
Config/DefaultEngine.ini,109,r.RayTracing.Geometry.StaticMeshes.WPO=1
Config/DefaultEngine.ini,142,r.DistanceFields.SupportEvenIfHardwareRayTracingSupported=1
Config/DefaultEngine.ini,305,r.RayTracing.RayTracingProxies.ProjectEnabled=True
