command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,current_project_values,test_method,safe_test_values,config_target,test_priority,skip_or_review_reason,baseline_fps,test_fps,fps_delta_percent,quality_impact,recommendation,project_setting_value,notes,usage,help,flags
d3d11.ZeroBufferSizeInMB,CVar,int32,4,d3d11,RHI/底层渲染接口,DirectX、Windows,false,true,false,false,false,,Config/DefaultEngine.ini:294=16,startup_restart_required,0;1;2;4;8,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d11.ZeroBufferSizeInMB=<值>` / `d3d11.ZeroBufferSizeInMB <值>` 或 INI 中配置,The D3D11 RHI needs a static allocation of zeroes to use when streaming textures asynchronously. It should be large enough to support the largest mipmap you need to stream. The default is 4MB.,ECVF_ReadOnly
d3d12.AllowPoolAllocateIndirectArgBuffers,CVar,string,,d3d12,GI,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.AllowPoolAllocateIndirectArgBuffers=<值>` / `d3d12.AllowPoolAllocateIndirectArgBuffers <值>` 或 INI 中配置,Allow indirect args to be pool allocated (otherwise they will be committed resources) (default: 0),ECVF_ReadOnly
D3D12.Bindless.GarbageCollectLatency,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.Bindless.GarbageCollectLatency=<值>` / `D3D12.Bindless.GarbageCollectLatency <值>` 或 INI 中配置,Amount of update cycles before heap is freed,ECVF_ReadOnly
D3D12.Bindless.ResourceDescriptorHeapSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.Bindless.ResourceDescriptorHeapSize=<值>` / `D3D12.Bindless.ResourceDescriptorHeapSize <值>` 或 INI 中配置,Bindless resource descriptor heap size,ECVF_ReadOnly
D3D12.Bindless.SamplerDescriptorHeapSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.Bindless.SamplerDescriptorHeapSize=<值>` / `D3D12.Bindless.SamplerDescriptorHeapSize <值>` 或 INI 中配置,Bindless sampler descriptor heap size,ECVF_ReadOnly
D3D12.BindlessOnlineDescriptorHeapBlockSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.BindlessOnlineDescriptorHeapBlockSize=<值>` / `D3D12.BindlessOnlineDescriptorHeapBlockSize <值>` 或 INI 中配置,Block size for sub allocations on the global view descriptor heap.,ECVF_ReadOnly
D3D12.BindlessOnlineDescriptorHeapSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.BindlessOnlineDescriptorHeapSize=<值>` / `D3D12.BindlessOnlineDescriptorHeapSize <值>` 或 INI 中配置,Online descriptor heap size,ECVF_ReadOnly
d3d12.DefaultBuffer.OverFlowPoolsCount,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.DefaultBuffer.OverFlowPoolsCount=<值>` / `d3d12.DefaultBuffer.OverFlowPoolsCount <值>` 或 INI 中配置,Max OverFlow Pools count to pre-allocate,ECVF_ReadOnly
d3d12.DefaultBuffer.PoolAllocationStrategy,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.DefaultBuffer.PoolAllocationStrategy=<值>` / `d3d12.DefaultBuffer.PoolAllocationStrategy <值>` 或 INI 中配置,Pool allocation strategy,ECVF_ReadOnly
D3D12.EmitRgpFrameMarkers,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.EmitRgpFrameMarkers=<值>` / `D3D12.EmitRgpFrameMarkers <值>` 或 INI 中配置,Enables/Disables frame markers for AMD's RGP tool.,ECVF_ReadOnly | ECVF_RenderThreadSafe
d3d12.FastConstantAllocatorPageSize,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.FastConstantAllocatorPageSize=<值>` / `d3d12.FastConstantAllocatorPageSize <值>` 或 INI 中配置,Page size for the fast constant allocator,ECVF_ReadOnly
D3D12.GlobalResourceDescriptorHeapSize,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.GlobalResourceDescriptorHeapSize=<值>` / `D3D12.GlobalResourceDescriptorHeapSize <值>` 或 INI 中配置,Global resource descriptor heap size,ECVF_ReadOnly
D3D12.GlobalSamplerDescriptorHeapSize,CVar,string,,D3D12,材质,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.GlobalSamplerDescriptorHeapSize=<值>` / `D3D12.GlobalSamplerDescriptorHeapSize <值>` 或 INI 中配置,Global sampler descriptor heap size,ECVF_ReadOnly
D3D12.GlobalSamplerHeapSize,CVar,string,,D3D12,材质,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.GlobalSamplerHeapSize=<值>` / `D3D12.GlobalSamplerHeapSize <值>` 或 INI 中配置,Global sampler descriptor heap size,ECVF_ReadOnly
D3D12.LocalViewHeapSize,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.LocalViewHeapSize=<值>` / `D3D12.LocalViewHeapSize <值>` 或 INI 中配置,Local view heap size,ECVF_ReadOnly
D3D12.OnlineDescriptorHeapBlockSize,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.OnlineDescriptorHeapBlockSize=<值>` / `D3D12.OnlineDescriptorHeapBlockSize <值>` 或 INI 中配置,Block size for sub allocations on the global view descriptor heap.,ECVF_ReadOnly
D3D12.OnlineDescriptorHeapSize,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.OnlineDescriptorHeapSize=<值>` / `D3D12.OnlineDescriptorHeapSize <值>` 或 INI 中配置,Online descriptor heap size,ECVF_ReadOnly
d3d12.PoolAllocator.ReadOnlyTextureMaxAllocationSize,CVar,string,,d3d12,材质,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.PoolAllocator.ReadOnlyTextureMaxAllocationSize=<值>` / `d3d12.PoolAllocator.ReadOnlyTextureMaxAllocationSize <值>` 或 INI 中配置,Maximum size of a single allocation in the VRAM ReadOnly Texture pool allocator (default 64MB),ECVF_ReadOnly
d3d12.PoolAllocator.ReadOnlyTextureVRAMPoolSize,CVar,string,,d3d12,材质,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.PoolAllocator.ReadOnlyTextureVRAMPoolSize=<值>` / `d3d12.PoolAllocator.ReadOnlyTextureVRAMPoolSize <值>` 或 INI 中配置,Pool size of a single VRAM ReadOnly Texture memory pool (default 64MB),ECVF_ReadOnly
d3d12.PoolAllocator.RTUAVTextureMaxAllocationSize,CVar,string,,d3d12,光线追踪,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.PoolAllocator.RTUAVTextureMaxAllocationSize=<值>` / `d3d12.PoolAllocator.RTUAVTextureMaxAllocationSize <值>` 或 INI 中配置,Maximum size of a single allocation in the VRAM RTUAV Texture pool allocator (default 0MB - disabled),ECVF_ReadOnly
d3d12.PoolAllocator.RTUAVTextureVRAMPoolSize,CVar,string,,d3d12,光线追踪,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.PoolAllocator.RTUAVTextureVRAMPoolSize=<值>` / `d3d12.PoolAllocator.RTUAVTextureVRAMPoolSize <值>` 或 INI 中配置,Pool size of a single VRAM RTUAV Texture memory pool (default 0MB - disabled),ECVF_ReadOnly
D3D12.PSO.DiskCache,CVar,int32,0,D3D12,RHI/底层渲染接口,DirectX、Windows,false,true,false,false,false,,,startup_restart_required,0;1,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.PSO.DiskCache=<值>` / `D3D12.PSO.DiskCache <值>` 或 INI 中配置,Enables a disk cache for Pipeline State Objects (PSOs).\n,ECVF_ReadOnly
D3D12.PSO.DriverOptimizedDiskCache,CVar,int32,0,D3D12,RHI/底层渲染接口,DirectX、Windows,false,true,false,false,false,,,startup_restart_required,0;1,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.PSO.DriverOptimizedDiskCache=<值>` / `D3D12.PSO.DriverOptimizedDiskCache <值>` 或 INI 中配置,Enables a disk cache for driver-optimized Pipeline State Objects (PSOs).\n,ECVF_ReadOnly
D3D12.PSO.KeepUsedPSOsInLowLevelCache,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.PSO.KeepUsedPSOsInLowLevelCache=<值>` / `D3D12.PSO.KeepUsedPSOsInLowLevelCache <值>` 或 INI 中配置,Keep in memory the d3d12 PSO blob for used PSOs. Consumes more memory but reduces potential stalls.\n,ECVF_ReadOnly
D3D12.PSO.StallWarningThresholdInMs,CVar,float,100.0f,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,0;50;100;150,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.PSO.StallWarningThresholdInMs=<值>` / `D3D12.PSO.StallWarningThresholdInMs <值>` 或 INI 中配置,Sets a threshold of when to logs messages about stalls due to PSO creation.\n,ECVF_ReadOnly
D3D12.PSOPrecache.KeepLowLevel,CVar,string,,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.PSOPrecache.KeepLowLevel=<值>` / `D3D12.PSOPrecache.KeepLowLevel <值>` 或 INI 中配置,Keep in memory the d3d12 PSO blob for precached PSOs. Consumes more memory but reduces stalls.\n,ECVF_ReadOnly
d3d12.ReservedResourceHeapSizeMB,CVar,int32,16,d3d12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,0;1;8;16;32,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`d3d12.ReservedResourceHeapSizeMB=<值>` / `d3d12.ReservedResourceHeapSizeMB <值>` 或 INI 中配置,Size of the backing heaps for reserved resources in megabytes (default 16MB).,ECVF_ReadOnly
D3D12.ResidencyManagement,CVar,int32,1,D3D12,RHI/底层渲染接口,DirectX,false,true,false,false,false,,,startup_restart_required,0;1,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.ResidencyManagement=<值>` / `D3D12.ResidencyManagement <值>` 或 INI 中配置,Controls whether D3D12 resource residency management is active (default = on).,ECVF_ReadOnly
D3D12.ResourcesStartResident,CVar,string,,D3D12,光线追踪,DirectX,false,true,false,false,false,,,startup_restart_required,,Platform Engine.ini or DeviceProfile if adopted,P2,ReadOnly/startup-only; requires editor restart or startup config pass.,,,,untested,untested,,,`D3D12.ResourcesStartResident=<值>` / `D3D12.ResourcesStartResident <值>` 或 INI 中配置,When disabled (default): all D3D12 resources start EVICTED. GPU Residency will be managed during command list submission.,ECVF_ReadOnly
