command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
DC.LumenPerView,CVar,string,,DC,Lumen,All,true,false,false,false,false,,`DC.LumenPerView=<值>` / `DC.LumenPerView <值>` 或 INI 中配置,Separate Lumen scene cache allocated for each View. (Default = 1)\n,ECVF_RenderThreadSafe
r.Lumen.AsyncCompute,CVar,int32,1,r,Lumen,All,true,false,false,false,true,,`r.Lumen.AsyncCompute=<值>` / `r.Lumen.AsyncCompute <值>` 或 INI 中配置,Whether Lumen should use async compute if supported.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.DiffuseIndirect.Allow,CVar,int,1,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@0;GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.Lumen.DiffuseIndirect.Allow=<值>` / `r.Lumen.DiffuseIndirect.Allow <值>` 或 INI 中配置,"Whether to allow Lumen Global Illumination.  Lumen GI is enabled in the project settings, this cvar can only disable it.",ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.DiffuseIndirect.AsyncCompute,CVar,int32,1,r,Lumen,All,true,false,false,false,true,,`r.Lumen.DiffuseIndirect.AsyncCompute=<值>` / `r.Lumen.DiffuseIndirect.AsyncCompute <值>` 或 INI 中配置,Whether to run Lumen diffuse indirect passes on the compute pipe if possible.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.DiffuseIndirect.CardInterpolateInfluenceRadius,CVar,string,,r,Lumen,All,true,false,false,false,true,,`r.Lumen.DiffuseIndirect.CardInterpolateInfluenceRadius=<值>` / `r.Lumen.DiffuseIndirect.CardInterpolateInfluenceRadius <值>` 或 INI 中配置,.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.DiffuseIndirect.CardTraceEndDistanceFromCamera,CVar,string,,r,Lumen,All,true,false,false,false,true,,`r.Lumen.DiffuseIndirect.CardTraceEndDistanceFromCamera=<值>` / `r.Lumen.DiffuseIndirect.CardTraceEndDistanceFromCamera <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.DiffuseIndirect.CullGridDistributionLogZOffset,CVar,string,,r,Lumen,All,true,false,false,false,true,,`r.Lumen.DiffuseIndirect.CullGridDistributionLogZOffset=<值>` / `r.Lumen.DiffuseIndirect.CullGridDistributionLogZOffset <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.DiffuseIndirect.CullGridDistributionLogZScale,CVar,string,,r,Lumen,All,true,false,false,false,true,,`r.Lumen.DiffuseIndirect.CullGridDistributionLogZScale=<值>` / `r.Lumen.DiffuseIndirect.CullGridDistributionLogZScale <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.DiffuseIndirect.CullGridDistributionZScale,CVar,string,,r,Lumen,All,true,false,false,false,true,,`r.Lumen.DiffuseIndirect.CullGridDistributionZScale=<值>` / `r.Lumen.DiffuseIndirect.CullGridDistributionZScale <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.Lumen.DiffuseIndirect.CullGridPixelSize,CVar,string,,r,Lumen,All,true,false,false,false,true,,`r.Lumen.DiffuseIndirect.CullGridPixelSize=<值>` / `r.Lumen.DiffuseIndirect.CullGridPixelSize <值>` 或 INI 中配置,"Size of a cell in the card grid, in pixels.",ECVF_Scalability | ECVF_RenderThreadSafe
