command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
DC.ChromaKey.AllowNanite,CVar,string,,DC,Nanite,All,true,false,false,false,false,,`DC.ChromaKey.AllowNanite=<值>` / `DC.ChromaKey.AllowNanite <值>` 或 INI 中配置,0 disables Nanite when rendering custom chroma keys. Otherwise uses default showflag.,ECVF_RenderThreadSafe
DC.Lightcards.AllowNanite,CVar,string,,DC,Nanite,All,true,false,false,false,false,,`DC.Lightcards.AllowNanite=<值>` / `DC.Lightcards.AllowNanite <值>` 或 INI 中配置,0 disables Nanite when rendering lightcards. Otherwise uses default showflag.,ECVF_RenderThreadSafe
fx.Niagara.NaniteRenderer.Enabled,CVar,string,,fx,Nanite,All,true,false,false,false,false,,`fx.Niagara.NaniteRenderer.Enabled=<值>` / `fx.Niagara.NaniteRenderer.Enabled <值>` 或 INI 中配置,"If == 0, Niagara Nanite Renderers are disabled.",ECVF_Default
GenerateNaniteDisplacedMesh,Command,string,,GenerateNaniteDisplacedMesh,Nanite,All,true,false,false,false,false,,`GenerateNaniteDisplacedMesh`（可带参数，具体见帮助说明）,Generate nanite displacement mesh assets,
NaniteDisplacedMesh.UseNewAggregateID,CVar,string,,NaniteDisplacedMesh,Nanite,All,true,false,false,false,false,,`NaniteDisplacedMesh.UseNewAggregateID=<值>` / `NaniteDisplacedMesh.UseNewAggregateID <值>` 或 INI 中配置,Change how the nanite displaced mesh linking chose the name of a asset.,
r.ClusteredDeferredShading.EnableForProject,CVar,int32,1,r,Nanite,All,false,true,false,false,false,,`r.ClusteredDeferredShading.EnableForProject=<值>` / `r.ClusteredDeferredShading.EnableForProject <值>` 或 INI 中配置,Enables Clustered Deferred Shading rendering and shader code.,ECVF_ReadOnly | ECVF_RenderThreadSafe
r.CookMemory.NaniteDisplacedMeshEstimate,CVar,bool,true,r,Nanite,All,false,true,false,false,false,,`r.CookMemory.NaniteDisplacedMeshEstimate=<值>` / `r.CookMemory.NaniteDisplacedMeshEstimate <值>` 或 INI 中配置,Enable memory estimates for nanite displaced mesh asset cooks,ECVF_ReadOnly
r.GeometryCollection.Nanite,CVar,string,,r,Nanite,All,true,false,false,false,false,,`r.GeometryCollection.Nanite=<值>` / `r.GeometryCollection.Nanite <值>` 或 INI 中配置,Render geometry collections using Nanite.,ECVF_RenderThreadSafe
r.HairStrands.ClusterBuilder.MaxVoxelResolution,CVar,string,,r,Nanite,All,true,false,false,false,false,,`r.HairStrands.ClusterBuilder.MaxVoxelResolution=<值>` / `r.HairStrands.ClusterBuilder.MaxVoxelResolution <值>` 或 INI 中配置,Max voxel resolution used when building hair strands cluster data to avoid too long building time (default:128).,
r.Landscape.AllowNanitePerClusterDisplacementDisable,CVar,string,,r,Nanite,All,true,false,false,false,false,,`r.Landscape.AllowNanitePerClusterDisplacementDisable=<值>` / `r.Landscape.AllowNanitePerClusterDisplacementDisable <值>` 或 INI 中配置,Allow Nanite landscape to disable displcement on individual clusters in the distance.,ECVF_RenderThreadSafe
r.Mobile.EnableClusteredDeferredShadingPermutations,CVar,string,,r,Nanite,All,false,true,false,false,false,,`r.Mobile.EnableClusteredDeferredShadingPermutations=<值>` / `r.Mobile.EnableClusteredDeferredShadingPermutations <值>` 或 INI 中配置,Enable permutations for clustered shading and compile and cook them.,ECVF_RenderThreadSafe | ECVF_ReadOnly
r.Mobile.Forward.EnableClusteredReflections,CVar,int32,0,r,Nanite,All,false,true,false,false,false,,`r.Mobile.Forward.EnableClusteredReflections=<值>` / `r.Mobile.Forward.EnableClusteredReflections <值>` 或 INI 中配置,"Whether to enable clustered reflections on mobile forward, it's always supported on mobile deferred.",ECVF_ReadOnly | ECVF_RenderThreadSafe
r.Mobile.UseClusteredDeferredShading_ToBeRemoved,CVar,string,,r,Nanite,All,true,false,false,false,false,,`r.Mobile.UseClusteredDeferredShading_ToBeRemoved=<值>` / `r.Mobile.UseClusteredDeferredShading_ToBeRemoved <值>` 或 INI 中配置,NOTE: The mobile clustered deferred shading implementation will be removed in a future release due to low utility and use.\n,ECVF_RenderThreadSafe
r.Nanite,CVar,int32,1,r,Nanite,All,true,false,false,false,true,,`r.Nanite=<值>` / `r.Nanite <值>` 或 INI 中配置,Render static meshes using Nanite.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Nanite.AllowProgrammableDistances,CVar,string,,r,Nanite,All,false,true,false,false,false,,`r.Nanite.AllowProgrammableDistances=<值>` / `r.Nanite.AllowProgrammableDistances <值>` 或 INI 中配置,"Whether or not to allow disabling of Nanite programmable raster features (World Position Offset, Pixel Depth Offset,",ECVF_ReadOnly
r.Nanite.AllowSkinnedMeshes,CVar,int32,1,r,Nanite,All,false,true,false,false,false,,`r.Nanite.AllowSkinnedMeshes=<值>` / `r.Nanite.AllowSkinnedMeshes <值>` 或 INI 中配置,Whether to enable support for Nanite skinned meshes,ECVF_RenderThreadSafe | ECVF_ReadOnly
