command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
r.ExrReaderGPU.ForceTileDescBuffer,CVar,bool,true,r,VR/XR,All,true,false,false,false,false,,`r.ExrReaderGPU.ForceTileDescBuffer=<值>` / `r.ExrReaderGPU.ForceTileDescBuffer <值>` 或 INI 中配置,Calculates tile description and offsets on CPU and provides a Structured buffer.\n,
r.ExrReaderGPU.UseUploadHeap,CVar,string,,r,VR/XR,All,false,true,false,false,false,,`r.ExrReaderGPU.UseUploadHeap=<值>` / `r.ExrReaderGPU.UseUploadHeap <值>` 或 INI 中配置,Utilizes upload heap and copies raw exr buffer asynchronously.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
r.GPUDefrag.MaxRelocations,CVar,string,,r,VR/XR,All,true,false,false,false,false,,`r.GPUDefrag.MaxRelocations=<值>` / `r.GPUDefrag.MaxRelocations <值>` 或 INI 中配置,Limits the number of total relocations in a frame regardless of number of bytes moved..\n,ECVF_Default
r.HairStrands.Voxelization.GPUDriven.MaxPageIndexResolution,CVar,string,,r,VR/XR,All,true,false,false,false,false,,`r.HairStrands.Voxelization.GPUDriven.MaxPageIndexResolution=<值>` / `r.HairStrands.Voxelization.GPUDriven.MaxPageIndexResolution <值>` 或 INI 中配置,Max resolution of the page index. This is used for allocating a conservative page index buffer when GPU driven allocation is enabled.,
r.HairStrands.Voxelization.GPUDriven.MinPageIndexResolution,CVar,string,,r,VR/XR,All,true,false,false,false,false,,`r.HairStrands.Voxelization.GPUDriven.MinPageIndexResolution=<值>` / `r.HairStrands.Voxelization.GPUDriven.MinPageIndexResolution <值>` 或 INI 中配置,Min resolution of the page index. This is used for allocating a conservative page index buffer when GPU driven allocation is enabled.,
r.Mobile.XRMSAAMode,CVar,int32,0,r,VR/XR,All,false,true,false,false,false,,`r.Mobile.XRMSAAMode=<值>` / `r.Mobile.XRMSAAMode <值>` 或 INI 中配置,Whether to modify how mobile XR msaa support works\n,ECVF_ReadOnly | ECVF_RenderThreadSafe
r.ReadBuffer.MaxRenderingBytesAllocatedPerFrame,CVar,string,,r,VR/XR,All,true,false,false,false,false,,`r.ReadBuffer.MaxRenderingBytesAllocatedPerFrame=<值>` / `r.ReadBuffer.MaxRenderingBytesAllocatedPerFrame <值>` 或 INI 中配置,The maximum number of transient rendering read buffer bytes to allocate before we start panic logging who is doing the allocations,
r.RectLightAtlas.MaxResolution,CVar,int32,4096,r,VR/XR,All,true,false,false,false,false,,`r.RectLightAtlas.MaxResolution=<值>` / `r.RectLightAtlas.MaxResolution <值>` 或 INI 中配置,The maximum resolution for storing rect. light textures.\n,ECVF_RenderThreadSafe
r.ScreenPercentage.Default.VR.Mode,CVar,int32,int32(EScreenPercentageMode::Manual),r,VR/XR,All,true,false,false,false,true,,`r.ScreenPercentage.Default.VR.Mode=<值>` / `r.ScreenPercentage.Default.VR.Mode <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_Default
r.ScreenPercentage.MaxResolution,CVar,float,0.0f,r,VR/XR,All,true,false,false,false,false,,`r.ScreenPercentage.MaxResolution=<值>` / `r.ScreenPercentage.MaxResolution <值>` 或 INI 中配置,Controls the absolute maximum number of rendered pixel before any upscaling such that doesn't go higher than the specified 16:9 resolution,ECVF_Default
r.SkyLight.CubemapMaxResolution,CVar,string,,r,VR/XR,All,true,false,false,false,false,,`r.SkyLight.CubemapMaxResolution=<值>` / `r.SkyLight.CubemapMaxResolution <值>` 或 INI 中配置,Force max resolution of skylight cubemap (default to -1: takes default property value of USkyLightComponent::CubeMapResolution),
r.Streaming.LimitPoolSizeToVRAM,CVar,int32,0,r,VR/XR,All,true,false,false,true,true,TextureQuality@0;TextureQuality@1;TextureQuality@2;TextureQuality@3;TextureQuality@Cine,`r.Streaming.LimitPoolSizeToVRAM=<值>` / `r.Streaming.LimitPoolSizeToVRAM <值>` 或 INI 中配置,"If non-zero, texture pool size with be limited to how much GPU mem is available.",ECVF_Scalability
r.Streaming.MaxReferenceChecksBeforeStreamOut,CVar,string,,r,VR/XR,All,true,false,false,false,false,,`r.Streaming.MaxReferenceChecksBeforeStreamOut=<值>` / `r.Streaming.MaxReferenceChecksBeforeStreamOut <值>` 或 INI 中配置,Number of times the engine wait for references to be released before forcing streamout. (default=2),ECVF_Default
r.Streaming.PoolSize.VRAMPercentageClamp,CVar,int32,1024,r,VR/XR,All,true,false,false,false,false,,`r.Streaming.PoolSize.VRAMPercentageClamp=<值>` / `r.Streaming.PoolSize.VRAMPercentageClamp <值>` 或 INI 中配置,"When using PoolSizeVRAMPercentage, a maximum amout of memory to reserve in MB.\n",ECVF_Cheat
