command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
D3D12.Bindless.GarbageCollectLatency,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,`D3D12.Bindless.GarbageCollectLatency=<值>` / `D3D12.Bindless.GarbageCollectLatency <值>` 或 INI 中配置,Amount of update cycles before heap is freed,ECVF_ReadOnly
D3D12.Bindless.HeapUpdateUniqueUploadThreshold,CVar,string,,D3D12,后处理,DirectX,true,false,false,false,false,,`D3D12.Bindless.HeapUpdateUniqueUploadThreshold=<值>` / `D3D12.Bindless.HeapUpdateUniqueUploadThreshold <值>` 或 INI 中配置,Threshold of upload index count before we make the list of update indices unique.,ECVF_Default
D3D12.Bindless.ResourceDescriptorHeapSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,`D3D12.Bindless.ResourceDescriptorHeapSize=<值>` / `D3D12.Bindless.ResourceDescriptorHeapSize <值>` 或 INI 中配置,Bindless resource descriptor heap size,ECVF_ReadOnly
D3D12.Bindless.SamplerDescriptorHeapSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,`D3D12.Bindless.SamplerDescriptorHeapSize=<值>` / `D3D12.Bindless.SamplerDescriptorHeapSize <值>` 或 INI 中配置,Bindless sampler descriptor heap size,ECVF_ReadOnly
D3D12.BindlessOnlineDescriptorHeapBlockSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,`D3D12.BindlessOnlineDescriptorHeapBlockSize=<值>` / `D3D12.BindlessOnlineDescriptorHeapBlockSize <值>` 或 INI 中配置,Block size for sub allocations on the global view descriptor heap.,ECVF_ReadOnly
D3D12.BindlessOnlineDescriptorHeapSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,`D3D12.BindlessOnlineDescriptorHeapSize=<值>` / `D3D12.BindlessOnlineDescriptorHeapSize <值>` 或 INI 中配置,Online descriptor heap size,ECVF_ReadOnly
d3d12.DisableDiscardOfDepthResources,CVar,string,,d3d12,后处理,DirectX,true,false,false,false,false,,`d3d12.DisableDiscardOfDepthResources=<值>` / `d3d12.DisableDiscardOfDepthResources <值>` 或 INI 中配置,Whether to skip discarding depth resources after transient aliasing acquire. This is not needed on some platforms if the whole (sub)resource is written before it's read.,
D3D12.UnsafeCrossGPUTransfers,CVar,string,,D3D12,后处理,DirectX,true,false,false,false,false,,`D3D12.UnsafeCrossGPUTransfers=<值>` / `D3D12.UnsafeCrossGPUTransfers <值>` 或 INI 中配置,"Disables cross GPU synchronization correctness, for a gain in performance (Default: true).",ECVF_RenderThreadSafe
Editor.EnableMaterialAssetValidator,CVar,bool,false,Editor,后处理,All,true,false,false,false,false,,`Editor.EnableMaterialAssetValidator=<值>` / `Editor.EnableMaterialAssetValidator <值>` 或 INI 中配置,Enables material asset validator in validation contexts where it's normally disabled (on save and from commandlet).,
Electra.HDR.ToneMapMethod,CVar,int32,static_cast<int32>(MediaShaders::EToneMapMethod::Hable),Electra,后处理,All,true,false,false,false,false,,`Electra.HDR.ToneMapMethod=<值>` / `Electra.HDR.ToneMapMethod <值>` 或 INI 中配置,Tone mapping method applied on source HDR media:\n,ECVF_Default
