command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
android.Vulkan.RetainLimitForPSOCreateCrashReport,CVar,string,,android,光线追踪,Android、Vulkan,true,false,false,false,false,,`android.Vulkan.RetainLimitForPSOCreateCrashReport=<值>` / `android.Vulkan.RetainLimitForPSOCreateCrashReport <值>` 或 INI 中配置,Retain the PSO creation source data from the external compiler services when > 0. If a crash occurs the data is added to the crash report.\n,ECVF_RenderThreadSafe
au.nrt.RenderEveryTick,CVar,string,,au,光线追踪,All,true,false,false,false,false,,`au.nrt.RenderEveryTick=<值>` / `au.nrt.RenderEveryTick <值>` 或 INI 中配置,"When set to 1, calls the RenderAudio call every tick.\n",ECVF_Default
au.nrt.RenderFrameSize,CVar,string,,au,光线追踪,All,true,false,false,false,false,,`au.nrt.RenderFrameSize=<值>` / `au.nrt.RenderFrameSize <值>` 或 INI 中配置,Selects the number of frames to render in a single callback .\n,ECVF_Default
D3D12.DumpRayTracingGeometries,Command,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,`D3D12.DumpRayTracingGeometries`（可带参数，具体见帮助说明）,Dump memory allocations for ray tracing resources.,
D3D12.DumpRayTracingGeometriesToCSV,Command,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,`D3D12.DumpRayTracingGeometriesToCSV`（可带参数，具体见帮助说明）,Dump all memory allocations for ray tracing resources to a CSV file on disc.,
D3D12.InsertOuterOcclusionQuery,CVar,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,`D3D12.InsertOuterOcclusionQuery=<值>` / `D3D12.InsertOuterOcclusionQuery <值>` 或 INI 中配置,"If true, enable a dummy outer occlusion query around occlusion query batches. Can help performance on some GPU architectures",ECVF_Default
D3D12.LogViewportEvents,CVar,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,`D3D12.LogViewportEvents=<值>` / `D3D12.LogViewportEvents <值>` 或 INI 中配置,Log all the viewport events.,ECVF_RenderThreadSafe
d3d12.PoolAllocator.RTUAVTextureMaxAllocationSize,CVar,string,,d3d12,光线追踪,DirectX,false,true,false,false,false,,`d3d12.PoolAllocator.RTUAVTextureMaxAllocationSize=<值>` / `d3d12.PoolAllocator.RTUAVTextureMaxAllocationSize <值>` 或 INI 中配置,Maximum size of a single allocation in the VRAM RTUAV Texture pool allocator (default 0MB - disabled),ECVF_ReadOnly
d3d12.PoolAllocator.RTUAVTextureVRAMPoolSize,CVar,string,,d3d12,光线追踪,DirectX,false,true,false,false,false,,`d3d12.PoolAllocator.RTUAVTextureVRAMPoolSize=<值>` / `d3d12.PoolAllocator.RTUAVTextureVRAMPoolSize <值>` 或 INI 中配置,Pool size of a single VRAM RTUAV Texture memory pool (default 0MB - disabled),ECVF_ReadOnly
D3D12.RayTracing.SerializeScene,Command,string,,D3D12,光线追踪,DirectX,true,false,false,false,false,,`D3D12.RayTracing.SerializeScene`（可带参数，具体见帮助说明）,Serialize Ray Tracing Scene to disk.,
D3D12.ResourcesStartResident,CVar,string,,D3D12,光线追踪,DirectX,false,true,false,false,false,,`D3D12.ResourcesStartResident=<值>` / `D3D12.ResourcesStartResident <值>` 或 INI 中配置,When disabled (default): all D3D12 resources start EVICTED. GPU Residency will be managed during command list submission.,ECVF_ReadOnly
DC.Preview.EnableReuseViewportInCluster,CVar,string,,DC,光线追踪,All,true,false,false,false,false,,`DC.Preview.EnableReuseViewportInCluster=<值>` / `DC.Preview.EnableReuseViewportInCluster <值>` 或 INI 中配置,"Experimental feature (0 == disabled, 1 == enabled)",ECVF_RenderThreadSafe
DM.ExportMaterials,CVar,bool,false,DM,光线追踪,All,true,false,false,false,false,,`DM.ExportMaterials=<值>` / `DM.ExportMaterials <值>` 或 INI 中配置,"If enabled, all materials, including previews, are exported to /Game/DynamicMaterials.",ECVF_SetByConsole
foliage.CullAllInVertexShader_Unused,CVar,int32,0,foliage,光线追踪,All,true,false,false,false,false,,`foliage.CullAllInVertexShader_Unused=<值>` / `foliage.CullAllInVertexShader_Unused <值>` 或 INI 中配置,This cvar is no longer implemented as the support would add overhead and complexity.,
foliage.MinVertsToSplitNode,CVar,int32,8192,foliage,光线追踪,All,true,false,false,false,false,,`foliage.MinVertsToSplitNode=<值>` / `foliage.MinVertsToSplitNode <值>` 或 INI 中配置,Controls the accuracy between culling and LOD accuracy and culling and CPU performance.,
fx.Budget.Debug.RenderThreadTimeOverride,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.Budget.Debug.RenderThreadTimeOverride=<值>` / `fx.Budget.Debug.RenderThreadTimeOverride <值>` 或 INI 中配置,When >= 0.0 overrides the reported time for FX on the RenderThread. Useful for observing/debugging the impact on other systems.,ECVF_Default
fx.Budget.RenderThread,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.Budget.RenderThread=<值>` / `fx.Budget.RenderThread <值>` 或 INI 中配置,"Budget (in ms) for all combined FX work that runs on the Render Thread.  As this budget is approached or exceeded, various FX systems will attempt to scale down more and mroe agressively to remain in budget.",ECVF_Default
fx.DumpParticleData,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.DumpParticleData=<值>` / `fx.DumpParticleData <值>` 或 INI 中配置,If > 0 current frame particle data will be dumped after simulation. \n,ECVF_Default
fx.DumpParticleParameterStores,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.DumpParticleParameterStores=<值>` / `fx.DumpParticleParameterStores <值>` 或 INI 中配置,If > 0 current frame particle parameter stores will be dumped when updated. \n,ECVF_Default
fx.FXAllowParticleMeshLODs,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.FXAllowParticleMeshLODs=<值>` / `fx.FXAllowParticleMeshLODs <值>` 或 INI 中配置,If we allow particle meshes to use LODs or not,ECVF_Default
fx.GPUSort.BufferSlack,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.GPUSort.BufferSlack=<值>` / `fx.GPUSort.BufferSlack <值>` 或 INI 中配置,Slack ratio when resizing GPU sort buffers. Must be bigger than 1 (default=2),ECVF_Default
fx.GPUSort.FrameCountBeforeShrinking,CVar,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.GPUSort.FrameCountBeforeShrinking=<值>` / `fx.GPUSort.FrameCountBeforeShrinking <值>` 或 INI 中配置,Number of consecutive frames where the GPU sort buffer is considered oversized before allowing shrinking. (default=100),ECVF_Default
