command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
arcore.DebugOverlayMode,CVar,string,,arcore,渲染调试/可视化,All,true,false,false,false,false,,`arcore.DebugOverlayMode=<值>` / `arcore.DebugOverlayMode <值>` 或 INI 中配置,The debug overlay mode for ARCore:\n,
DC.Stats.Frame,CVar,string,,DC,渲染调试/可视化,All,true,false,false,false,false,,`DC.Stats.Frame=<值>` / `DC.Stats.Frame <值>` 或 INI 中配置,"Show frame stats (timecode, frame number) in a repeating pattern.",ECVF_RenderThreadSafe
DumpPrimitiveDrawCalls,Command,string,,DumpPrimitiveDrawCalls,渲染调试/可视化,All,true,false,false,false,false,,`DumpPrimitiveDrawCalls`（可带参数，具体见帮助说明）,Writes the draw call count of all primitives tracked by the PrimitiveDebugger to a CSV file,ECVF_Default
fx.Budget.Debug.GameThreadConcurrentTimeOverride,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.Budget.Debug.GameThreadConcurrentTimeOverride=<值>` / `fx.Budget.Debug.GameThreadConcurrentTimeOverride <值>` 或 INI 中配置,When >= 0.0 overrides the reported time for FX on the GameThreadConcurrent. Useful for observing/debugging the impact on other systems.,ECVF_Default
fx.Budget.Debug.GameThreadTimeOverride,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.Budget.Debug.GameThreadTimeOverride=<值>` / `fx.Budget.Debug.GameThreadTimeOverride <值>` 或 INI 中配置,When >= 0.0 overrides the reported time for FX on the GameThread. Useful for observing/debugging the impact on other systems.,ECVF_Default
fx.DumpEmitterDepencenciesInFolder,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpEmitterDepencenciesInFolder`（可带参数，具体见帮助说明）,Dumps emitter dependencies for all systems in the supplied folder and sub-folders.,
fx.DumpGraphKeyGen,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpGraphKeyGen=<值>` / `fx.DumpGraphKeyGen <值>` 或 INI 中配置,If > 0 the key generation will be dumped to the log. \n,ECVF_Default
fx.DumpNiagaraScalabilityState,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpNiagaraScalabilityState`（可带参数，具体见帮助说明）,Dumps state information for all Niagara Scalability Mangers.,
fx.DumpPSCPoolInfo,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpPSCPoolInfo`（可带参数，具体见帮助说明）,Dump Particle System Pooling Info,
fx.DumpPSCTickStateInfo,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpPSCTickStateInfo`（可带参数，具体见帮助说明）,Dumps state information for all current Particle System Components.,
fx.DumpSystemData,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpSystemData=<值>` / `fx.DumpSystemData <值>` 或 INI 中配置,"If > 0, results of system simulations will be dumped to the log. \n",ECVF_Default
fx.DumpVMIR,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpVMIR=<值>` / `fx.DumpVMIR <值>` 或 INI 中配置,If > 0 verbose logging is enabled for the vm compiler backend. \n,ECVF_Default
fx.EnableCircularAnimTrailDump,CVar,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.EnableCircularAnimTrailDump=<值>` / `fx.EnableCircularAnimTrailDump <值>` 或 INI 中配置,Controls logging for when circular links are discovered in anim trails.\n0 = No logging.\n1 = Minimal logging.\n2 = Verbose logging.,ECVF_Default
