command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
Android.NewKeyboard,CVar,string,,Android,通用,Android,true,false,false,false,false,,`Android.NewKeyboard=<值>` / `Android.NewKeyboard <值>` 或 INI 中配置,"Controls usage of experimental new keyboard input. 0 uses the checkbox setting, 1 forces new keyboard, 2 forces dialog. (Default: 0)",ECVF_Default
android.PSOService.EnableSchedulingParams,CVar,string,,android,通用,Android,true,false,false,false,false,,`android.PSOService.EnableSchedulingParams=<值>` / `android.PSOService.EnableSchedulingParams <值>` 或 INI 中配置,Whether to set scheduler values (such as nice and scheduler policy) for each precache process job\n,ECVF_RenderThreadSafe
android.PSOService.ExternalCompilerFailureThreshold,CVar,string,,android,通用,Android,true,false,false,false,false,,`android.PSOService.ExternalCompilerFailureThreshold=<值>` / `android.PSOService.ExternalCompilerFailureThreshold <值>` 或 INI 中配置,Number of external PSO compiler failures to ignore before disabling external PSO compiling altogether.\n,ECVF_Default | ECVF_RenderThreadSafe
android.PSOService.MaxPriPSOPrecacheAffinity,CVar,string,,android,通用,Android,true,false,false,false,false,,`android.PSOService.MaxPriPSOPrecacheAffinity=<值>` / `android.PSOService.MaxPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling high priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
android.PSOService.MinPriPSOPrecacheAffinity,CVar,string,,android,通用,Android,true,false,false,false,false,,`android.PSOService.MinPriPSOPrecacheAffinity=<值>` / `android.PSOService.MinPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling low priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
android.PSOService.NormalPriPSOPrecacheAffinity,CVar,string,,android,材质,Android,true,false,false,false,false,,`android.PSOService.NormalPriPSOPrecacheAffinity=<值>` / `android.PSOService.NormalPriPSOPrecacheAffinity <值>` 或 INI 中配置,CPU affinity to use when compiling normal priority precache PSOs via external compilers\n,ECVF_RenderThreadSafe
android.Vulkan.HasUnifiedMemory,CVar,int32,1,android,RHI/底层渲染接口,Android、Vulkan,true,false,false,false,false,,`android.Vulkan.HasUnifiedMemory=<值>` / `android.Vulkan.HasUnifiedMemory <值>` 或 INI 中配置,Whether or not device has unified memory\n,ECVF_SetByDeviceProfile
android.Vulkan.RetainLimitForPSOCreateCrashReport,CVar,string,,android,光线追踪,Android、Vulkan,true,false,false,false,false,,`android.Vulkan.RetainLimitForPSOCreateCrashReport=<值>` / `android.Vulkan.RetainLimitForPSOCreateCrashReport <值>` 或 INI 中配置,Retain the PSO creation source data from the external compiler services when > 0. If a crash occurs the data is added to the crash report.\n,ECVF_RenderThreadSafe
Electra.AndroidUseGpuOutputPath,CVar,int32,0,Electra,通用,Android,true,false,false,false,false,,`Electra.AndroidUseGpuOutputPath=<值>` / `Electra.AndroidUseGpuOutputPath <值>` 或 INI 中配置,Use experimental direct to GPU output path on Android.\n,ECVF_Default
r.Android.DisableEarlyFragmentTests,CVar,int32,0,r,通用,Android、OpenGL,false,true,false,false,false,,`r.Android.DisableEarlyFragmentTests=<值>` / `r.Android.DisableEarlyFragmentTests <值>` 或 INI 中配置,Whether to disable early_fragment_tests if any \n,ECVF_ReadOnly
r.Android.DisableFBFNonCoherent,CVar,int32,0,r,通用,Android、OpenGL,false,true,false,false,false,,`r.Android.DisableFBFNonCoherent=<值>` / `r.Android.DisableFBFNonCoherent <值>` 或 INI 中配置,Whether to disable usage of QCOM_shader_framebuffer_fetch_noncoherent extension\n,ECVF_ReadOnly
