command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
d3d11.ZeroBufferSizeInMB,CVar,int32,4,d3d11,RHI/底层渲染接口,DirectX、Windows,false,true,false,false,false,,`d3d11.ZeroBufferSizeInMB=<值>` / `d3d11.ZeroBufferSizeInMB <值>` 或 INI 中配置,The D3D11 RHI needs a static allocation of zeroes to use when streaming textures asynchronously. It should be large enough to support the largest mipmap you need to stream. The default is 4MB.,ECVF_ReadOnly
D3D12.AdjustTexturePoolSizeBasedOnBudget,CVar,string,,D3D12,材质,DirectX,true,false,false,false,false,,`D3D12.AdjustTexturePoolSizeBasedOnBudget=<值>` / `D3D12.AdjustTexturePoolSizeBasedOnBudget <值>` 或 INI 中配置,Indicates if the RHI should lower the texture pool size when the application is over the memory budget provided by the OS. This can result in lower quality textures (but hopefully improve performance).,
d3d12.AllowDiscardResources,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,`d3d12.AllowDiscardResources=<值>` / `d3d12.AllowDiscardResources <值>` 或 INI 中配置,Whether to call DiscardResources after transient aliasing acquire. This is not needed on some platforms if newly acquired resources are cleared before use.,ECVF_RenderThreadSafe
d3d12.AllowPoolAllocateIndirectArgBuffers,CVar,string,,d3d12,GI,DirectX,false,true,false,false,false,,`d3d12.AllowPoolAllocateIndirectArgBuffers=<值>` / `d3d12.AllowPoolAllocateIndirectArgBuffers <值>` 或 INI 中配置,Allow indirect args to be pool allocated (otherwise they will be committed resources) (default: 0),ECVF_ReadOnly
d3d12.BatchResourceBarriers,CVar,string,,d3d12,RHI/底层渲染接口,DirectX,true,false,false,false,false,,`d3d12.BatchResourceBarriers=<值>` / `d3d12.BatchResourceBarriers <值>` 或 INI 中配置,Whether to allow batching resource barriers,
D3D12.Bindless.GarbageCollectLatency,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,`D3D12.Bindless.GarbageCollectLatency=<值>` / `D3D12.Bindless.GarbageCollectLatency <值>` 或 INI 中配置,Amount of update cycles before heap is freed,ECVF_ReadOnly
D3D12.Bindless.HeapUpdateUniqueUploadThreshold,CVar,string,,D3D12,后处理,DirectX,true,false,false,false,false,,`D3D12.Bindless.HeapUpdateUniqueUploadThreshold=<值>` / `D3D12.Bindless.HeapUpdateUniqueUploadThreshold <值>` 或 INI 中配置,Threshold of upload index count before we make the list of update indices unique.,ECVF_Default
D3D12.Bindless.ResourceDescriptorHeapSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,`D3D12.Bindless.ResourceDescriptorHeapSize=<值>` / `D3D12.Bindless.ResourceDescriptorHeapSize <值>` 或 INI 中配置,Bindless resource descriptor heap size,ECVF_ReadOnly
D3D12.Bindless.SamplerDescriptorHeapSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,`D3D12.Bindless.SamplerDescriptorHeapSize=<值>` / `D3D12.Bindless.SamplerDescriptorHeapSize <值>` 或 INI 中配置,Bindless sampler descriptor heap size,ECVF_ReadOnly
D3D12.BindlessOnlineDescriptorHeapBlockSize,CVar,string,,D3D12,后处理,DirectX,false,true,false,false,false,,`D3D12.BindlessOnlineDescriptorHeapBlockSize=<值>` / `D3D12.BindlessOnlineDescriptorHeapBlockSize <值>` 或 INI 中配置,Block size for sub allocations on the global view descriptor heap.,ECVF_ReadOnly
