command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
android.Vulkan.HasUnifiedMemory,CVar,int32,1,android,RHI/底层渲染接口,Android、Vulkan,true,false,false,false,false,,`android.Vulkan.HasUnifiedMemory=<值>` / `android.Vulkan.HasUnifiedMemory <值>` 或 INI 中配置,Whether or not device has unified memory\n,ECVF_SetByDeviceProfile
Android.Vulkan.NumRemoteProgramCompileServices,CVar,string,,Android,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`Android.Vulkan.NumRemoteProgramCompileServices=<值>` / `Android.Vulkan.NumRemoteProgramCompileServices <值>` 或 INI 中配置,The number of separate processes to make available to compile Vulkan PSOs.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
android.Vulkan.RetainLimitForPSOCreateCrashReport,CVar,string,,android,光线追踪,Android、Vulkan,true,false,false,false,false,,`android.Vulkan.RetainLimitForPSOCreateCrashReport=<值>` / `android.Vulkan.RetainLimitForPSOCreateCrashReport <值>` 或 INI 中配置,Retain the PSO creation source data from the external compiler services when > 0. If a crash occurs the data is added to the crash report.\n,ECVF_RenderThreadSafe
r.Vulkan.Aftermath.ExtendedLifetimeFrames,CVar,int32,2,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.Aftermath.ExtendedLifetimeFrames=<值>` / `r.Vulkan.Aftermath.ExtendedLifetimeFrames <值>` 或 INI 中配置,Number of frames to keep breadcrumbs alive for Aftermath checkpoints.,ECVF_ReadOnly
r.Vulkan.Allow16bitOps,CVar,int32,1,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.Allow16bitOps=<值>` / `r.Vulkan.Allow16bitOps <值>` 或 INI 中配置,Whether to enable 16bit ops to speeds up TSR\n,ECVF_ReadOnly
r.Vulkan.Allow64bitShaderAtomics,CVar,int32,1,r,材质,Vulkan,false,true,false,false,false,,`r.Vulkan.Allow64bitShaderAtomics=<值>` / `r.Vulkan.Allow64bitShaderAtomics <值>` 或 INI 中配置,Whether to enable 64bit buffer/image atomics required by Nanite\n,ECVF_ReadOnly
r.Vulkan.AllowAddressBindingReport,CVar,int32,0,r,光线追踪,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowAddressBindingReport=<值>` / `r.Vulkan.AllowAddressBindingReport <值>` 或 INI 中配置,Whether to allow VK_EXT_device_address_binding_report\n,ECVF_ReadOnly
r.Vulkan.AllowAsyncCompute,CVar,int32,1,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowAsyncCompute=<值>` / `r.Vulkan.AllowAsyncCompute <值>` 或 INI 中配置,0 to disable async compute queue (default)\n,ECVF_ReadOnly
r.Vulkan.AllowConcurrentImage,CVar,int32,GVulkanAllowConcurrentImage,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowConcurrentImage=<值>` / `r.Vulkan.AllowConcurrentImage <值>` 或 INI 中配置,When async compute is supported: \n,ECVF_ReadOnly
r.Vulkan.AllowDynamicRendering,CVar,int32,1,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowDynamicRendering=<值>` / `r.Vulkan.AllowDynamicRendering <值>` 或 INI 中配置,Enables the use of VK_KHR_dynamic_rendering to remove the need for render passes. \n,ECVF_ReadOnly
r.Vulkan.AllowDynamicStates,CVar,int32,0,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowDynamicStates=<值>` / `r.Vulkan.AllowDynamicStates <值>` 或 INI 中配置,"Enables the use of VK_EXT_extended_dynamic_state1, 2, 3 and \n",ECVF_ReadOnly
r.Vulkan.AllowFDMOffset,CVar,int32,0,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowFDMOffset=<值>` / `r.Vulkan.AllowFDMOffset <值>` 或 INI 中配置,Enables the use of VK_EXT_fragment_density_map_offset\n,ECVF_ReadOnly
r.Vulkan.AllowGraphicPipelineLibrary,CVar,int32,0,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowGraphicPipelineLibrary=<值>` / `r.Vulkan.AllowGraphicPipelineLibrary <值>` 或 INI 中配置,Enables the use of VK_EXT_graphics_pipeline_library to replace graphic pipelines. \n,ECVF_ReadOnly
r.Vulkan.AllowHostImageCopy,CVar,int32,0,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowHostImageCopy=<值>` / `r.Vulkan.AllowHostImageCopy <值>` 或 INI 中配置,Enables the use of VK_EXT_host_image_copy to avoid an extra copy on unified memory devices. \n,ECVF_ReadOnly
r.Vulkan.AllowHostQueryReset,CVar,int32,1,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowHostQueryReset=<值>` / `r.Vulkan.AllowHostQueryReset <值>` 或 INI 中配置,0: Do not enable support for Host Query Reset extension\n,ECVF_ReadOnly
r.Vulkan.AllowImageRobustness,CVar,int32,1,r,后处理,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowImageRobustness=<值>` / `r.Vulkan.AllowImageRobustness <值>` 或 INI 中配置,Whether to allow VK_EXT_image_robustness\n,ECVF_ReadOnly
r.Vulkan.AllowPresentOnComputeQueue,CVar,int32,0,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.AllowPresentOnComputeQueue=<值>` / `r.Vulkan.AllowPresentOnComputeQueue <值>` 或 INI 中配置,0 to present on the graphics queue,
r.Vulkan.AllowPSOPrecaching,CVar,bool,true,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowPSOPrecaching=<值>` / `r.Vulkan.AllowPSOPrecaching <值>` 或 INI 中配置,true: if r.PSOPrecaching=1 Vulkan RHI will use precaching. (default)\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
r.Vulkan.AllowRobustness2,CVar,int32,0,r,后处理,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowRobustness2=<值>` / `r.Vulkan.AllowRobustness2 <值>` 或 INI 中配置,Enables the use of VK_EXT_Robustness2. \n,ECVF_ReadOnly
r.Vulkan.AllowShaderObject,CVar,int32,0,r,材质,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowShaderObject=<值>` / `r.Vulkan.AllowShaderObject <值>` 或 INI 中配置,Enables the use of VK_EXT_shader_object to replace graphic pipelines. \n,ECVF_ReadOnly
r.Vulkan.AllowSparseResidency,CVar,int32,1,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowSparseResidency=<值>` / `r.Vulkan.AllowSparseResidency <值>` 或 INI 中配置,Toggles the use of sparse residency for buffers and images:\n,ECVF_ReadOnly
r.Vulkan.AllowSplitBarriers,CVar,string,,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.AllowSplitBarriers=<值>` / `r.Vulkan.AllowSplitBarriers <值>` 或 INI 中配置,Will limit the number of barriers sent per batch\n,ECVF_Default
r.Vulkan.AllowSynchronization2,CVar,int32,1,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowSynchronization2=<值>` / `r.Vulkan.AllowSynchronization2 <值>` 或 INI 中配置,Enables the use of advanced barriers that combine the use of the VK_KHR_separate_depth_stencil_layouts \n,ECVF_ReadOnly
r.Vulkan.AllowTransferQueue,CVar,int32,0,r,RHI/底层渲染接口,Vulkan,false,true,false,false,false,,`r.Vulkan.AllowTransferQueue=<值>` / `r.Vulkan.AllowTransferQueue <值>` 或 INI 中配置,0 to disable transfer queue (default)\n,ECVF_ReadOnly
