command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
foliage.ApplyViewOcclusionCullToShadow,CVar,bool,true,foliage,阴影,All,true,false,false,false,false,,`foliage.ApplyViewOcclusionCullToShadow=<值>` / `foliage.ApplyViewOcclusionCullToShadow <值>` 或 INI 中配置,Re-use main view occlusion culling results to speed up the shadow view. Shadows for fully occluded objects may be missing.,
foliage.CullAll,CVar,int32,0,foliage,景观/植被,All,true,false,false,false,true,,`foliage.CullAll=<值>` / `foliage.CullAll <值>` 或 INI 中配置,"If greater than zero, everything is considered culled.",ECVF_Scalability
foliage.CullAllInVertexShader_Unused,CVar,int32,0,foliage,光线追踪,All,true,false,false,false,false,,`foliage.CullAllInVertexShader_Unused=<值>` / `foliage.CullAllInVertexShader_Unused <值>` 或 INI 中配置,This cvar is no longer implemented as the support would add overhead and complexity.,
foliage.CullDistanceScale,CVar,float,1.0,foliage,景观/植被,All,true,false,false,false,true,,`foliage.CullDistanceScale=<值>` / `foliage.CullDistanceScale <值>` 或 INI 中配置,Controls the cull distance scale. Foliage must opt-in to cull distance scaling through the foliage type.,ECVF_Scalability
foliage.DebugBuildTreeAsyncDelayInSeconds,CVar,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.DebugBuildTreeAsyncDelayInSeconds=<值>` / `foliage.DebugBuildTreeAsyncDelayInSeconds <值>` 或 INI 中配置,Adds a delay (in seconds) to BuildTreeAsync tasks for debugging,
foliage.DensityScale,CVar,float,1.0,foliage,景观/植被,All,true,false,false,true,true,FoliageQuality@0;FoliageQuality@1;FoliageQuality@2;FoliageQuality@3;FoliageQuality@Cine,`foliage.DensityScale=<值>` / `foliage.DensityScale <值>` 或 INI 中配置,Controls the amount of foliage to render. Foliage must opt-in to density scaling through the foliage type.,ECVF_Scalability
foliage.DisableCull,CVar,int32,0,foliage,景观/植被,All,true,false,false,false,false,,`foliage.DisableCull=<值>` / `foliage.DisableCull <值>` 或 INI 中配置,"If greater than zero, no culling occurs based on frustum.",
foliage.DiscardDataOnLoad,CVar,int32,0,foliage,GI,All,true,false,false,false,true,,`foliage.DiscardDataOnLoad=<值>` / `foliage.DiscardDataOnLoad <值>` 或 INI 中配置,1: Discard foliage data on load if the foliage type has it enabled; 0: Keep foliage data regardless of whether the foliage type has it enabled or not (requires reloading level),ECVF_Scalability
foliage.DitheredLOD,CVar,int32,1,foliage,景观/植被,All,true,false,false,false,false,,`foliage.DitheredLOD=<值>` / `foliage.DitheredLOD <值>` 或 INI 中配置,"If greater than zero, dithered LOD is used, otherwise popping LOD is used.",
foliage.ForceLOD,CVar,int32,-1,foliage,景观/植被,All,true,false,false,false,false,,`foliage.ForceLOD=<值>` / `foliage.ForceLOD <值>` 或 INI 中配置,"If greater than or equal to zero, forces the foliage LOD to that level.",
foliage.Freeze,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.Freeze`（可带参数，具体见帮助说明）,Useful for debugging. Freezes the foliage culling and LOD.,
