command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
landscape.AllowNonNaniteVirtualShadowMapInvalidation,CVar,string,,landscape,光线追踪,All,true,false,false,false,true,,`landscape.AllowNonNaniteVirtualShadowMapInvalidation=<值>` / `landscape.AllowNonNaniteVirtualShadowMapInvalidation <值>` 或 INI 中配置,"For non-Nanite landscape, cached virtual shadow map pages need to be invalidated when the vertex morphing introduces a height difference that is too large. This enables or disables this behavior entirely",ECVF_RenderThreadSafe | ECVF_Scalability
Landscape.DebugViewMode,CVar,string,,Landscape,景观/植被,All,true,false,false,false,false,,`Landscape.DebugViewMode=<值>` / `Landscape.DebugViewMode <值>` 或 INI 中配置,"Change the view mode of the landscape rendering. Valid Input: 0 = Normal, 2 = DebugLayer, 3 = LayerDensity, 4 = LayerUsage, 5 = LOD Distribution, 6 = WireframeOnTop, 7 = LayerContribution",ECVF_Cheat
landscape.DumpLODs,Command,string,,landscape,景观/植被,All,true,false,false,false,false,,`landscape.DumpLODs`（可带参数，具体见帮助说明）,Will dump the current status of LOD value and current texture streaming status. Use the -detailed option to include all LOD-related infos,
landscape.NonNaniteVirtualShadowMapInvalidationLODAttenuationExponent,CVar,string,,landscape,光线追踪,All,true,false,false,false,true,,`landscape.NonNaniteVirtualShadowMapInvalidationLODAttenuationExponent=<值>` / `landscape.NonNaniteVirtualShadowMapInvalidationLODAttenuationExponent <值>` 或 INI 中配置,"For non-Nanite landscape, controls the shape of the curve of the attenuation of the virtual shadow map pages' invalidation rate (1 - X^N), where X is the relative LOD value (LODValue/NumMips in the [0,1] range) and N, the CVar",ECVF_RenderThreadSafe | ECVF_Scalability
landscape.OverrideLOD0Distribution,CVar,string,,landscape,景观/植被,All,true,false,false,false,false,,`landscape.OverrideLOD0Distribution=<值>` / `landscape.OverrideLOD0Distribution <值>` 或 INI 中配置,"When > 0, force override the LOD0DistributionSetting property on all landscapes, and ignore r.LandscapeLOD0DistributionScale",ECVF_Cheat
landscape.OverrideLOD0ScreenSize,CVar,string,,landscape,景观/植被,All,true,false,false,false,false,,`landscape.OverrideLOD0ScreenSize=<值>` / `landscape.OverrideLOD0ScreenSize <值>` 或 INI 中配置,"When > 0, force override the landscape LOD0ScreenSize property on all landscapes",ECVF_Cheat
landscape.OverrideLODBlendRange,CVar,string,,landscape,景观/植被,All,true,false,false,false,false,,`landscape.OverrideLODBlendRange=<值>` / `landscape.OverrideLODBlendRange <值>` 或 INI 中配置,"When > 0, force the LODBlendRange property on all landscapes",ECVF_Cheat
landscape.OverrideLODDistribution,CVar,string,,landscape,景观/植被,All,true,false,false,false,false,,`landscape.OverrideLODDistribution=<值>` / `landscape.OverrideLODDistribution <值>` 或 INI 中配置,"When > 0, force override the landscape LODDistributionSetting property on all landscapes, and ignore r.LandscapeLODDistributionScale",ECVF_Cheat
landscape.OverrideNonNaniteVirtualShadowMapConstantDepthBiasOverride,CVar,string,,landscape,光线追踪,All,true,false,false,false,false,,`landscape.OverrideNonNaniteVirtualShadowMapConstantDepthBiasOverride=<值>` / `landscape.OverrideNonNaniteVirtualShadowMapConstantDepthBiasOverride <值>` 或 INI 中配置,"When > 0, force override the landscape NonNaniteVirtualShadowMapConstantDepthBias property on all landscapes",ECVF_Cheat
landscape.OverrideNonNaniteVirtualShadowMapInvalidationHeightErrorThreshold,CVar,string,,landscape,光线追踪,All,true,false,false,false,false,,`landscape.OverrideNonNaniteVirtualShadowMapInvalidationHeightErrorThreshold=<值>` / `landscape.OverrideNonNaniteVirtualShadowMapInvalidationHeightErrorThreshold <值>` 或 INI 中配置,"When > 0, force override the landscape NonNaniteVirtualShadowMapInvalidationHeightErrorThreshold property on all landscapes",ECVF_Cheat
landscape.OverrideNonNaniteVirtualShadowMapInvalidationScreenSizeLimit,CVar,string,,landscape,光线追踪,All,true,false,false,false,false,,`landscape.OverrideNonNaniteVirtualShadowMapInvalidationScreenSizeLimit=<值>` / `landscape.OverrideNonNaniteVirtualShadowMapInvalidationScreenSizeLimit <值>` 或 INI 中配置,"When > 0, force override the landscape NonNaniteVirtualShadowMapInvalidationScreenSizeLimit property on all landscapes",ECVF_Cheat
landscape.RenderCaptureLayersNextPhysicalMaterialDraws,CVar,string,,landscape,材质,All,true,false,false,false,false,,`landscape.RenderCaptureLayersNextPhysicalMaterialDraws=<值>` / `landscape.RenderCaptureLayersNextPhysicalMaterialDraws <值>` 或 INI 中配置,Trigger N render captures during the next landscape physical material draw calls.,EConsoleVariableFlags::ECVF_RenderThreadSafe
landscape.RuntimeVirtualTextureRenderWithQuad,CVar,string,,landscape,光线追踪,All,true,false,false,false,true,,`landscape.RuntimeVirtualTextureRenderWithQuad=<值>` / `landscape.RuntimeVirtualTextureRenderWithQuad <值>` 或 INI 中配置,Force whether to use of a single quad when rendering landscape to runtime virtual texture pages\n,ECVF_RenderThreadSafe | ECVF_Scalability
