command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
niagara.CreateShadersOnLoad,CVar,string,,niagara,材质,All,true,false,false,false,false,,`niagara.CreateShadersOnLoad=<值>` / `niagara.CreateShadersOnLoad <值>` 或 INI 中配置,"Whether to create Niagara's simulation shaders on load, which can reduce hitching, but use more memory.  Otherwise they will be created as needed.",
Niagara.RadixSortThreshold,CVar,string,,Niagara,光线追踪,All,true,false,false,false,false,,`Niagara.RadixSortThreshold=<值>` / `Niagara.RadixSortThreshold <值>` 或 INI 中配置,Instance count at which radix sort gets used instead of introspective sort.\n,ECVF_Default
Niagara.Ribbon.ForceIndex32,CVar,string,,Niagara,通用,All,true,false,false,false,false,,`Niagara.Ribbon.ForceIndex32=<值>` / `Niagara.Ribbon.ForceIndex32 <值>` 或 INI 中配置,Force creating 32 bits index buffers for the ribbons.,ECVF_Default
Niagara.Ribbon.GpuAllocateMaxCount,CVar,string,,Niagara,通用,All,true,false,false,false,false,,`Niagara.Ribbon.GpuAllocateMaxCount=<值>` / `Niagara.Ribbon.GpuAllocateMaxCount <值>` 或 INI 中配置,When enabled (default) we allocate the maximum number of required elements.,ECVF_Default
Niagara.Ribbon.GpuBufferAlign,CVar,string,,Niagara,通用,All,true,false,false,false,false,,`Niagara.Ribbon.GpuBufferAlign=<值>` / `Niagara.Ribbon.GpuBufferAlign <值>` 或 INI 中配置,When not allocating the maximum number of required elements we align up the request elements to this size to improve buffer reuse.,ECVF_Default
Niagara.Ribbon.GpuBufferCachePurgeCounter,CVar,string,,Niagara,通用,All,true,false,false,false,false,,`Niagara.Ribbon.GpuBufferCachePurgeCounter=<值>` / `Niagara.Ribbon.GpuBufferCachePurgeCounter <值>` 或 INI 中配置,The number of frames we hold onto ribbon buffer for.,ECVF_Default
Niagara.Ribbon.GpuEnabled,CVar,string,,Niagara,通用,All,true,false,false,false,true,,`Niagara.Ribbon.GpuEnabled=<值>` / `Niagara.Ribbon.GpuEnabled <值>` 或 INI 中配置,Enable any GPU ribbon related code (including GPU init).,ECVF_Scalability
Niagara.Ribbon.GpuInitMode,CVar,string,,Niagara,通用,All,true,false,false,false,true,,`Niagara.Ribbon.GpuInitMode=<值>` / `Niagara.Ribbon.GpuInitMode <值>` 或 INI 中配置,"Modifies the GPU initialization mode used, i.e. offloading CPU calculations to the GPU.\n",ECVF_Scalability
Niagara.Ribbon.MinSegmentLength,CVar,string,,Niagara,通用,All,true,false,false,false,true,,`Niagara.Ribbon.MinSegmentLength=<值>` / `Niagara.Ribbon.MinSegmentLength <值>` 或 INI 中配置,Min length of niagara ribbon segments. (default=1),ECVF_Scalability
Niagara.Ribbon.ShareGeneratedData,CVar,string,,Niagara,通用,All,true,false,false,false,false,,`Niagara.Ribbon.ShareGeneratedData=<值>` / `Niagara.Ribbon.ShareGeneratedData <值>` 或 INI 中配置,Allow ribbons to share the generate data where possible.,ECVF_Default
Niagara.Ribbon.Tessellation.Enabled,CVar,string,,Niagara,后处理,All,true,false,false,false,true,,`Niagara.Ribbon.Tessellation.Enabled=<值>` / `Niagara.Ribbon.Tessellation.Enabled <值>` 或 INI 中配置,Determine if we allow tesellation on this platform or not.,ECVF_Scalability
Niagara.Ribbon.Tessellation.MaxErrorScreenPercentage,CVar,string,,Niagara,后处理,All,true,false,false,false,true,,`Niagara.Ribbon.Tessellation.MaxErrorScreenPercentage=<值>` / `Niagara.Ribbon.Tessellation.MaxErrorScreenPercentage <值>` 或 INI 中配置,Screen percentage used to compute the tessellation factor. \n,ECVF_Scalability
Niagara.Ribbon.Tessellation.MaxInterp,CVar,string,,Niagara,后处理,All,true,false,false,false,true,,`Niagara.Ribbon.Tessellation.MaxInterp=<值>` / `Niagara.Ribbon.Tessellation.MaxInterp <值>` 或 INI 中配置,"When TessellationAngle is > 0, this is the maximum tesselation factor. \n",ECVF_Scalability
Niagara.Ribbon.Tessellation.MinAbsoluteError,CVar,string,,Niagara,后处理,All,true,false,false,false,true,,`Niagara.Ribbon.Tessellation.MinAbsoluteError=<值>` / `Niagara.Ribbon.Tessellation.MinAbsoluteError <值>` 或 INI 中配置,Minimum absolute world size error when tessellating. \n,ECVF_Scalability
Niagara.Ribbon.Tessellation.MinAngle,CVar,string,,Niagara,后处理,All,true,false,false,false,true,,`Niagara.Ribbon.Tessellation.MinAngle=<值>` / `Niagara.Ribbon.Tessellation.MinAngle <值>` 或 INI 中配置,Ribbon segment angle to tesselate in radian. (default=15 degrees),ECVF_Scalability
niagara.ShowShaderCompilerWarnings,CVar,string,,niagara,材质,All,true,false,false,false,false,,`niagara.ShowShaderCompilerWarnings=<值>` / `niagara.ShowShaderCompilerWarnings <值>` 或 INI 中配置,"When set to 1, will display all warnings from Niagara shader compiles.",
Niagara.WaveIntrinsics,CVar,string,,Niagara,通用,All,true,false,false,false,false,,`Niagara.WaveIntrinsics=<值>` / `Niagara.WaveIntrinsics <值>` 或 INI 中配置,,
