command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
OpenGL.MaxSubDataSize,CVar,string,,OpenGL,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,`OpenGL.MaxSubDataSize=<值>` / `OpenGL.MaxSubDataSize <值>` 或 INI 中配置,Maximum amount of data to send to glBufferSubData in one call,ECVF_ReadOnly
OpenGL.RebindTextureBuffers,CVar,string,,OpenGL,材质,OpenGL,true,false,false,false,false,,`OpenGL.RebindTextureBuffers=<值>` / `OpenGL.RebindTextureBuffers <值>` 或 INI 中配置,"If true, rebind GL_TEXTURE_BUFFER's to their GL_TEXTURE name whenever the buffer is modified.",
OpenGL.SkipCompute,CVar,string,,OpenGL,RHI/底层渲染接口,OpenGL,true,false,false,false,false,,`OpenGL.SkipCompute=<值>` / `OpenGL.SkipCompute <值>` 或 INI 中配置,"If true, don't issue dispatch work.",
OpenGL.UBODirectWrite,CVar,string,,OpenGL,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,`OpenGL.UBODirectWrite=<值>` / `OpenGL.UBODirectWrite <值>` 或 INI 中配置,Enables direct writes to the UBO via Buffer Storage,ECVF_ReadOnly
OpenGL.UBOPoolSize,CVar,string,,OpenGL,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,`OpenGL.UBOPoolSize=<值>` / `OpenGL.UBOPoolSize <值>` 或 INI 中配置,"Size of the UBO pool, 0 disables UBO Pool",ECVF_ReadOnly
OpenGL.UseBufferDiscard,CVar,string,,OpenGL,RHI/底层渲染接口,OpenGL,true,false,false,false,false,,`OpenGL.UseBufferDiscard=<值>` / `OpenGL.UseBufferDiscard <值>` 或 INI 中配置,"If true, use dynamic buffer orphaning hint.",
OpenGL.UseGlClipControlIfAvailable,CVar,string,,OpenGL,RHI/底层渲染接口,OpenGL,false,true,false,false,false,,`OpenGL.UseGlClipControlIfAvailable=<值>` / `OpenGL.UseGlClipControlIfAvailable <值>` 或 INI 中配置,"If true, the engine trys to use glClipControl if the driver supports it.",ECVF_RenderThreadSafe | ECVF_ReadOnly
OpenGL.UseMapBuffer,CVar,string,,OpenGL,RHI/底层渲染接口,OpenGL,true,false,false,false,false,,`OpenGL.UseMapBuffer=<值>` / `OpenGL.UseMapBuffer <值>` 或 INI 中配置,"If true, use glMapBuffer otherwise use glBufferSubdata.",
OpenGL.UsePersistentMappingStagingBuffer,CVar,string,,OpenGL,GI,OpenGL,false,true,false,false,false,,`OpenGL.UsePersistentMappingStagingBuffer=<值>` / `OpenGL.UsePersistentMappingStagingBuffer <值>` 或 INI 中配置,"If true, it will use persistent mapping for the Staging Buffer.",ECVF_ReadOnly
OpenGL.UseStagingBuffer,CVar,string,,OpenGL,GI,OpenGL,false,true,false,false,false,,`OpenGL.UseStagingBuffer=<值>` / `OpenGL.UseStagingBuffer <值>` 或 INI 中配置,Enables maps of dynamic vertex buffers to go to a staging buffer,ECVF_ReadOnly
OpenGL.UseUnsynchronizedBufferMapping,CVar,string,,OpenGL,RHI/底层渲染接口,OpenGL,true,false,false,false,false,,`OpenGL.UseUnsynchronizedBufferMapping=<值>` / `OpenGL.UseUnsynchronizedBufferMapping <值>` 或 INI 中配置,"If true, use GL_MAP_UNSYNCHRONIZED_BIT when mapping write only buffers.",
