command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
rhi.DumpMemory,Command,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.DumpMemory`（可带参数，具体见帮助说明）,Dumps RHI memory stats to the log,
rhi.DumpResourceCounts,Command,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.DumpResourceCounts`（可带参数，具体见帮助说明）,Dumps RHI resource counts to the log,
rhi.DumpResourceMemory,Command,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.DumpResourceMemory`（可带参数，具体见帮助说明）,Dumps RHI resource memory stats to the log\n,
rhi.EnableConsole120Fps,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.EnableConsole120Fps=<值>` / `rhi.EnableConsole120Fps <值>` 或 INI 中配置,Enable Console 120fps if Monitor supports it and Console is properly setup,ECVF_Default
RHI.FeatureSetLimit,CVar,string,,RHI,RHI/底层渲染接口,DirectX、Windows,true,false,false,false,false,,`RHI.FeatureSetLimit=<值>` / `RHI.FeatureSetLimit <值>` 或 INI 中配置,"If set to 10, limit D3D RHI to D3D10 feature level. Otherwise, it will use default. Changing this at run-time has no effect. (default is -1)",
RHI.MaximumFrameLatency,CVar,string,,RHI,RHI/底层渲染接口,DirectX、Windows,true,false,false,false,false,,`RHI.MaximumFrameLatency=<值>` / `RHI.MaximumFrameLatency <值>` 或 INI 中配置,Number of frames that can be queued for render.,ECVF_RenderThreadSafe
RHI.MaxSyncCounter,CVar,string,,RHI,RHI/底层渲染接口,DirectX、Windows,true,false,false,false,false,,`RHI.MaxSyncCounter=<值>` / `RHI.MaxSyncCounter <值>` 或 INI 中配置,Maximum sync counter to smooth out vsync transitions.,ECVF_RenderThreadSafe
rhi.Metal.BinaryCacheDebugOutput,CVar,string,,rhi,RHI/底层渲染接口,All,false,true,false,false,false,,`rhi.Metal.BinaryCacheDebugOutput=<值>` / `rhi.Metal.BinaryCacheDebugOutput <值>` 或 INI 中配置,Enable to output logging information for PSO Binary cache default(0) \n,ECVF_ReadOnly
rhi.Metal.BufferScribble,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.BufferScribble=<值>` / `rhi.Metal.BufferScribble <值>` 或 INI 中配置,"Debug option: when enabled will scribble over the buffer contents with a single value when releasing buffer objects, or regions thereof. (Default: 0, Off)",
rhi.Metal.CacheShaderPipelines,CVar,string,,rhi,材质,All,false,true,false,false,false,,`rhi.Metal.CacheShaderPipelines=<值>` / `rhi.Metal.CacheShaderPipelines <值>` 或 INI 中配置,"When enabled (1, default) cache all graphics pipeline state objects created in MetalRHI for the life of the program, this trades memory for performance as creating PSOs is expensive in Metal.\n",ECVF_ReadOnly
rhi.Metal.ConcurrentDispatch,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.ConcurrentDispatch=<值>` / `rhi.Metal.ConcurrentDispatch <值>` 或 INI 中配置,Whether concurrent dispatch is on or off: default on,
rhi.Metal.DefaultTransferAllocation,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.DefaultTransferAllocation=<值>` / `rhi.Metal.DefaultTransferAllocation <值>` 或 INI 中配置,Default size of a single entry in the upload pool.,
rhi.Metal.DefaultUniformBufferAllocation,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.DefaultUniformBufferAllocation=<值>` / `rhi.Metal.DefaultUniformBufferAllocation <值>` 或 INI 中配置,Default size of a uniform buffer allocation.,
rhi.Metal.DisableIOSMemoryless,CVar,string,,rhi,后处理,All,false,true,false,false,false,,`rhi.Metal.DisableIOSMemoryless=<值>` / `rhi.Metal.DisableIOSMemoryless <值>` 或 INI 中配置,"If true, disabled the use of Memoryless textures on iOS",ECVF_ReadOnly|ECVF_RenderThreadSafe
rhi.Metal.ForceIOSTexturesShared,CVar,string,,rhi,后处理,All,true,false,false,false,false,,`rhi.Metal.ForceIOSTexturesShared=<值>` / `rhi.Metal.ForceIOSTexturesShared <值>` 或 INI 中配置,"If true, forces all textures to be Shared on iOS",ECVF_RenderThreadSafe
rhi.Metal.ForceNoFence,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.ForceNoFence=<值>` / `rhi.Metal.ForceNoFence <值>` 或 INI 中配置,"[IOS] When enabled, act as if -nometalfence was on the commandline\n",
rhi.Metal.ForceNoHeap,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.ForceNoHeap=<值>` / `rhi.Metal.ForceNoHeap <值>` 或 INI 中配置,"[IOS] When enabled, act as if -nometalheap was on the commandline\n",
rhi.Metal.HeapBufferBytesToCompact,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.HeapBufferBytesToCompact=<值>` / `rhi.Metal.HeapBufferBytesToCompact <值>` 或 INI 中配置,When enabled (> 0) this will force MetalRHI to compact the given number of bytes each frame into older buffer heaps from newer ones in order to defragment memory and reduce wastage.\n,
rhi.Metal.InsertCounterSampleBarrier,CVar,bool,true,rhi,光线追踪,Metal,false,true,false,false,false,,`rhi.Metal.InsertCounterSampleBarrier=<值>` / `rhi.Metal.InsertCounterSampleBarrier <值>` 或 INI 中配置,Whether to insert a counter sampler barrier to provide the most accurate timings. (default: true)\n,ECVF_ReadOnly
rhi.Metal.MaxBucketSize,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.MaxBucketSize=<值>` / `rhi.Metal.MaxBucketSize <值>` 或 INI 中配置,Set the Max Bucket Size for the Pooled Buffer. (Default: 33547255),
rhi.Metal.MaxOutstandingAsyncTexUploads,CVar,string,,rhi,RHI/底层渲染接口,All,false,true,false,false,false,,`rhi.Metal.MaxOutstandingAsyncTexUploads=<值>` / `rhi.Metal.MaxOutstandingAsyncTexUploads <值>` 或 INI 中配置,"The maximum number of outstanding asynchronous texture uploads allowed to be pending in Metal. After the limit is reached the next upload will wait for all outstanding operations to complete and purge the waiting free-lists in order to reduce peak memory consumption. Defaults to 0 (infinite), set to a value > 0 limit the number.",ECVF_ReadOnly|ECVF_RenderThreadSafe
rhi.Metal.MaxQueryBufferSize,CVar,string,,rhi,RHI/底层渲染接口,All,false,true,false,false,false,,`rhi.Metal.MaxQueryBufferSize=<值>` / `rhi.Metal.MaxQueryBufferSize <值>` 或 INI 中配置,Maximum size of the the query buffer in a single context. Default = 512kb on Mac and 256k on iOS,ECVF_ReadOnly
rhi.Metal.NonBlockingPresent,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.NonBlockingPresent=<值>` / `rhi.Metal.NonBlockingPresent <值>` 或 INI 中配置,"When enabled (> 0) this will force MetalRHI to query if a back-buffer is available to present and if not will skip the frame. Only functions on macOS, it is ignored on iOS/tvOS.\n",
rhi.Metal.PresentFramePacing,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.PresentFramePacing=<值>` / `rhi.Metal.PresentFramePacing <值>` 或 INI 中配置,"Specify the desired frame rate for presentation (iOS 10.3+ only, default: 0.0f, off",
rhi.Metal.QueryUseControlPrecisionBit,CVar,string,,rhi,RHI/底层渲染接口,All,false,true,false,false,false,,`rhi.Metal.QueryUseControlPrecisionBit=<值>` / `rhi.Metal.QueryUseControlPrecisionBit <值>` 或 INI 中配置,"Whether to use VisibilityResultModeCounting (if supported) when doing a render query. (Default : 1 (on), 0 (off))\n",ECVF_ReadOnly
rhi.Metal.ResourceDeferDeleteNumFrames,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.ResourceDeferDeleteNumFrames=<值>` / `rhi.Metal.ResourceDeferDeleteNumFrames <值>` 或 INI 中配置,"Debug option: set to the number of frames that must have passed before resource free-lists are processed and resources disposed of. (Default: 0, Off)",
rhi.Metal.ResourcePurgeInPool,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.ResourcePurgeInPool=<值>` / `rhi.Metal.ResourcePurgeInPool <值>` 或 INI 中配置,"Use the SetPurgeableState function to allow the OS to reclaim memory from resources while they are unused in the pools. (Default: 0, Off)",
rhi.Metal.ResourcePurgeOnDelete,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.ResourcePurgeOnDelete=<值>` / `rhi.Metal.ResourcePurgeOnDelete <值>` 或 INI 中配置,"When enabled all MTLResource objects will have their backing stores purged on release - any subsequent access will be invalid and cause a command-buffer failure. Useful for making intermittent resource lifetime errors more common and easier to track. (Default: 0, Off)",
rhi.Metal.RuntimeDebugLevel,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.RuntimeDebugLevel=<值>` / `rhi.Metal.RuntimeDebugLevel <值>` 或 INI 中配置,The level of debug validation performed by MetalRHI in addition to the underlying Metal API & validation layer.\n,
rhi.Metal.SampleBlitEncoderTimings,CVar,string,,rhi,光线追踪,All,true,false,false,false,false,,`rhi.Metal.SampleBlitEncoderTimings=<值>` / `rhi.Metal.SampleBlitEncoderTimings <值>` 或 INI 中配置,"Whether to include Blit Encoder Timings in GPU Stats, can cause poor perf due to splitting encoders: off",
rhi.Metal.SampleComputeEncoderTimings,CVar,string,,rhi,光线追踪,All,true,false,false,false,false,,`rhi.Metal.SampleComputeEncoderTimings=<值>` / `rhi.Metal.SampleComputeEncoderTimings <值>` 或 INI 中配置,"Whether to include Compute Encoder Timings in GPU Stats, can cause poor perf due to splitting encoders: on",
rhi.Metal.ShaderPipelineCache.Save,Command,string,,rhi,材质,All,true,false,false,false,false,,`rhi.Metal.ShaderPipelineCache.Save`（可带参数，具体见帮助说明）,Save the current pipeline file cache.,
rhi.Metal.ShaderValidation.ShaderName,CVar,string,,rhi,材质,All,false,true,false,false,false,,`rhi.Metal.ShaderValidation.ShaderName=<值>` / `rhi.Metal.ShaderValidation.ShaderName <值>` 或 INI 中配置,Enable to set shader validation on compute shaders with a name\n,ECVF_ReadOnly
rhi.Metal.ShaderValidation.Type,CVar,string,,rhi,材质,All,false,true,false,false,false,,`rhi.Metal.ShaderValidation.Type=<值>` / `rhi.Metal.ShaderValidation.Type <值>` 或 INI 中配置,Enable to set shader validation on specific types\n,ECVF_ReadOnly
rhi.Metal.SupportsIntermediateBackBuffer,CVar,string,,rhi,光线追踪,All,false,true,false,false,false,,`rhi.Metal.SupportsIntermediateBackBuffer=<值>` / `rhi.Metal.SupportsIntermediateBackBuffer <值>` 或 INI 中配置,When enabled (> 0) allocate an intermediate texture to use as the back-buffer & blit from there into the actual device back-buffer (Off by default (0)),ECVF_ReadOnly
rhi.Metal.TargetTransferAllocationLimit,CVar,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.Metal.TargetTransferAllocationLimit=<值>` / `rhi.Metal.TargetTransferAllocationLimit <值>` 或 INI 中配置,Target Allocation limit for the upload staging buffer pool.,
