command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
Slate.AccessibleWidgetsProcessedPerTick,CVar,string,,Slate,光线追踪,All,true,false,false,false,false,,`Slate.AccessibleWidgetsProcessedPerTick=<值>` / `Slate.AccessibleWidgetsProcessedPerTick <值>` 或 INI 中配置,"To reduce performance spikes, generating the accessible widget tree is limited to this many widgets per tick to update.",
Slate.AllowBackgroundBlurWidgets,CVar,string,,Slate,后处理,All,true,false,false,false,false,,`Slate.AllowBackgroundBlurWidgets=<值>` / `Slate.AllowBackgroundBlurWidgets <值>` 或 INI 中配置,"If 0, no background blur widgets will be rendered",
Slate.AllowPerUserHitTesting,CVar,string,,Slate,RHI/底层渲染接口,All,true,false,false,false,false,,`Slate.AllowPerUserHitTesting=<值>` / `Slate.AllowPerUserHitTesting <值>` 或 INI 中配置,Toggles between widgets mapping to a user id and requring a matching user id from an input event or allowing all users to interact with widget,
Slate.AllowSlateToSleep,CVar,int32,GIsEditor,Slate,通用,All,true,false,false,false,false,,`Slate.AllowSlateToSleep=<值>` / `Slate.AllowSlateToSleep <值>` 或 INI 中配置,Whether Slate should go to sleep when there are no active timers and the user is idle,
Slate.AllowTooltipsWhileMouseDown,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.AllowTooltipsWhileMouseDown=<值>` / `Slate.AllowTooltipsWhileMouseDown <值>` 或 INI 中配置,,
Slate.AllowTooltipsWithHiddenCursor,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.AllowTooltipsWithHiddenCursor=<值>` / `Slate.AllowTooltipsWithHiddenCursor <值>` 或 INI 中配置,,
Slate.AlwaysInvalidate,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.AlwaysInvalidate=<值>` / `Slate.AlwaysInvalidate <值>` 或 INI 中配置,"Forces invalidation panels to cache, but to always invalidate.",
Slate.ApplyDisabledEffectOnWidgets,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.ApplyDisabledEffectOnWidgets=<值>` / `Slate.ApplyDisabledEffectOnWidgets <值>` 或 INI 中配置,"If true, disabled widgets will have alpha multiplied by 0.45 (applies to project content only, not editor).",
Slate.BackgroundBlurDownsample,CVar,string,,Slate,后处理,All,true,false,false,false,false,,`Slate.BackgroundBlurDownsample=<值>` / `Slate.BackgroundBlurDownsample <值>` 或 INI 中配置,,ECVF_Cheat
Slate.BackgroundBlurMaxKernelSize,CVar,string,,Slate,后处理,All,true,false,false,false,false,,`Slate.BackgroundBlurMaxKernelSize=<值>` / `Slate.BackgroundBlurMaxKernelSize <值>` 或 INI 中配置,The maximum allowed kernel size.  Note: Very large numbers can cause a huge decrease in performance,
Slate.bAllowThrottling,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.bAllowThrottling=<值>` / `Slate.bAllowThrottling <值>` 或 INI 中配置,Allow Slate to throttle parts of the engine to ensure the UI is responsive,
Slate.CheckUObjectRenderResources,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.CheckUObjectRenderResources=<值>` / `Slate.CheckUObjectRenderResources <值>` 或 INI 中配置,,
Slate.CheckUObjectShapedGlyphSequence,CVar,string,,Slate,RHI/底层渲染接口,All,true,false,false,false,false,,`Slate.CheckUObjectShapedGlyphSequence=<值>` / `Slate.CheckUObjectShapedGlyphSequence <值>` 或 INI 中配置,,
Slate.ComboRowMouseButtonHandlingV2,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.ComboRowMouseButtonHandlingV2=<值>` / `Slate.ComboRowMouseButtonHandlingV2 <值>` 或 INI 中配置,Whether to enable new mouse button event handling on SComboRow,
Slate.Commands.ListAll,Command,string,,Slate,通用,All,true,false,false,false,false,,`Slate.Commands.ListAll`（可带参数，具体见帮助说明）,,
Slate.Commands.ListBound,Command,string,,Slate,通用,All,true,false,false,false,false,,`Slate.Commands.ListBound`（可带参数，具体见帮助说明）,,
Slate.Contrast,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.Contrast=<值>` / `Slate.Contrast <值>` 或 INI 中配置,The amount of contrast to apply to the UI (default 1).,
Slate.CopyBackbufferToSlatePostRenderTargets,CVar,int32,0,Slate,光线追踪,All,true,false,false,false,false,,`Slate.CopyBackbufferToSlatePostRenderTargets=<值>` / `Slate.CopyBackbufferToSlatePostRenderTargets <值>` 或 INI 中配置,Experimental. Set true to copy final backbuffer into slate RTs for slate post processing / material usage,ECVF_RenderThreadSafe
Slate.CullingSlackFillPercent,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.CullingSlackFillPercent=<值>` / `Slate.CullingSlackFillPercent <值>` 或 INI 中配置,Scales the culling rect by the amount to provide extra slack/wiggle room for widgets that have a true bounds larger than the root child widget in a container.,ECVF_Default
Slate.CursorSignificantMoveDetectionThreshold,CVar,string,,Slate,通用,All,true,false,false,false,false,,`Slate.CursorSignificantMoveDetectionThreshold=<值>` / `Slate.CursorSignificantMoveDetectionThreshold <值>` 或 INI 中配置,The distance from previous cursor position above which the move will be considered significant (used to trigger the display of the tooltips).,
Slate.Debug.LogAllWidgets,Command,string,,Slate,渲染调试/可视化,All,true,false,false,false,false,,`Slate.Debug.LogAllWidgets`（可带参数，具体见帮助说明）,"Prints all the SWidgets type, debug info, path, painted, ...\n",
Slate.Debug.TraceNavigationConfig,CVar,string,,Slate,渲染调试/可视化,All,true,false,false,false,false,,`Slate.Debug.TraceNavigationConfig=<值>` / `Slate.Debug.TraceNavigationConfig <值>` 或 INI 中配置,True enables tracing of navigation config & callstack to log.,
Slate.DebugCulling,CVar,string,,Slate,渲染调试/可视化,All,true,false,false,false,false,,`Slate.DebugCulling=<值>` / `Slate.DebugCulling <值>` 或 INI 中配置,"Controls whether we should ignore clip rects, and just use culling.",ECVF_Default
