command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
r.AllowGlobalClipPlane,CVar,int32,0,r,RHI/底层渲染接口,All,false,true,true,false,false,,`r.AllowGlobalClipPlane=<值>` / `r.AllowGlobalClipPlane <值>` 或 INI 中配置,"Enables mesh shaders to support a global clip plane, needed for planar reflections, which adds about 15% BasePass GPU cost on PS4.",ECVF_ReadOnly | ECVF_RenderThreadSafe
r.AllowStaticLighting,CVar,int32,1,r,渲染调试/可视化,All,false,true,true,false,false,,`r.AllowStaticLighting=<值>` / `r.AllowStaticLighting <值>` 或 INI 中配置,,ECVF_ReadOnly | ECVF_RenderThreadSafe
r.AlphaInvertPass,CVar,bool,0,r,光线追踪,All,true,false,true,false,false,,`r.AlphaInvertPass=<值>` / `r.AlphaInvertPass <值>` 或 INI 中配置,Whether to run a render pass to un-invert the alpha value from unreal standard to the much more common standard where alpha 0 is fully transparent and alpha 1 is fully opaque.,ECVF_RenderThreadSafe
r.AntiAliasingMethod,CVar,int32,4,r,通用,All,true,false,true,false,false,,`r.AntiAliasingMethod=<值>` / `r.AntiAliasingMethod <值>` 或 INI 中配置,Engine default (project setting) for AntiAliasingMethod is (postprocess volume/camera/game setting still can override)\n,ECVF_RenderThreadSafe
r.ClearCoatNormal,CVar,int32,0,r,材质,All,false,true,true,false,false,,`r.ClearCoatNormal=<值>` / `r.ClearCoatNormal <值>` 或 INI 中配置,0 to disable clear coat normal.\n,ECVF_ReadOnly
r.CustomDepth,CVar,int32,GCustomDepthMode,r,通用,All,true,false,true,false,false,,`r.CustomDepth=<值>` / `r.CustomDepth <值>` 或 INI 中配置,0: feature is disabled\n,ECVF_RenderThreadSafe
r.DefaultBackBufferPixelFormat,CVar,int32,4,r,通用,All,false,true,true,false,false,,`r.DefaultBackBufferPixelFormat=<值>` / `r.DefaultBackBufferPixelFormat <值>` 或 INI 中配置,Defines the default back buffer pixel format.\n,ECVF_ReadOnly
r.DefaultFeature.AmbientOcclusion,CVar,int32,1,r,GI,All,true,false,true,false,false,,`r.DefaultFeature.AmbientOcclusion=<值>` / `r.DefaultFeature.AmbientOcclusion <值>` 或 INI 中配置,Engine default (project setting) for AmbientOcclusion is (postprocess volume/camera/game setting still can override)\n,
r.DefaultFeature.AmbientOcclusionStaticFraction,CVar,int32,1,r,GI,All,true,false,true,false,false,,`r.DefaultFeature.AmbientOcclusionStaticFraction=<值>` / `r.DefaultFeature.AmbientOcclusionStaticFraction <值>` 或 INI 中配置,Engine default (project setting) for AmbientOcclusion is (postprocess volume/camera/game setting still can override)\n,
r.DefaultFeature.AutoExposure,CVar,int32,1,r,后处理,All,true,false,true,false,false,,`r.DefaultFeature.AutoExposure=<值>` / `r.DefaultFeature.AutoExposure <值>` 或 INI 中配置,Engine default (project setting) for AutoExposure is (postprocess volume/camera/game setting still can override)\n,
r.DefaultFeature.AutoExposure.Bias,CVar,float,1.0f,r,后处理,All,true,false,true,false,false,,`r.DefaultFeature.AutoExposure.Bias=<值>` / `r.DefaultFeature.AutoExposure.Bias <值>` 或 INI 中配置,Engine default (project setting) for AutoExposure Exposure Bias (postprocess volume/camera/game setting still can override)\n,
r.DefaultFeature.AutoExposure.ExtendDefaultLuminanceRange,CVar,int32,0,r,后处理,All,true,false,true,false,false,,`r.DefaultFeature.AutoExposure.ExtendDefaultLuminanceRange=<值>` / `r.DefaultFeature.AutoExposure.ExtendDefaultLuminanceRange <值>` 或 INI 中配置,Whether the default values for AutoExposure should support an extended range of scene luminance.\n,
r.DefaultFeature.AutoExposure.Method,CVar,int32,0,r,后处理,All,true,false,true,false,false,,`r.DefaultFeature.AutoExposure.Method=<值>` / `r.DefaultFeature.AutoExposure.Method <值>` 或 INI 中配置,Engine default (project setting) for AutoExposure Method (postprocess volume/camera/game setting still can override)\n,
r.DefaultFeature.Bloom,CVar,int32,1,r,后处理,All,true,false,true,false,false,,`r.DefaultFeature.Bloom=<值>` / `r.DefaultFeature.Bloom <值>` 或 INI 中配置,Engine default (project setting) for Bloom is (postprocess volume/camera/game setting still can override)\n,
r.DefaultFeature.LensFlare,CVar,int32,0,r,后处理,All,true,false,true,false,false,,`r.DefaultFeature.LensFlare=<值>` / `r.DefaultFeature.LensFlare <值>` 或 INI 中配置,Engine default (project setting) for LensFlare is (postprocess volume/camera/game setting still can override)\n,
r.DefaultFeature.LightUnits,CVar,int32,1,r,通用,All,true,false,true,false,false,,`r.DefaultFeature.LightUnits=<值>` / `r.DefaultFeature.LightUnits <值>` 或 INI 中配置,"Default units to use for point, spot and rect lights\n",
r.DefaultFeature.LocalExposure.HighlightContrastScale,CVar,float,1.0f,r,后处理,All,true,false,true,false,false,,`r.DefaultFeature.LocalExposure.HighlightContrastScale=<值>` / `r.DefaultFeature.LocalExposure.HighlightContrastScale <值>` 或 INI 中配置,Engine default (project setting) for Local Exposure Highlight Contrast (postprocess volume/camera/game setting still can override)\n,
r.DefaultFeature.LocalExposure.ShadowContrastScale,CVar,float,1.0f,r,阴影,All,true,false,true,false,false,,`r.DefaultFeature.LocalExposure.ShadowContrastScale=<值>` / `r.DefaultFeature.LocalExposure.ShadowContrastScale <值>` 或 INI 中配置,Engine default (project setting) for Local Exposure Shadow Contrast (postprocess volume/camera/game setting still can override)\n,
r.DefaultFeature.MotionBlur,CVar,int32,1,r,后处理,All,true,false,true,false,false,,`r.DefaultFeature.MotionBlur=<值>` / `r.DefaultFeature.MotionBlur <值>` 或 INI 中配置,Engine default (project setting) for MotionBlur is (postprocess volume/camera/game setting still can override)\n,
r.Deferred.SupportPrimitiveAlphaHoldout,CVar,bool,false,r,光线追踪,All,false,true,true,false,false,,`r.Deferred.SupportPrimitiveAlphaHoldout=<值>` / `r.Deferred.SupportPrimitiveAlphaHoldout <值>` 或 INI 中配置,True to enable deferred renderer support for primitive alpha holdout (disabled by default).\n,ECVF_ReadOnly | ECVF_RenderThreadSafe
r.DistanceFields,CVar,int32,1,r,GI,All,false,true,true,false,false,,`r.DistanceFields=<值>` / `r.DistanceFields <值>` 或 INI 中配置,Enables distance fields rendering.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
r.DistanceFields.DefaultVoxelDensity,CVar,float,.2f,r,GI,All,false,true,true,false,false,,`r.DistanceFields.DefaultVoxelDensity=<值>` / `r.DistanceFields.DefaultVoxelDensity <值>` 或 INI 中配置,Determines how the default scale of a mesh converts into distance field voxel dimensions.\n,ECVF_ReadOnly
r.DynamicGlobalIlluminationMethod,CVar,int32,0,r,GI,All,true,false,true,false,false,,`r.DynamicGlobalIlluminationMethod=<值>` / `r.DynamicGlobalIlluminationMethod <值>` 或 INI 中配置,0 - None.  Global Illumination can be baked into Lightmaps but no technique will be used for Dynamic Global Illumination.\n,ECVF_RenderThreadSafe
r.EyeAdaptation.CachedLightingPreExposure,CVar,float,4.0f,r,后处理,All,true,false,true,false,false,,`r.EyeAdaptation.CachedLightingPreExposure=<值>` / `r.EyeAdaptation.CachedLightingPreExposure <值>` 或 INI 中配置,Fixed pre-exposure offset in EV units for cached lighting. Adjust it per project to cover used exposure range.\n,ECVF_RenderThreadSafe
r.FirstPerson.SelfShadow,CVar,int32,0,r,阴影,All,true,false,true,false,true,,`r.FirstPerson.SelfShadow=<值>` / `r.FirstPerson.SelfShadow <值>` 或 INI 中配置,Enables self shadows for first person primitives. Self shadows are achieved with HZB screen space traces. Use r.FirstPerson.SelfShadow.LightTypes to control which shadow casting light types should cast self shadows.,ECVF_RenderThreadSafe | ECVF_Scalability
r.ForwardShading,CVar,string,,r,通用,All,false,true,true,false,false,,`r.ForwardShading=<值>` / `r.ForwardShading <值>` 或 INI 中配置,Whether to use forward shading on desktop platforms - requires Shader Model 5 hardware.\n,ECVF_RenderThreadSafe | ECVF_ReadOnly
r.GBufferFormat,CVar,int32,1,r,通用,All,true,false,true,false,false,,`r.GBufferFormat=<值>` / `r.GBufferFormat <值>` 或 INI 中配置,Defines the memory layout used for the GBuffer.\n,ECVF_RenderThreadSafe
r.GenerateMeshDistanceFields,CVar,int32,0,r,GI,All,false,true,true,false,false,,`r.GenerateMeshDistanceFields=<值>` / `r.GenerateMeshDistanceFields <值>` 或 INI 中配置,"Whether to build distance fields of static meshes, needed for Lumen Software Ray Tracing and Distance Field AO, which is used to implement Movable SkyLight shadows.\n",ECVF_ReadOnly
r.GPUCrashDebugging,CVar,int32,0,r,GI,All,false,true,true,false,false,,`r.GPUCrashDebugging=<值>` / `r.GPUCrashDebugging <值>` 或 INI 中配置,Enable vendor specific GPU crash analysis tools,ECVF_ReadOnly
