command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
foliage.DensityScale,CVar,float,1.0,foliage,景观/植被,All,true,false,false,true,true,FoliageQuality@0;FoliageQuality@1;FoliageQuality@2;FoliageQuality@3;FoliageQuality@Cine,`foliage.DensityScale=<值>` / `foliage.DensityScale <值>` 或 INI 中配置,Controls the amount of foliage to render. Foliage must opt-in to density scaling through the foliage type.,ECVF_Scalability
r.AmbientOcclusionLevels,CVar,int32,-1,r,GI,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.AmbientOcclusionLevels=<值>` / `r.AmbientOcclusionLevels <值>` 或 INI 中配置,Defines how many mip levels are using during the ambient occlusion calculation. This is useful when tweaking the algorithm.\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.AmbientOcclusionMaxQuality,CVar,float,100.0f,r,GI,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.AmbientOcclusionMaxQuality=<值>` / `r.AmbientOcclusionMaxQuality <值>` 或 INI 中配置,Defines the max clamping value from the post process volume's quality level for ScreenSpace Ambient Occlusion\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.AmbientOcclusionMipLevelFactor,CVar,float,0.5f,r,GI,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.AmbientOcclusionMipLevelFactor=<值>` / `r.AmbientOcclusionMipLevelFactor <值>` 或 INI 中配置,Controls mipmap level according to the SSAO step id\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.AmbientOcclusionRadiusScale,CVar,float,1.0f,r,GI,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.AmbientOcclusionRadiusScale=<值>` / `r.AmbientOcclusionRadiusScale <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.AnisotropicMaterials,CVar,string,,r,材质,All,true,false,false,true,true,ShadingQuality@0;ShadingQuality@1;ShadingQuality@2;ShadingQuality@3;ShadingQuality@Cine,`r.AnisotropicMaterials=<值>` / `r.AnisotropicMaterials <值>` 或 INI 中配置,Whether anisotropic BRDF is used for material with anisotropy.,ECVF_Scalability | ECVF_RenderThreadSafe
r.AOQuality,CVar,string,,r,GI,All,true,false,false,true,true,GlobalIlluminationQuality@0;GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.AOQuality=<值>` / `r.AOQuality <值>` 或 INI 中配置,Defines the distance field AO method which allows to adjust for quality or performance.\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.Bloom.ScreenPercentage,CVar,float,100.0f,r,后处理,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.Bloom.ScreenPercentage=<值>` / `r.Bloom.ScreenPercentage <值>` 或 INI 中配置,Controles the axis resolution of the FFT convolution for bloom.\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.BloomQuality,CVar,int32,5,r,后处理,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.BloomQuality=<值>` / `r.BloomQuality <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.CapsuleShadows,CVar,string,,r,阴影,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.CapsuleShadows=<值>` / `r.CapsuleShadows <值>` 或 INI 中配置,Whether to allow capsule shadowing on skinned components with bCastCapsuleDirectShadow or bCastCapsuleIndirectShadow enabled.,ECVF_Scalability | ECVF_RenderThreadSafe
